size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.00295495986938,1,1,1.0,2
3,5,0.00680708885193,2,2,1.4,7
4,9,0.0145938396454,3,2,1.55555555556,14
5,13,0.0293090343475,4,3,1.61538461538,21
6,18,0.0556001663208,5,3,2.0,36
7,25,0.100869894028,6,3,1.92,48
8,28,0.14988899231,7,3,1.85714285714,52
9,38,0.252184867859,8,5,2.31578947368,88
10,50,0.418184041977,9,5,2.24,112
11,61,0.623924970627,10,4,2.27868852459,139
12,70,0.873516082764,11,5,2.57142857143,180
13,82,1.27145409584,12,5,2.68292682927,220
14,97,1.7221198082,13,4,2.68041237113,260
15,105,2.20415592194,14,6,3.07619047619,323
16,118,2.83424401283,15,5,2.67796610169,316
17,139,3.89486384392,16,7,3.41007194245,474
18,134,4.22782301903,17,5,2.82089552239,378
19,167,6.25308990479,18,6,3.04790419162,509
20,182,7.55675411224,19,6,3.21428571429,585
21,168,7.69581103325,20,8,3.375,567
22,225,11.7097239494,21,8,3.69777777778,832
23,223,13.1335930824,22,6,3.20179372197,714
24,232,14.5792529583,23,6,3.00862068966,698
25,260,18.9775469303,24,6,3.11538461538,810
26,285,23.2364349365,25,7,3.79298245614,1081
27,304,26.4852690697,26,8,3.66776315789,1115
28,333,31.7343430519,27,7,4.0,1332
29,364,36.9507169724,28,8,3.75274725275,1366
30,367,42.7724778652,29,7,3.79291553134,1392
31,388,48.5775809288,30,8,4.07989690722,1583
32,393,54.4287211895,31,8,4.00508905852,1574
33,453,66.6500189304,32,8,4.6821192053,2121
34,458,70.976088047,33,9,4.18122270742,1915
35,485,84.6260609627,34,8,4.36494845361,2117
36,502,91.2852210999,35,8,4.4780876494,2248
37,552,107.591959953,36,10,4.84782608696,2676
38,575,123.433915138,37,8,4.32,2484
39,603,141.968820095,38,8,3.60862354892,2176
40,634,159.989611864,39,10,4.33123028391,2746
41,674,177.1554811,40,10,4.11869436202,2776
42,705,194.023064137,41,9,4.30638297872,3036
43,695,217.27688098,42,9,4.75251798561,3303
44,736,240.938466072,43,10,4.24048913043,3121
45,793,280.031236172,44,10,4.67969735183,3711
46,803,300.905191898,45,10,4.87671232877,3916
47,846,333.668375969,46,11,4.84869976359,4102
48,897,375.426922798,47,10,4.9988851728,4484
49,916,399.31969595,48,10,4.87991266376,4470
50,936,435.021572828,49,10,5.13675213675,4808
51,943,466.246845961,50,12,5.24496288441,4946
52,1030,536.13969779,51,10,4.56116504854,4698
53,1090,604.982167006,52,12,5.43027522936,5919
54,1087,627.085078955,53,11,6.09659613615,6627
55,1080,650.376211882,54,11,5.23148148148,5650
56,1123,729.173884869,55,9,4.61264470169,5180
57,1206,821.348051071,56,10,5.092039801,6141
58,1202,874.120597124,57,10,4.88685524126,5874
59,1248,939.665743113,58,10,4.88942307692,6102
60,1318,1031.42748594,59,10,5.34446130501,7044
61,1313,1073.81606317,60,11,5.34501142422,7018
62,1331,1169.44650698,61,11,5.24117205109,6976
63,1395,1227.7706902,62,12,5.7376344086,8004
64,1494,1403.66437197,63,11,5.31860776439,7946
65,1576,1531.85634494,64,11,6.02982233503,9503
66,1578,1639.48242307,65,13,6.45500633714,10186
67,1630,1743.665905,66,10,5.33865030675,8702
68,1665,1916.21886897,67,12,5.70570570571,9500
69,1707,2001.13870406,68,13,5.52665495021,9434
70,1744,2167.86648083,69,10,5.04759174312,8803
71,1761,2253.87447095,70,12,5.94037478705,10461
72,1826,2442.22323895,71,11,5.75136911281,10502
73,1875,2670.6550982,72,12,5.6544,10602
74,1982,2867.17197394,73,12,5.89051463169,11675
75,1950,2912.07651806,74,14,6.4958974359,12667
76,2026,3170.54682302,75,12,5.65399802567,11455
77,2100,3476.91167307,76,13,6.23380952381,13091
78,2161,3736.41343498,77,12,5.70708005553,12333
79,2194,4125.45174289,78,11,6.00364630811,13172
80,2197,4130.18801808,79,11,5.57350933091,12245
81,2298,4473.05876207,80,12,5.99477806789,13776
82,2322,4708.78056717,81,13,5.97114556417,13865
83,2455,5126.8517549,82,12,6.37311608961,15646
84,2456,5321.66801,83,11,5.6180781759,13798
85,2436,5553.62172413,84,12,5.79967159278,14128
