size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,1,0.00270104408264,1,0,0.0,0
3,3,0.00542306900024,2,1,0.666666666667,2
4,6,0.0112688541412,3,2,0.666666666667,4
5,10,0.0239179134369,4,3,1.9,19
6,15,0.0476558208466,5,4,1.93333333333,29
7,21,0.0860669612885,6,3,2.0,42
8,28,0.148126125336,7,5,2.21428571429,62
9,36,0.240113019943,8,5,2.52777777778,91
10,45,0.37039899826,9,6,2.95555555556,133
11,55,0.574869155884,10,6,2.85454545455,157
12,66,0.811668157578,11,6,2.81818181818,186
13,78,1.14994716644,12,5,3.03846153846,237
14,91,1.61602306366,13,6,3.35164835165,305
15,105,2.19375300407,14,7,3.3619047619,353
16,120,2.93235301971,15,8,3.66666666667,440
17,136,3.7769651413,16,6,3.32352941176,452
18,153,4.91867208481,17,6,3.2091503268,491
19,171,6.34992003441,18,8,4.00584795322,685
20,190,8.03301095963,19,8,4.14736842105,788
21,210,10.0680849552,20,7,3.70476190476,778
22,231,12.0579791069,21,7,3.60173160173,832
23,252,14.8033001423,22,8,4.04761904762,1020
24,276,18.1897211075,23,9,4.21376811594,1163
25,300,21.5383279324,24,8,3.64333333333,1093
26,325,26.1585130692,25,8,3.79692307692,1234
27,351,30.6836209297,26,9,4.23646723647,1487
28,378,35.4922728539,27,9,4.61111111111,1743
29,406,42.2180991173,28,11,4.66256157635,1893
30,435,48.56772995,29,7,3.98390804598,1733
31,465,57.1766848564,30,10,4.87096774194,2265
32,496,68.7087090015,31,10,5.19556451613,2577
33,528,75.7231698036,32,9,4.49053030303,2371
34,561,87.9450290203,33,9,4.20320855615,2358
35,595,103.796247005,34,9,4.93949579832,2939
36,630,119.811078787,35,9,4.78571428571,3015
37,666,133.258631945,36,8,4.14114114114,2758
38,703,153.444561958,37,8,4.28733997155,3014
39,741,170.571527004,38,11,5.12685560054,3799
40,780,191.136550188,39,11,4.86666666667,3796
41,820,214.926496983,40,9,4.2987804878,3525
42,861,231.38510704,41,11,5.78164924506,4978
43,902,276.326699018,42,11,5.05654101996,4561
44,946,311.139060974,43,11,5.45454545455,5160
45,990,341.867218971,44,12,5.73838383838,5681
46,1035,385.907022953,45,10,5.10338164251,5282
47,1081,407.847836971,46,13,5.53931544866,5988
48,1127,473.515378952,47,10,5.06477373558,5708
49,1175,536.263354063,48,11,5.25021276596,6169
50,1225,578.716457129,49,11,5.11020408163,6260
51,1274,651.399499178,50,12,5.51726844584,7029
52,1326,706.888195992,51,11,5.20135746606,6897
53,1378,754.504796982,52,12,5.57764876633,7686
