size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.0286388397217,1,1,1.0,2
3,5,0.00462603569031,2,2,1.2,6
4,9,0.0105919837952,3,2,1.55555555556,14
5,14,0.0239551067352,4,2,1.64285714286,23
6,20,0.0468909740448,5,3,1.9,38
7,26,0.0841069221497,6,3,2.15384615385,56
8,30,0.122799158096,7,3,2.13333333333,64
9,44,0.223513126373,8,4,2.40909090909,106
10,53,0.373841047287,9,4,2.37735849057,126
11,62,0.477793931961,10,4,2.40322580645,149
12,61,0.560359954834,11,4,2.88524590164,176
13,74,0.793856859207,12,4,2.68918918919,199
14,99,1.23686695099,13,4,2.9696969697,294
15,113,1.64763784409,14,5,2.94690265487,333
16,108,1.77231693268,15,4,2.78703703704,301
17,124,2.30015206337,16,5,3.12096774194,387
18,150,3.15326786041,17,5,3.14,471
19,163,3.80750203133,18,6,3.62576687117,591
20,176,4.73133587837,19,5,3.09659090909,545
21,208,5.93744301796,20,6,3.31730769231,690
22,216,6.87506008148,21,5,3.21759259259,695
23,236,8.57642006874,22,6,3.77966101695,892
24,254,9.98996591568,23,7,3.62204724409,920
25,269,10.9795720577,24,7,4.12267657993,1109
26,287,12.7164158821,25,7,3.74912891986,1076
27,292,14.0042099953,26,6,3.94520547945,1152
28,324,17.1978580952,27,6,3.51234567901,1138
29,343,19.6295180321,28,7,3.95626822157,1357
30,370,22.0372469425,29,6,3.98378378378,1474
31,414,27.311273098,30,7,4.05555555556,1679
32,424,28.9293529987,31,6,3.54245283019,1502
33,440,32.911370039,32,6,3.79545454545,1670
34,458,36.3635680676,33,6,3.91048034934,1791
35,489,39.7445819378,34,7,3.76073619632,1839
36,499,44.8786180019,35,8,4.70941883768,2350
37,545,49.7021899223,36,7,3.9504587156,2153
38,578,55.7686901093,37,7,4.46539792388,2581
39,595,60.125962019,38,7,4.15294117647,2471
40,638,68.9996888638,39,7,4.42476489028,2823
41,667,75.447655201,40,6,3.96101949025,2642
42,681,81.4943950176,41,8,4.68869309838,3193
43,745,94.504502058,42,7,4.73691275168,3529
44,721,94.9596679211,43,7,4.09292649098,2951
45,788,108.121029854,44,7,4.43401015228,3494
46,812,117.416390896,45,7,4.43103448276,3598
47,816,124.494661093,46,7,4.33455882353,3537
48,889,141.335043907,47,7,4.56580427447,4059
49,928,154.01335597,48,8,5.11853448276,4750
50,964,166.629953861,49,8,4.87033195021,4695
51,942,168.860255003,50,8,4.42887473461,4172
52,1006,190.806096077,51,8,4.59642147117,4624
53,1055,208.151458025,52,8,4.88151658768,5150
54,1076,224.308641911,53,8,5.0092936803,5390
55,1150,251.776808023,54,7,4.58434782609,5272
56,1180,270.72746706,55,8,5.28983050847,6242
57,1190,275.409396172,56,8,4.86134453782,5785
58,1237,302.716621876,57,9,5.43977364592,6729
59,1241,310.6457479,58,8,4.43674456084,5506
60,1359,354.102693796,59,9,5.52317880795,7506
61,1371,360.459803104,60,9,5.0889861415,6977
62,1366,383.360015869,61,9,5.45021961933,7445
63,1443,418.387979031,62,9,5.62855162855,8122
64,1465,446.101690054,63,8,5.40819112628,7923
65,1516,470.895693064,64,9,5.65897097625,8579
66,1589,513.129119873,65,8,5.49779735683,8736
67,1591,529.204329014,66,10,5.23192960402,8324
68,1685,586.014327049,67,9,5.05934718101,8525
69,1655,592.94492507,68,9,5.16253776435,8544
70,1712,630.50266099,69,9,5.28446261682,9047
71,1787,702.733163834,70,11,6.12870733072,10952
72,1817,739.46911788,71,9,5.98403962576,10873
73,1920,818.222664833,72,10,5.68802083333,10921
74,1904,830.082691908,73,9,5.7137605042,10879
75,1950,872.197621107,74,10,6.44153846154,12561
76,2071,967.52867794,75,8,5.1419604056,10649
77,2037,980.451695919,76,10,6.49435444281,13229
78,2141,1061.86760283,77,10,6.18122372723,13234
79,2180,1117.85162091,78,9,5.3252293578,11609
80,2267,1195.48991513,79,11,6.143802382,13928
81,2260,1239.43649697,80,9,5.59513274336,12645
82,2287,1249.84874797,81,10,6.05159597726,13840
83,2400,1352.22558522,82,10,6.09458333333,14627
84,2468,1436.46802998,83,11,6.55834683955,16186
85,2502,1484.94311118,84,11,6.68185451639,16718
86,2415,1488.60975385,85,10,5.66335403727,13677
87,2641,1683.22921085,86,11,6.93373722075,18312
88,2682,1758.54864597,87,13,6.96756152125,18687
89,2709,1821.82462907,88,11,6.52528608343,17677
90,2843,2003.47992706,89,12,6.93703833978,19722
91,2820,2044.21430206,90,11,6.67340425532,18819
92,2910,2183.58834696,91,13,7.49072164948,21798
93,2973,2215.20096493,92,11,6.51631348806,19373
94,3008,2308.54565907,93,11,6.38597074468,19209
95,3034,2377.79713702,94,11,6.38068556361,19359
96,3102,2497.43871593,95,11,6.76660219213,20990
97,3159,2593.75306606,96,11,6.794555239,21464
98,3304,2794.06649184,97,12,7.3686440678,24346
99,3328,2748.03678894,98,11,6.16856971154,20529
100,3334,2854.87346697,99,11,6.40671865627,21360
