size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.00330209732056,1,1,1.0,2
3,2,0.00364708900452,2,1,1.0,2
4,5,0.00750303268433,3,2,1.2,6
5,4,0.00967597961426,4,1,1.0,4
6,12,0.0307500362396,5,2,1.66666666667,20
7,12,0.0426299571991,6,2,1.83333333333,22
8,12,0.055095911026,7,2,1.58333333333,19
9,18,0.0993988513947,8,3,1.88888888889,34
10,17,0.118051052094,9,3,1.88235294118,32
11,25,0.204267024994,10,4,2.4,60
12,26,0.253299951553,11,3,2.38461538462,62
13,28,0.320562124252,12,3,2.17857142857,61
14,28,0.375284910202,13,3,2.03571428571,57
15,38,0.575749874115,14,4,2.47368421053,94
16,26,0.462426900864,15,3,2.42307692308,63
17,26,0.523342847824,16,4,2.15384615385,56
18,39,0.858078956604,17,4,2.5641025641,100
19,40,0.986408948898,18,3,2.4,96
20,47,1.29124999046,19,4,2.29787234043,108
21,44,1.39419794083,20,4,2.40909090909,106
22,45,1.50087094307,21,4,2.33333333333,105
23,52,1.87275385857,22,5,3.05769230769,159
24,39,1.55344009399,23,5,3.28205128205,128
25,56,2.38106799126,24,6,2.91071428571,163
26,52,2.48907780647,25,4,2.76923076923,144
27,55,2.74778699875,26,6,3.47272727273,191
28,53,2.89593601227,27,5,2.64150943396,140
29,63,3.61360096931,28,6,3.79365079365,239
30,59,3.66528987885,29,6,3.45762711864,204
31,65,4.2808599472,30,5,3.21538461538,209
32,69,4.87905097008,31,5,3.53623188406,244
33,65,4.85842609406,32,5,3.16923076923,206
34,76,6.09667086601,33,6,3.69736842105,281
35,74,6.21223902702,34,5,3.41891891892,253
36,73,6.59122109413,35,5,3.43835616438,251
37,69,6.53488302231,36,6,3.13043478261,216
38,72,7.2624540329,37,6,4.33333333333,312
39,78,8.21130800247,38,5,3.46153846154,270
40,74,8.20664596558,39,6,4.27027027027,316
41,79,9.16986703873,40,6,3.83544303797,303
42,78,9.54891300201,41,6,3.70512820513,289
43,83,10.6249070168,42,6,4.33734939759,360
44,81,11.067743063,43,7,4.55555555556,369
45,85,11.955728054,44,8,4.89411764706,416
46,80,11.7983150482,45,7,4.3125,345
47,83,12.8317840099,46,7,4.36144578313,362
48,87,14.0092790127,47,7,4.44827586207,387
49,91,15.2549600601,48,6,4.20879120879,383
50,81,14.2385079861,49,7,4.34567901235,352
51,98,17.821764946,50,9,5.10204081633,500
52,95,18.2103149891,51,11,6.0,570
53,96,19.039509058,52,7,4.125,396
54,93,19.1781601906,53,8,4.79569892473,446
55,96,20.5011000633,54,10,5.4375,522
56,98,21.6900620461,55,8,5.10204081633,500
57,98,22.6245138645,56,12,6.72448979592,659
58,104,24.7688341141,57,10,5.53846153846,576
59,97,23.765504837,58,10,5.63917525773,547
60,100,25.7250800133,59,8,5.27,527
61,101,26.9135599136,60,10,6.06930693069,613
62,105,28.9541220665,61,8,5.40952380952,568
63,101,29.0195999146,62,17,8.90099009901,899
64,102,30.8706979752,63,9,4.55882352941,465
65,105,32.8809740543,64,8,5.46666666667,574
66,113,36.4081070423,65,9,5.77876106195,653
67,107,35.7486441135,66,12,7.44859813084,797
68,111,37.4019880295,67,13,7.4954954955,832
69,109,38.7243039608,68,8,4.61467889908,503
70,109,39.7920069695,69,12,6.47706422018,706
71,112,42.2993841171,70,9,5.49107142857,615
72,104,39.9827668667,71,7,4.45192307692,463
73,116,45.0542430878,72,11,5.80172413793,673
74,116,47.1713569164,73,9,6.0,696
75,117,48.0774569511,74,9,5.4358974359,636
76,122,52.7326688766,75,7,4.99180327869,609
77,117,51.7167460918,76,9,6.05128205128,708
78,118,52.8224270344,77,14,8.83050847458,1042
79,121,55.127779007,78,10,5.99173553719,725
80,120,57.0672981739,79,10,5.975,717
81,118,58.9017848969,80,11,6.87288135593,811
82,123,63.1817610264,81,13,7.33333333333,902
83,119,60.471269846,82,21,12.025210084,1431
84,120,63.394536972,83,10,5.91666666667,710
85,132,71.2604849339,84,11,6.53787878788,863
86,126,70.854571104,85,13,7.05555555556,889
87,129,73.1355571747,86,9,5.6976744186,735
88,129,75.8240680695,87,12,7.09302325581,915
89,127,75.3579289913,88,10,7.11811023622,904
90,125,77.6104559898,89,13,7.76,970
91,127,79.6824629307,90,13,7.70078740157,978
92,127,80.9215681553,91,16,8.55905511811,1087
93,128,83.560587883,92,25,13.0234375,1667
94,129,86.9020550251,93,10,6.17054263566,796
95,128,87.5255460739,94,12,7.1796875,919
96,130,91.2649819851,95,11,6.41538461538,834
97,132,94.822412014,96,10,6.75,891
98,127,93.664139986,97,12,6.67716535433,848
99,139,104.254527807,98,10,5.70503597122,793
100,143,109.383430004,99,14,8.04895104895,1151
