size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,1,0.00278615951538,1,0,0.0,0
3,3,0.00394701957703,2,1,1.0,3
4,6,0.00739598274231,3,2,1.33333333333,8
5,10,0.0168931484222,4,2,1.3,13
6,15,0.0350339412689,5,3,1.8,27
7,21,0.0651969909668,6,3,1.95238095238,41
8,28,0.113373994827,7,3,1.75,49
9,36,0.182214975357,8,4,2.30555555556,83
10,45,0.28423500061,9,4,2.37777777778,107
11,55,0.421534061432,10,4,2.69090909091,148
12,66,0.600644826889,11,3,2.12121212121,140
13,78,0.838431119919,12,4,2.75641025641,215
14,91,1.12953400612,13,4,2.46153846154,224
15,105,1.50401210785,14,4,2.6380952381,277
16,120,1.99618887901,15,5,2.90833333333,349
17,136,2.4914188385,16,5,3.08823529412,420
18,153,3.18721795082,17,5,3.45751633987,529
19,171,3.96264100075,18,6,3.41520467836,584
20,190,4.92993211746,19,6,3.58421052632,681
21,210,6.10523486137,20,6,3.26666666667,686
22,231,7.26635694504,21,6,3.52813852814,815
23,253,8.59876608849,22,5,3.33596837945,844
24,276,10.3548541069,23,6,3.5615942029,983
25,300,12.0896470547,24,6,3.41666666667,1025
26,325,14.3221039772,25,6,3.68307692308,1197
27,351,16.7093780041,26,6,3.66951566952,1288
28,378,19.3821539879,27,7,4.26984126984,1614
29,406,22.2017509937,28,7,3.67980295567,1494
30,435,25.7966837883,29,7,4.21149425287,1832
31,465,29.5970561504,30,8,4.07311827957,1894
32,496,33.8556230068,31,6,3.92741935484,1948
33,528,37.8191888332,32,8,4.95265151515,2615
34,561,43.0319740772,33,7,4.26203208556,2391
35,595,48.6919388771,34,7,4.53949579832,2701
36,630,54.5389060974,35,7,4.3873015873,2764
37,666,60.5679271221,36,7,4.31831831832,2876
38,703,67.8048388958,37,8,4.85917496444,3416
39,741,74.8801429272,38,9,5.41700404858,4014
40,780,83.0805339813,39,8,4.73974358974,3697
41,820,92.0268368721,40,8,4.76219512195,3905
42,861,101.734023809,41,9,4.58768873403,3950
43,903,112.499871969,42,9,5.10852713178,4613
44,946,123.642545938,43,8,4.40169133192,4164
45,990,134.955158949,44,9,5.08080808081,5030
46,1035,148.328156948,45,8,4.7652173913,4932
47,1081,162.065991879,46,8,5.19518963922,5616
48,1128,177.383507013,47,9,4.79343971631,5407
49,1176,191.436136961,48,8,5.1462585034,6052
50,1225,209.239720106,49,9,5.03918367347,6173
51,1275,229.145524025,50,9,5.63058823529,7179
52,1326,247.121970177,51,9,5.58069381599,7400
53,1378,268.97418499,52,8,4.75907111756,6558
54,1431,288.048019171,53,9,5.68972746331,8142
55,1485,312.006273985,54,9,5.75622895623,8548
56,1540,336.917520046,55,9,4.97142857143,7656
57,1596,361.682376862,56,9,5.1171679198,8167
58,1653,397.042430162,57,9,5.69509981851,9414
59,1710,420.848005056,58,10,6.14678362573,10511
60,1769,451.734349012,59,10,5.42001130582,9588
61,1830,488.435599089,60,9,5.44863387978,9971
62,1891,525.708323002,61,11,6.27815970386,11872
63,1953,559.221544981,62,10,6.1438812084,11999
64,2015,605.470980883,63,9,5.66550868486,11416
65,2080,646.366239071,64,9,5.85528846154,12179
66,2145,688.264746904,65,10,5.82377622378,12492
67,2210,732.728914976,66,11,6.61900452489,14628
68,2278,790.537457943,67,9,5.50834064969,12548
69,2346,841.55644393,68,10,6.30349531117,14788
70,2415,907.646286964,69,10,5.51842650104,13327
71,2485,960.662922144,70,11,5.89738430584,14655
72,2555,1043.81231403,71,10,5.69784735812,14558
73,2628,1117.54539013,72,10,6.25342465753,16434
74,2699,1202.16517305,73,12,6.60318636532,17822
75,2774,1281.24387097,74,10,5.77180966114,16011
76,2850,1349.3692739,75,11,6.10280701754,17393
77,2925,1431.23987794,76,10,6.0694017094,17753
78,3000,1529.10190701,77,11,5.723,17169
79,3080,1591.70811296,78,10,6.10097402597,18791
80,3160,1678.62733388,79,10,6.32278481013,19980
81,3239,1787.11820197,80,12,6.91324482865,22392
82,3321,1935.19825602,81,12,6.58777476664,21878
83,3403,2027.49978304,82,11,6.20863943579,21128
84,3486,2223.67140484,83,11,6.57200229489,22910
85,3570,2201.28147507,84,12,6.81344537815,24324
86,3655,2272.03487802,85,12,6.59370725034,24100
87,3738,2366.29981709,86,13,7.32477260567,27380
88,3828,2455.88318992,87,12,6.23406478579,23864
89,3915,2576.44382501,88,11,6.48250319285,25379
90,4004,2700.85021687,89,11,6.49425574426,26003
91,4095,2812.6017251,90,11,6.75238095238,27651
92,4185,2986.66324592,91,10,6.10848267622,25564
93,4277,3064.22945714,92,13,7.02361468319,30040
94,4369,3256.01171494,93,11,6.62966353857,28965
95,4462,3485.30139089,94,11,6.36418646347,28397
96,4557,3686.79149199,95,11,6.45622119816,29421
97,4655,3940.855793,96,11,6.65606874329,30984
98,4749,3973.80771995,97,11,6.69783112234,31808
99,4848,4124.93451095,98,12,7.20420792079,34926
100,4950,4303.4611311,99,12,6.93696969697,34338
