size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.001383066177368164,1,1,1.0,2
3,4,0.0048639774322509766,2,2,1.25,5
4,5,0.008511066436767578,3,2,1.4,7
5,6,0.014961004257202148,4,2,1.3333333333333333,8
6,16,0.045295000076293945,5,3,1.8125,29
7,14,0.05684399604797363,6,3,1.6428571428571428,23
8,16,0.08571910858154297,7,3,1.9375,31
9,19,0.13281798362731934,8,3,2.0526315789473686,39
10,19,0.16494202613830566,9,3,2.0526315789473686,39
11,24,0.2496960163116455,10,5,2.2083333333333335,53
12,21,0.272799015045166,11,4,2.2857142857142856,48
13,25,0.39356088638305664,12,4,1.84,46
14,33,0.5909280776977539,13,5,2.303030303030303,76
15,33,0.6985101699829102,14,5,2.4545454545454546,81
16,32,0.8368401527404785,15,4,2.25,72
17,34,0.9759199619293213,16,4,2.411764705882353,82
18,40,1.2694439888000488,17,4,2.45,98
19,38,1.3897311687469482,18,4,2.3684210526315788,90
20,48,1.9839990139007568,19,5,2.8958333333333335,139
21,39,1.8128108978271484,20,5,2.41025641025641,94
22,45,2.3612220287323,21,5,2.888888888888889,130
23,44,2.5617220401763916,22,4,2.4545454545454546,108
24,42,2.7541069984436035,23,4,2.4523809523809526,103
25,54,3.869368076324463,24,5,2.5925925925925926,140
26,59,4.608614921569824,25,5,2.864406779661017,169
27,58,5.034991979598999,26,5,2.7586206896551726,160
28,61,5.712483882904053,27,7,3.377049180327869,206
29,65,6.641103029251099,28,5,3.1538461538461537,205
30,61,6.830564022064209,29,6,3.081967213114754,188
31,58,7.0828611850738525,30,6,2.7241379310344827,158
32,66,8.567074060440063,31,7,3.621212121212121,239
33,66,9.100237846374512,32,7,3.227272727272727,213
34,71,10.805174112319946,33,8,3.3380281690140845,237
35,60,9.361275911331177,34,6,2.6666666666666665,160
36,76,13.353081941604614,35,7,3.3552631578947367,255
37,67,12.840897798538208,36,5,3.298507462686567,221
38,79,15.211076021194458,37,8,4.215189873417722,333
39,73,15.59018588066101,38,6,3.452054794520548,252
40,76,17.894556045532227,39,8,3.4210526315789473,260
41,77,19.227241039276123,40,6,3.1818181818181817,245
42,82,22.152846097946167,41,6,3.0365853658536586,249
43,94,27.408883094787598,42,7,3.5106382978723403,330
44,84,25.57204794883728,43,7,3.5952380952380953,302
45,86,28.008512020111084,44,8,3.953488372093023,340
46,85,29.82981300354004,45,7,3.552941176470588,302
47,89,33.258517026901245,46,7,3.8764044943820224,345
48,83,33.459859132766724,47,6,3.674698795180723,305
49,92,38.47582793235779,48,8,3.9239130434782608,361
50,86,36.777925968170166,49,7,3.511627906976744,302
51,93,41.8687469959259,50,6,3.6129032258064515,336
52,86,41.06250500679016,51,8,3.895348837209302,335
53,89,45.86150503158569,52,7,3.8764044943820224,345
54,98,51.19026589393616,53,7,3.9183673469387754,384
55,97,53.276942014694214,54,8,3.8762886597938144,376
56,94,54.261258125305176,55,8,3.648936170212766,343
57,94,57.70102906227112,56,7,3.9574468085106385,372
58,96,62.32355499267578,57,7,4.125,396
59,98,67.36456203460693,58,8,4.326530612244898,424
60,103,72.39487409591675,59,8,3.7864077669902914,390
61,108,75.00552701950073,60,10,4.37962962962963,473
62,102,77.4497799873352,61,8,4.245098039215686,433
63,110,90.76114892959595,62,8,4.218181818181818,464
64,105,90.1627688407898,63,9,3.7714285714285714,396
65,105,96.6412889957428,64,8,4.485714285714286,471
66,106,100.12745404243469,65,10,4.547169811320755,482
67,108,106.25036001205444,66,7,4.055555555555555,438
68,109,114.38621807098389,67,8,4.577981651376147,499
69,110,116.51743483543396,68,8,4.109090909090909,452
70,108,118.86005091667175,69,8,4.361111111111111,471
71,106,126.33698081970215,70,8,4.028301886792453,427
72,111,136.6706531047821,71,9,4.5675675675675675,507
73,122,148.64913487434387,72,7,4.163934426229508,508
74,117,153.2335340976715,73,8,4.119658119658119,482
75,115,154.55088996887207,74,10,4.408695652173913,507
76,116,162.3803470134735,75,9,4.586206896551724,532
77,119,170.43991088867188,76,9,4.61344537815126,549
78,115,167.02548098564148,77,9,4.765217391304348,548
79,119,178.1847860813141,78,10,4.873949579831932,580
80,117,193.43947291374207,79,8,4.717948717948718,552
81,124,204.68753600120544,80,9,5.032258064516129,624
82,118,196.5469892024994,81,9,4.3474576271186445,513
83,118,206.37788105010986,82,11,5.033898305084746,594
84,120,212.5235059261322,83,10,5.033333333333333,604
85,126,235.76080513000488,84,10,5.126984126984127,646
86,133,251.77090501785278,85,9,4.864661654135339,647
87,117,232.75834488868713,86,11,4.965811965811966,581
88,129,258.092502117157,87,11,4.937984496124031,637
89,131,271.42514085769653,88,9,4.641221374045801,608
90,133,281.0537488460541,89,9,4.661654135338346,620
91,129,290.47417998313904,90,9,4.364341085271318,563
92,134,315.5760660171509,91,10,4.455223880597015,597
93,135,324.40674209594727,92,10,4.814814814814815,650
94,133,330.60540795326233,93,9,4.315789473684211,574
95,134,343.6254539489746,94,9,4.597014925373134,616
96,134,358.29676389694214,95,10,4.559701492537314,611
97,133,361.6044180393219,96,9,4.6992481203007515,625
98,130,367.12521290779114,97,10,4.815384615384615,626
99,139,413.09031105041504,98,12,4.892086330935252,680
100,140,413.1452670097351,99,9,5.242857142857143,734
