size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.0023429393768310547,1,1,1.0,2,0.0
3,4,0.004168033599853516,2,2,1.25,5,0.0
4,5,0.0075969696044921875,3,2,1.2,6,0.333333333333
5,6,0.01293802261352539,4,2,1.3333333333333333,8,0.25
6,16,0.03940606117248535,5,3,1.9375,31,1.8
7,14,0.048368215560913086,6,3,1.9285714285714286,27,1.5
8,16,0.07176399230957031,7,3,2.0,32,2.42857142857
9,19,0.10649299621582031,8,3,1.894736842105263,36,2.75
10,19,0.1342010498046875,9,3,2.3157894736842106,44,7.77777777778
11,24,0.20091700553894043,10,3,2.2083333333333335,53,7.7
12,21,0.21228313446044922,11,3,2.1904761904761907,46,12.1818181818
13,25,0.3257150650024414,12,3,1.8,45,11.3333333333
14,33,0.45499706268310547,13,3,2.121212121212121,70,10.5384615385
15,33,0.5214369297027588,14,5,2.9696969696969697,98,10.5714285714
16,32,0.5812320709228516,15,4,2.6875,86,12.3333333333
17,34,0.6922581195831299,16,4,2.4411764705882355,83,22.1875
18,40,0.9092800617218018,17,4,2.475,99,16.8823529412
19,38,0.9615960121154785,18,4,2.5789473684210527,98,22.4444444444
20,48,1.3384249210357666,19,3,2.5208333333333335,121,26.7894736842
21,39,1.218386173248291,20,3,2.358974358974359,92,40.0
22,45,1.537039041519165,21,3,2.2888888888888888,103,24.9047619048
23,44,1.6810829639434814,22,4,2.6363636363636362,116,31.3181818182
24,42,1.7428059577941895,23,5,3.0714285714285716,129,19.1304347826
25,54,2.365079164505005,24,5,2.7962962962962963,151,41.0
26,59,2.79461407661438,25,4,2.7288135593220337,161,43.24
27,58,2.9880788326263428,26,4,2.6206896551724137,152,57.0769230769
28,61,3.4012889862060547,27,6,3.639344262295082,222,47.962962963
29,65,3.830735921859741,28,5,3.276923076923077,213,56.6428571429
30,61,3.869377851486206,29,10,5.0,305,50.7586206897
31,58,3.938481092453003,30,4,2.810344827586207,163,36.8
32,66,4.782745122909546,31,4,3.090909090909091,204,94.5161290323
33,66,5.065292119979858,32,6,3.8484848484848486,254,55.59375
34,71,5.7989561557769775,33,6,3.591549295774648,255,43.5757575758
35,60,5.197655200958252,34,6,4.233333333333333,254,69.0882352941
36,76,6.9372968673706055,35,6,3.5789473684210527,272,69.7428571429
37,67,6.540425062179565,36,7,4.029850746268656,270,52.75
38,79,8.037351131439209,37,7,4.151898734177215,328,60.5405405405
39,73,7.908983945846558,38,6,4.328767123287672,316,77.1842105263
40,76,8.600780963897705,39,5,3.223684210526316,245,112.692307692
41,77,9.221369981765747,40,6,3.6233766233766236,279,81.65
42,82,10.314157009124756,41,7,4.2439024390243905,348,88.8536585366
43,94,12.468650102615356,42,9,5.170212765957447,486,92.9047619048
44,84,11.699297189712524,43,5,3.9166666666666665,329,157.953488372
45,86,12.455109119415283,44,6,4.3023255813953485,370,85.8636363636
46,85,13.014594078063965,45,10,5.3882352941176475,458,120.044444444
47,89,14.384876012802124,46,7,4.561797752808989,406,125.826086957
48,83,13.812716960906982,47,8,5.337349397590361,443,117.978723404
49,92,16.212783813476562,48,8,5.065217391304348,466,128.833333333
50,86,15.618815898895264,49,6,3.883720930232558,334,108.020408163
51,93,17.223968982696533,50,7,4.344086021505376,404,176.96
52,86,16.69499182701111,51,6,4.162790697674419,358,129.647058824
53,89,17.949220895767212,52,8,4.438202247191011,395,169.557692308
54,98,20.517415046691895,53,8,5.255102040816326,515,134.132075472
55,97,21.0088210105896,54,7,4.804123711340206,466,100.462962963
56,94,21.050034046173096,55,7,4.117021276595745,387,105.618181818
57,94,21.824607133865356,56,8,4.968085106382978,467,137.017857143
58,96,22.99129009246826,57,7,4.625,444,128.263157895
59,98,24.474483013153076,58,6,4.204081632653061,412,139.448275862
60,103,26.594293117523193,59,7,4.514563106796117,465,134.084745763
61,108,28.771162033081055,60,6,4.055555555555555,438,132.333333333
62,102,28.019886016845703,61,7,4.450980392156863,454,168.737704918
63,110,31.23915410041809,62,8,5.1909090909090905,571,152.467741935
64,105,30.697533130645752,63,9,5.3428571428571425,561,174.095238095
65,105,32.01312494277954,64,9,6.561904761904762,689,205.796875
66,106,33.57654595375061,65,8,4.584905660377358,486,205.353846154
67,108,34.953309059143066,66,9,5.62037037037037,607,216.712121212
68,109,36.592864990234375,67,10,6.431192660550459,701,174.149253731
69,110,38.0193510055542,68,11,6.336363636363636,697,218.235294118
70,108,38.727880001068115,69,8,5.055555555555555,546,238.260869565
71,106,39.347710847854614,70,10,5.69811320754717,604,237.471428571
72,111,42.21693396568298,71,9,6.072072072072072,674,386.112676056
73,122,46.94694519042969,72,8,5.163934426229508,630,233.361111111
74,117,46.377092123031616,73,8,5.410256410256411,633,164.479452055
75,115,46.84340500831604,74,9,6.191304347826087,712,345.256756757
76,116,48.58239197731018,75,18,10.663793103448276,1237,317.826666667
77,119,50.94754099845886,76,9,5.5210084033613445,657,321.552631579
78,115,50.86881899833679,77,12,6.495652173913044,747,345.025974026
79,119,53.85128307342529,78,14,7.336134453781512,873,254.115384615
80,117,54.44627594947815,79,12,7.282051282051282,852,250.101265823
81,124,59.41500520706177,80,10,5.782258064516129,717,265.875
82,118,57.31476593017578,81,11,5.3559322033898304,632,283.481481481
83,118,59.15616703033447,82,10,6.033898305084746,712,405.756097561
84,120,61.724026918411255,83,8,5.7,684,229.048192771
85,126,65.8583459854126,84,26,13.484126984126984,1699,435.821428571
86,133,71.20924687385559,85,11,6.06015037593985,806,358.870588235
87,117,64.68531799316406,86,11,6.452991452991453,755,339.709302326
88,129,72.81429386138916,87,12,6.821705426356589,880,355.494252874
89,131,75.69389200210571,88,10,6.358778625954199,833,241.25
90,133,78.68656396865845,89,13,8.090225563909774,1076,499.921348315
91,129,78.19377589225769,90,18,9.472868217054264,1222,422.766666667
92,134,82.90268898010254,91,11,6.7835820895522385,909,325.120879121
93,135,85.36101794242859,92,12,6.637037037037037,896,342.760869565
94,133,85.72218298912048,93,11,7.052631578947368,938,478.043010753
95,134,88.2405059337616,94,13,6.873134328358209,921,301.914893617
96,134,90.49985313415527,95,13,8.014925373134329,1074,443.178947368
97,133,91.70247793197632,96,13,8.706766917293233,1158,399.03125
98,130,91.38752508163452,97,11,6.007692307692308,781,426.546391753
99,139,99.66004800796509,98,16,8.33093525179856,1158,421.224489796
100,140,102.98118615150452,99,15,8.728571428571428,1222,394.111111111
