size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.00326609611511,2,1,1.0,2
3,5,0.00635695457458,2,2,1.4,7
4,9,0.0201659202576,3,2,1.55555555556,14
5,13,0.0352609157562,3,3,1.76923076923,23
6,20,0.0647010803223,3,4,1.85,37
7,25,0.107438087463,3,4,2.44,61
8,34,0.199508190155,4,4,2.70588235294,92
9,41,0.286771059036,4,6,2.9756097561,122
10,48,0.439695119858,4,5,2.5,120
11,63,0.649961948395,5,5,2.69841269841,170
12,74,0.860056877136,4,6,3.01351351351,223
13,83,1.16973686218,5,6,3.01204819277,250
14,93,1.52404999733,5,6,3.33333333333,310
15,102,2.03394603729,5,7,3.35294117647,342
16,116,2.37854218483,4,8,3.96551724138,460
17,133,2.87479782104,4,7,3.54887218045,472
18,143,3.61470007896,5,7,3.86713286713,553
19,165,4.41577386856,4,8,4.09090909091,675
20,187,6.04088401794,6,9,4.67379679144,874
21,204,6.97125601768,5,8,4.17647058824,852
22,209,7.61463212967,5,8,3.86602870813,808
23,227,9.34760403633,5,9,4.23788546256,962
24,245,10.562005043,5,10,4.36734693878,1070
25,278,13.2572200298,5,9,4.71223021583,1310
26,293,15.0864338875,6,8,4.2866894198,1256
27,292,16.5161859989,6,8,4.29794520548,1255
28,326,19.5157940388,6,9,4.61042944785,1503
29,355,22.5591640472,6,11,4.77464788732,1695
30,376,24.7995228767,6,11,4.93085106383,1854
31,405,29.5197029114,6,11,4.64691358025,1882
32,401,31.2242748737,6,10,5.18952618454,2081
33,419,34.7271330357,6,11,5.21718377088,2186
34,439,37.5240309238,5,12,5.76537585421,2531
35,468,43.9053709507,7,11,5.77991452991,2705
36,502,48.4856920242,6,11,5.50796812749,2765
37,557,57.2193820477,6,12,5.85816876122,3263
38,577,63.3014740944,6,15,5.54592720971,3200
39,586,66.8266060352,7,11,5.69795221843,3339
40,636,74.616437912,6,13,5.75786163522,3662
41,660,82.8041601181,6,10,4.84848484848,3200
42,691,92.2516608238,7,10,5.27496382055,3645
43,696,96.5347678661,7,11,5.87068965517,4086
44,744,108.922574997,7,12,5.69489247312,4237
45,775,116.320373058,6,14,5.63483870968,4367
46,811,129.140678167,6,11,6.03452527744,4894
47,837,136.017601013,6,11,5.41218637993,4530
48,843,145.921710014,6,14,5.94424673784,5011
49,931,168.53241992,6,11,5.82921589689,5427
50,931,178.800819874,7,13,5.87647690655,5471
51,881,172.242864132,7,14,5.98637911464,5274
52,1021,211.788455963,7,15,5.96474045054,6090
53,1029,222.149978876,6,13,6.4139941691,6600
54,1090,239.973085165,6,12,6.51467889908,7101
55,1143,261.434588909,7,15,6.47944006999,7406
56,1165,279.960696936,8,14,6.40600858369,7463
57,1194,304.836385965,7,14,6.6850921273,7982
58,1244,326.23277688,7,14,6.70418006431,8340
59,1251,335.739066124,7,13,6.86650679456,8590
60,1280,343.459990025,6,13,6.409375,8204
61,1328,378.064697027,7,16,6.80496987952,9037
62,1413,408.763064861,7,16,6.72469922151,9502
63,1452,439.941562891,8,14,6.92699724518,10058
64,1502,476.684808016,7,13,6.54593874834,9832
65,1541,495.434430838,7,15,7.12783906554,10984
66,1492,496.12451601,7,14,6.76809651475,10098
67,1642,587.659799814,7,14,7.12119366626,11693
68,1642,605.107988834,7,14,6.73447015834,11058
69,1701,646.648803949,7,15,7.14109347443,12147
70,1751,685.057240009,7,15,7.20559680183,12617
71,1815,736.56491518,7,15,7.73994490358,14048
72,1776,741.087367058,8,13,6.9161036036,12283
73,1844,783.512555122,7,16,7.31019522777,13480
74,1950,858.014889002,7,15,7.46564102564,14558
75,2014,914.089180946,8,16,7.18073485601,14462
76,2067,957.68977809,7,15,7.18819545235,14858
77,2093,990.37182498,7,15,7.31772575251,15316
78,2123,1064.54918289,7,16,7.88271314178,16735
79,2158,1101.49960494,8,16,7.82066728452,16877
80,2212,1148.58375788,7,16,8.42450271248,18635
81,2322,1239.72553611,7,17,8.12230835487,18860
82,2304,1276.16640401,8,16,7.83940972222,18062
83,2428,1406.6442349,7,16,8.16515650741,19825
84,2328,1372.97606611,8,17,8.55713058419,19921
85,2492,1523.03318095,6,15,7.3467094703,18308
86,2569,1612.49976897,7,17,7.87465940054,20230
87,2614,1675.24224496,7,16,7.53596021423,19699
88,2686,1810.26082492,7,16,7.73715562174,20782
89,2670,1756.90515208,8,16,8.39662921348,22419
90,2818,1989.06689787,7,16,7.86195883605,22155
91,2893,2127.30013704,8,15,7.5385413066,21809
92,2906,2792.38509798,7,17,7.84136269787,22787
93,2950,2761.75322509,7,18,8.87186440678,26172
94,2973,3004.75209308,8,15,7.76320215271,23080
95,3100,2929.07367182,6,17,8.11322580645,25151
96,3157,3047.65771317,7,17,8.37092176117,26427
97,3203,3288.89124894,7,17,8.68061192632,27804
98,3223,3348.41103005,7,17,8.42165684145,27143
99,3335,3387.96868396,8,18,8.54602698651,28501
100,3415,3532.4106729,7,18,8.46998535871,28925
