size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,1,0.00317215919495,2,1,1.0,1
3,4,0.00554203987122,2,2,1.25,5
4,5,0.010397195816,2,2,1.8,9
5,9,0.0192079544067,2,3,1.55555555556,14
6,10,0.0366909503937,3,3,2.0,20
7,12,0.0532720088959,3,4,2.25,27
8,17,0.103675842285,4,4,2.23529411765,38
9,19,0.148827075958,5,4,2.36842105263,45
10,25,0.225611925125,3,4,2.28,57
11,24,0.260933876038,5,5,2.54166666667,61
12,18,0.228708982468,4,4,2.05555555556,37
13,32,0.439795017242,4,5,2.96875,95
14,28,0.469121217728,5,5,2.67857142857,75
15,31,0.569483041763,5,4,2.1935483871,68
16,32,0.680636167526,5,6,3.375,108
17,39,0.877084970474,5,6,3.28205128205,128
18,40,1.05207300186,6,6,3.275,131
19,43,1.18824887276,5,7,3.27906976744,141
20,40,1.34051394463,6,6,3.2,128
21,45,1.51627612114,5,7,3.28888888889,148
22,46,1.67067503929,4,8,4.0652173913,187
23,44,1.9041428566,6,6,3.22727272727,142
24,46,2.0241549015,5,8,3.39130434783,156
25,46,2.1910378933,6,7,3.78260869565,174
26,55,2.7747490406,6,9,4.47272727273,246
27,60,3.2210547924,5,8,4.25,255
28,61,3.77116394043,6,8,4.14754098361,253
29,57,3.63068795204,6,8,3.73684210526,213
30,54,3.64707899094,6,7,3.77777777778,204
31,59,4.30777716637,6,9,4.89830508475,289
32,59,4.49857115746,6,9,3.86440677966,228
33,63,5.0169699192,6,10,4.52380952381,285
34,69,5.96924686432,6,10,4.60869565217,318
35,64,5.8191139698,6,10,4.84375,310
36,72,6.95007610321,6,10,5.01388888889,361
37,75,7.57468295097,7,10,4.93333333333,370
38,75,8.21158099174,7,10,5.29333333333,397
39,74,8.18870997429,6,8,5.2972972973,392
40,78,9.01724410057,6,9,4.75641025641,371
41,77,9.37576699257,6,9,4.97402597403,383
42,82,10.7067940235,6,10,4.76829268293,391
43,84,11.3228712082,6,9,4.79761904762,403
44,83,11.6883788109,5,10,4.97590361446,413
45,87,12.7815649509,6,10,5.09195402299,443
46,86,13.1247489452,7,12,5.40697674419,465
47,88,14.1300718784,6,12,5.51136363636,485
48,83,13.9416060448,7,10,5.60240963855,465
49,85,14.6507999897,6,11,5.16470588235,439
50,83,15.1282491684,7,12,5.93975903614,493
51,94,17.6375579834,6,10,5.5,517
52,96,19.3320960999,7,11,5.21875,501
53,100,20.3492558002,7,10,5.44,544
54,101,21.6008970737,7,12,6.0,606
55,95,20.5810520649,6,13,6.07368421053,577
56,97,22.0057201385,7,12,6.10309278351,592
57,97,22.680603981,7,12,6.55670103093,636
58,92,22.3679311275,7,11,6.11956521739,563
59,93,23.1874401569,7,12,6.49462365591,604
60,97,25.2843821049,7,12,5.49484536082,533
61,108,29.0206758976,7,12,6.08333333333,657
62,109,30.0129671097,7,11,5.62385321101,613
63,106,30.2411510944,6,11,6.01886792453,638
64,102,30.1352529526,7,12,6.07843137255,620
65,107,32.3478839397,7,13,6.28037383178,672
66,105,33.0596830845,7,14,6.35238095238,667
67,110,35.4874210358,7,12,6.22727272727,685
68,107,35.8459999561,7,13,6.60747663551,707
69,111,38.6223130226,7,11,6.04504504505,671
70,101,35.4239060879,7,11,5.89108910891,595
71,108,39.1622200012,7,13,6.35185185185,686
72,107,39.5738739967,7,13,6.08411214953,651
73,114,44.1911888123,7,11,6.43859649123,734
74,126,49.5202109814,7,15,7.31746031746,922
75,127,51.6417770386,8,12,6.49606299213,825
76,117,48.7233550549,8,12,6.54700854701,766
77,118,50.360560894,8,12,6.71186440678,792
78,115,50.4646749496,7,14,6.02608695652,693
79,120,53.5219349861,8,12,6.575,789
80,115,52.9392960072,7,13,6.86956521739,790
81,118,55.6944191456,8,15,6.50847457627,768
82,123,59.2086880207,7,14,6.36585365854,783
83,123,60.3892009258,7,14,7.43089430894,914
84,114,57.3234410286,7,13,6.97368421053,795
85,128,67.6384680271,8,13,6.9921875,895
86,123,65.3036501408,7,14,7.34959349593,904
87,127,68.6382679939,7,13,6.92913385827,880
88,134,75.339854002,8,14,7.60447761194,1019
89,129,74.7446899414,8,14,7.23255813953,933
90,129,74.4341568947,7,14,7.0,903
91,123,73.1951320171,7,12,6.80487804878,837
92,135,82.9065260887,9,13,7.3037037037,986
93,128,79.150316,7,17,7.875,1008
94,127,80.4805910587,7,14,7.37007874016,936
95,132,85.2203791142,7,15,7.83333333333,1034
96,130,87.7977790833,8,14,7.98461538462,1038
97,126,84.8558428288,8,14,7.69841269841,970
98,129,89.7854659557,8,14,7.68992248062,992
99,141,99.9396691322,8,16,7.50354609929,1058
100,140,101.35317111,7,17,7.7,1078
