size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,1,0.00251007080078,2,0,0.0,0
3,3,0.00366497039795,2,1,0.666666666667,2
4,6,0.0113620758057,3,2,1.5,9
5,10,0.0239241123199,3,3,1.6,16
6,15,0.0552110671997,4,3,1.86666666667,28
7,21,0.0963089466095,4,3,1.85714285714,39
8,28,0.154258966446,4,4,2.64285714286,74
9,36,0.233892917633,4,5,2.5,90
10,45,0.374997138977,4,4,2.71111111111,122
11,55,0.54222202301,4,6,3.29090909091,181
12,66,0.791455984116,5,6,3.01515151515,199
13,78,0.95422911644,4,5,2.87179487179,224
14,91,1.31853199005,4,7,3.69230769231,336
15,105,1.84297895432,5,8,3.57142857143,375
16,120,2.30227684975,5,7,3.88333333333,466
17,136,2.81012511253,4,7,3.49264705882,475
18,153,3.74835300446,5,9,4.39215686275,672
19,171,4.66132998466,5,8,3.70175438596,633
20,189,5.97793388367,6,9,4.62962962963,875
21,210,6.90133595467,5,8,3.89523809524,818
22,231,8.48933696747,6,8,4.87012987013,1125
23,253,10.2888839245,7,11,5.47826086957,1386
24,276,11.6828370094,5,9,4.58333333333,1265
25,300,13.7042350769,5,8,4.45,1335
26,325,16.6867120266,6,10,4.85538461538,1578
27,351,18.5625,5,10,5.33903133903,1874
28,378,21.8362789154,6,10,5.00793650794,1893
29,406,25.1762788296,6,9,5.02463054187,2040
30,435,28.3762030602,5,11,5.69655172414,2478
31,465,32.8545260429,6,11,5.76129032258,2679
32,496,37.1021418571,6,10,4.59475806452,2279
33,528,42.8375279903,6,12,5.50378787879,2906
34,561,46.4246180058,5,11,5.86631016043,3291
35,595,52.4822919369,6,13,5.26218487395,3131
36,630,59.6134848595,6,10,5.10634920635,3217
37,666,67.1600160599,6,11,5.34234234234,3558
38,703,74.4849338531,6,13,5.45092460882,3832
39,741,84.4807600975,7,13,6.24021592443,4624
40,780,92.0319600105,6,12,6.20256410256,4838
41,820,99.7793579102,5,12,5.88780487805,4828
42,861,111.10432291,7,12,5.94541231127,5119
43,903,120.040558815,6,12,5.67552602436,5125
44,945,134.612450123,6,12,6.46560846561,6110
45,990,149.273525953,6,13,6.6595959596,6593
46,1035,166.836078882,8,14,6.64541062802,6878
47,1081,174.72883606,7,12,6.09250693802,6586
48,1128,193.634160995,7,12,6.81471631206,7687
49,1176,207.355685949,7,14,6.61479591837,7779
50,1224,226.260246992,7,14,6.4910130719,7945
51,1275,246.285439968,6,12,6.4337254902,8203
52,1326,267.217768908,7,11,5.64177978884,7481
53,1377,289.716702938,7,13,6.69426289034,9218
54,1431,310.024142981,7,15,6.62194269741,9476
55,1485,331.972256184,6,14,6.37643097643,9469
56,1538,369.656802893,7,13,7.10013003901,10920
57,1596,392.892026901,7,15,6.97305764411,11129
58,1653,414.880178928,6,14,7.04355716878,11643
59,1711,449.536668062,7,15,7.20631209819,12330
60,1770,488.32194519,7,12,6.98644067797,12366
61,1830,513.060582876,7,14,7.0393442623,12882
62,1891,559.277920008,7,12,6.53569539926,12359
63,1953,600.876823902,7,15,7.65028161802,14941
64,2016,645.423374176,7,14,6.95238095238,14016
65,2080,680.332736969,7,16,7.26971153846,15121
66,2145,730.480665922,7,15,7.11841491841,15269
67,2211,773.868057013,7,16,7.46494798734,16505
68,2278,825.933387995,6,14,7.18788410887,16374
69,2346,874.292958975,6,15,7.80179028133,18303
70,2414,951.298784971,8,14,7.22203811102,17434
71,2484,1001.61896706,7,18,7.91425120773,19659
72,2556,1068.52148294,7,16,8.18935837246,20932
73,2626,1130.24182892,7,14,7.75133282559,20355
74,2701,1209.90293717,7,16,7.22362088116,19511
75,2775,1257.18940806,6,14,7.59279279279,21070
76,2850,1382.42807603,7,17,8.18456140351,23326
77,2924,1485.29404187,8,17,8.03727770178,23501
78,3003,1570.80295587,7,16,8.10056610057,24326
79,3081,1685.86729789,8,15,7.53781239857,23224
80,3160,1781.64465284,8,17,9.01360759494,28483
81,3240,1899.76845193,7,16,7.93395061728,25706
82,3319,1921.78692198,7,17,8.66887616752,28772
83,3401,1980.92302585,8,17,8.42164069391,28642
84,3485,2762.55946517,8,17,8.50645624103,29645
85,3570,2804.510957,7,15,7.8512605042,28029
86,3655,2996.24878001,9,18,8.88837209302,32487
87,3741,3122.00205898,7,15,8.36033146218,31276
88,3828,3056.59649301,7,19,8.87748171369,33983
89,3916,3409.29143405,7,18,8.40628192033,32919
90,4003,3516.09330392,8,16,8.57481888584,34325
91,4094,3548.80723405,7,17,8.14973131412,33365
92,4184,3847.75518417,8,17,8.18307839388,34238
93,4272,4051.74874401,8,17,8.94967228464,38233
94,4368,4396.27583504,8,17,8.82211538462,38535
95,4462,4375.67807484,8,18,8.67817122367,38722
96,4558,4522.39748907,8,18,8.87845546292,40468
97,4653,4945.74565196,8,19,8.40726413067,39119
98,4753,5224.90123487,8,20,9.82347990743,46691
99,4850,5302.28422499,8,17,8.97773195876,43542
100,4948,5695.28984404,7,17,8.79708973323,43528
