size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.00776386260986,2,1,1.0,2
3,5,0.00580716133118,2,2,1.2,6
4,9,0.0226829051971,3,3,1.77777777778,16
5,14,0.0359389781952,3,4,1.64285714286,23
6,20,0.0486390590668,2,2,1.65,33
7,26,0.103518009186,3,4,2.34615384615,61
8,33,0.173328876495,4,6,2.48484848485,82
9,42,0.288296937943,4,5,2.57142857143,108
10,50,0.423810005188,5,5,2.46,123
11,62,0.588498830795,5,6,3.20967741935,199
12,73,0.866541862488,5,5,2.86301369863,209
13,80,1.03217196465,5,7,3.75,300
14,97,1.40907287598,5,6,3.40206185567,330
15,105,1.72186803818,4,7,3.22857142857,339
16,116,2.2672059536,5,7,3.62068965517,420
17,129,2.71853780746,5,9,4.0,516
18,146,3.4823641777,5,8,3.78767123288,553
19,158,3.9579949379,5,10,4.43037974684,700
20,180,5.04711198807,5,8,4.08333333333,735
21,198,6.2195661068,6,8,3.68181818182,729
22,232,7.8770608902,5,7,3.69396551724,857
23,232,8.49206900597,5,9,4.72413793103,1096
24,244,9.89898991585,6,10,5.0368852459,1229
25,278,12.5824000835,5,8,4.19064748201,1165
26,292,13.855232954,6,9,4.89383561644,1429
27,304,15.5827491283,6,8,4.05263157895,1232
28,331,17.9333381653,6,10,5.08459214502,1683
29,354,20.9326529503,7,11,4.49152542373,1590
30,360,22.7420549393,6,9,4.25833333333,1533
31,377,25.3175690174,6,8,4.16710875332,1571
32,430,30.6920580864,7,10,5.15581395349,2217
33,441,33.763343811,6,12,5.38321995465,2374
34,469,38.2111620903,6,11,5.5223880597,2590
35,491,43.3576130867,7,10,5.01221995927,2461
36,543,49.1262059212,6,10,4.75874769797,2584
37,567,54.2769320011,6,12,5.16225749559,2927
38,602,60.3608219624,6,11,5.36710963455,3231
39,597,65.5374560356,6,11,5.43718592965,3246
40,613,68.3763170242,7,12,5.64110929853,3458
41,645,76.00243783,7,11,5.26201550388,3394
42,692,84.7366831303,6,11,5.63005780347,3896
43,716,93.1156299114,6,11,5.08519553073,3641
44,744,102.617536068,7,12,4.96102150538,3691
45,781,112.080021858,6,11,6.0371318822,4715
46,818,121.772577047,7,13,6.16014669927,5039
47,822,127.70761013,6,13,6.11070559611,5023
48,859,140.707349062,7,11,5.86379511059,5037
49,925,156.887184858,6,14,6.17405405405,5711
50,935,165.606724024,7,13,6.1679144385,5767
51,972,179.946519136,7,12,5.61316872428,5456
52,1020,194.605093002,7,13,6.49019607843,6620
53,1046,212.288580179,7,12,6.41395793499,6709
54,1060,226.363628864,6,13,5.75754716981,6103
55,1155,251.463465929,7,13,6.21991341991,7184
56,1182,268.591105223,8,12,6.18443316413,7310
57,1215,287.033840895,7,13,6.57942386831,7994
58,1232,302.303307056,7,12,6.55438311688,8075
59,1296,330.596497059,7,14,6.61188271605,8569
60,1321,350.689133883,7,13,5.92051476154,7821
61,1329,360.259989023,7,14,7.15124153499,9504
62,1399,397.673328876,7,13,6.51608291637,9116
63,1434,430.050451994,7,12,6.47977684798,9292
64,1511,492.038909912,7,15,6.59761747187,9969
65,1554,535.852010965,8,14,6.61711711712,10283
66,1571,519.968385935,7,14,6.4863144494,10190
67,1596,556.24534893,7,15,6.98245614035,11144
68,1683,603.014322996,6,15,6.71954842543,11309
69,1702,636.467567205,7,14,6.85076380729,11660
70,1773,660.576806068,7,16,7.20530174845,12775
71,1748,711.517910957,7,15,7.19851258581,12583
72,1817,734.966993093,7,16,7.98018712163,14500
73,1905,794.771585941,7,15,7.15275590551,13626
74,1947,817.226089954,7,14,7.17565485362,13971
75,1951,851.87639904,7,15,7.21988723731,14086
76,2023,907.225457907,8,14,7.25556104795,14678
77,2080,980.273705959,7,16,7.60144230769,15811
78,2096,994.645098925,8,15,7.15458015267,14996
79,2209,1092.49634504,7,15,7.13037573563,15751
80,2271,1123.80247116,8,17,8.04667547336,18274
81,2280,1231.74394703,7,17,7.34956140351,16757
82,2380,1332.74741197,7,15,6.91512605042,16458
83,2360,1290.04846406,7,14,7.60677966102,17952
84,2438,1396.94253993,8,15,7.5237899918,18343
85,2506,1416.43626904,8,15,7.80287310455,19554
86,2600,1564.50311995,7,14,7.46153846154,19400
87,2654,1614.15702796,7,17,8.15825169555,21652
88,2650,1633.79752207,7,17,8.28188679245,21947
89,2760,1757.72402906,7,15,8.04891304348,22215
90,2754,1771.82446194,7,17,7.89179375454,21734
91,2873,1917.06820703,7,16,7.89349112426,22678
92,2947,2067.13231087,7,16,8.25687139464,24333
93,3018,2055.61212277,7,17,7.81146454606,23575
94,2926,2065.78477597,8,16,8.65994531784,25339
95,3073,2214.245538,7,17,7.74292222584,23794
96,3141,2306.48552084,7,19,7.81088825215,24534
97,3188,2413.47574997,8,18,8.13048933501,25920
98,3221,2438.93386602,7,16,8.28158956846,26675
99,3280,2579.40012789,8,18,8.9125,29233
100,3420,2725.58878613,8,15,7.79005847953,26642
