size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2.0,2.0,0.0028299331665,2.0,1.0,1.0,2.0
3.0,5.0,0.00770764350891,2.8,2.0,1.32,6.6
4.0,9.0,0.0154995441437,3.0,2.4,1.55555555556,14.0
5.0,14.0,0.032838344574,3.2,2.8,1.65714285714,23.2
6.0,19.0,0.0621650218964,3.4,3.6,2.2,41.8
7.0,27.0,0.104336452484,3.4,4.2,2.31111111111,62.4
8.0,32.0,0.168285179138,4.0,4.0,2.2625,72.4
9.0,42.0,0.262597036362,4.2,5.0,2.70476190476,113.6
10.0,50.0,0.373694753647,4.0,5.4,2.684,134.2
11.0,62.0,0.571560049057,4.8,5.0,2.9064516129,180.2
12.0,70.0,0.732116794586,4.0,5.8,3.02571428571,211.8
13.0,84.0,1.05825800896,4.8,5.0,2.88571428571,242.4
14.0,96.0,1.37349896431,4.8,6.4,3.36666666667,323.2
15.0,109.0,1.81365556717,5.4,6.0,3.29174311927,358.8
16.0,124.0,2.26093549728,4.6,7.4,3.7064516129,459.6
17.0,135.0,2.78218898773,4.8,7.2,3.57777777778,483.0
18.0,144.0,3.34318122864,5.4,7.2,3.57083333333,514.2
19.0,159.0,4.07305340767,5.2,7.4,3.90314465409,620.6
20.0,185.0,5.23030605316,4.8,7.6,3.7772972973,698.8
21.0,191.0,5.93712863922,5.2,8.2,3.98010471204,760.2
22.0,212.0,7.22174892426,5.4,8.4,4.24245283019,899.4
23.0,229.0,8.50804076195,5.8,8.2,4.12489082969,944.6
24.0,253.0,10.2092875957,5.6,9.2,4.34940711462,1100.4
25.0,271.0,11.9333473682,5.6,9.0,4.4295202952,1200.4
26.0,265.0,12.5365451813,5.4,9.0,4.30867924528,1141.8
27.0,321.0,16.3605174541,5.4,9.4,4.53457943925,1455.6
28.0,326.0,17.8114810467,5.8,9.0,4.33803680982,1414.2
29.0,364.0,21.5346119881,6.0,9.6,4.46208791209,1624.2
30.0,364.0,22.873866415,6.0,9.6,4.77197802198,1737.0
31.0,409.0,27.5440918446,5.8,8.8,4.96723716381,2031.6
32.0,409.0,29.6238379955,5.4,10.2,4.8586797066,1987.2
33.0,436.0,32.9164754868,6.0,10.8,5.14724770642,2244.2
34.0,460.0,37.4156357765,6.2,9.8,4.90782608696,2257.6
35.0,490.0,41.6254394054,5.8,10.4,5.07224489796,2485.4
36.0,529.0,48.0690876007,6.6,10.8,5.38185255198,2847.0
37.0,540.0,51.1083292007,6.2,11.2,5.24703703704,2833.4
38.0,583.0,59.1164378166,6.6,10.8,5.27787307033,3077.0
39.0,594.0,63.451061821,6.0,11.0,5.30875420875,3153.4
40.0,629.0,70.4628356457,6.4,10.8,5.75516693164,3620.0
41.0,689.0,80.3965892315,6.2,13.0,5.81567489115,4007.0
42.0,677.0,83.0250513554,6.2,11.4,5.75214180207,3894.2
43.0,740.0,95.4717422485,6.4,11.6,5.45513513514,4036.8
44.0,749.0,101.361072206,6.6,12.2,5.79652870494,4341.6
45.0,783.0,111.411900043,6.6,11.8,5.55427841635,4349.0
46.0,779.0,115.396452188,7.0,12.6,6.20436456996,4833.2
47.0,832.0,128.693184805,6.2,11.8,5.953125,4953.0
48.0,886.0,142.247755241,6.6,14.0,6.2230248307,5513.6
49.0,939.0,161.913484144,6.6,12.4,6.13865814696,5764.2
50.0,924.0,162.46779213,6.6,13.0,6.26082251082,5785.0
51.0,993.0,183.273853874,7.0,13.0,6.05196374622,6009.6
52.0,1014.0,192.56970253,6.8,12.8,6.18915187377,6275.8
53.0,1065.0,212.730686474,7.0,12.6,6.27417840376,6682.0
54.0,1074.0,223.559095573,6.6,14.2,6.57337057728,7059.8
55.0,1164.0,250.863492012,6.4,12.8,6.3823024055,7429.0
56.0,1158.0,258.904689074,6.4,12.8,6.58324697755,7623.4
57.0,1212.0,284.452242231,6.8,13.4,6.33300330033,7675.6
58.0,1236.0,298.784860039,7.0,13.2,6.50129449838,8035.6
59.0,1246.0,310.616805553,6.6,13.2,6.31235955056,7865.2
60.0,1322.0,345.224543953,6.8,14.4,6.63343419062,8769.4
61.0,1363.0,368.523058367,7.0,14.2,6.83110785033,9310.8
62.0,1416.0,395.248132801,6.4,14.0,6.69844632768,9485.0
63.0,1447.0,420.219670725,7.0,13.4,6.85169315826,9914.4
64.0,1508.0,496.489430285,6.8,14.6,6.88050397878,10375.8
65.0,1535.0,508.994843245,7.4,14.2,6.83296416938,10488.6
66.0,1586.0,540.984373426,6.8,14.8,6.97087011349,11055.8
67.0,1584.0,557.797006226,7.4,15.0,7.0970959596,11241.8
68.0,1658.0,603.334681273,7.0,15.4,7.164053076,11878.0
69.0,1702.0,633.017466402,7.4,14.2,7.12279670975,12123.0
70.0,1778.0,682.5968678,6.8,15.4,7.10044994376,12624.6
71.0,1796.0,713.15871954,7.0,15.8,7.04153674833,12646.6
72.0,1823.0,743.268886423,7.2,16.6,7.60855732309,13870.4
73.0,1905.0,793.388479614,6.6,15.4,7.48251968504,14254.2
74.0,1916.0,819.598160791,7.4,14.8,7.44634655532,14267.2
75.0,1983.0,875.134722376,7.4,16.4,7.60342914776,15077.6
76.0,2026.0,920.023494148,7.2,16.0,7.61194471866,15421.8
77.0,2086.0,984.335515928,7.4,14.4,7.13480345158,14883.2
78.0,2137.0,1036.56409678,7.6,16.2,7.67253158634,16396.2
79.0,2205.0,1075.92065396,7.4,15.2,7.62049886621,16803.2
80.0,2284.0,1148.77980924,7.2,17.0,7.7023642732,17592.2
81.0,2282.0,1173.11143179,7.2,16.6,7.66424189308,17489.8
82.0,2386.0,1268.16960521,7.2,17.0,8.08306789606,19286.2
83.0,2383.0,1286.18271842,7.0,15.8,7.38027696181,17587.2
84.0,2428.0,1348.96947956,7.0,15.8,7.57907742998,18402.0
85.0,2516.0,1424.70063663,6.8,16.4,8.04054054054,20230.0
86.0,2548.0,1493.93350158,7.2,16.0,7.7956043956,19863.2
87.0,2646.0,1598.33545361,7.6,16.4,7.83333333333,20727.0
88.0,2673.0,1698.68128099,7.4,16.4,7.85978301534,21009.2
89.0,2732.0,1714.27615504,7.6,16.2,7.81002928258,21337.0
90.0,2827.0,1821.85544047,7.4,17.2,8.24754156349,23315.8
91.0,2910.0,1925.06672897,7.4,15.8,8.04164948454,23401.2
92.0,2938.0,1957.63563862,7.6,17.2,8.00565010211,23520.6
93.0,2933.0,2015.61523242,7.4,18.0,8.22843504944,24134.0
94.0,2962.0,2097.03903723,7.8,18.6,8.2824442944,24532.6
95.0,3072.0,2215.62386847,7.6,17.0,8.424609375,25880.4
96.0,3131.0,2326.4911284,7.8,17.0,8.23315234749,25778.0
97.0,3131.0,2346.2618114,7.4,18.0,8.69945704248,27238.0
98.0,3257.0,2464.48492703,7.8,17.2,8.15369972367,26556.6
99.0,3346.0,2639.79615188,7.6,16.6,8.15044829647,27271.4
100.0,3338.0,2673.07286544,8.0,16.4,8.48621929299,28327.0
