size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.00781393051147,1,1,1.0,2
3,4,0.00221610069275,2,2,1.25,5
4,9,0.00895285606384,3,2,1.33333333333,12
5,14,0.0232818126678,4,2,1.5,21
6,20,0.0533709526062,5,3,1.8,36
7,26,0.0912671089172,6,3,1.88461538462,49
8,30,0.188534975052,7,3,1.86666666667,56
9,37,0.234136104584,8,3,1.94594594595,72
10,49,0.421595096588,9,4,2.14285714286,105
11,49,0.498502969742,10,4,2.04081632653,100
12,72,0.888201951981,11,5,2.34722222222,169
13,82,1.18339300156,12,4,2.35365853659,193
14,95,1.6564540863,13,4,2.41052631579,229
15,106,2.17495417595,14,4,2.52830188679,268
16,129,3.15453505516,15,4,2.58914728682,334
17,131,3.64605093002,16,5,2.76335877863,362
18,144,4.46184420586,17,5,2.8125,405
19,151,5.44908690453,18,5,2.67549668874,404
20,184,7.74485993385,19,5,2.70652173913,498
21,198,8.96059203148,20,6,2.87373737374,569
22,215,10.994800806,21,5,2.78604651163,599
23,230,13.3796458244,22,5,2.95217391304,679
24,233,14.8741540909,23,5,2.88412017167,672
25,282,20.6146440506,24,6,3.10638297872,876
26,294,21.9685530663,25,5,2.85714285714,840
27,289,25.3067159653,26,6,3.05882352941,884
28,324,29.6352519989,27,6,3.10802469136,1007
29,348,35.9096250534,28,6,3.13793103448,1092
30,374,42.7609119415,29,6,3.26203208556,1220
31,422,50.6209299564,30,6,3.24881516588,1371
32,420,56.0700621605,31,6,3.26904761905,1373
33,434,61.8051359653,32,7,3.49078341014,1515
34,483,77.0039680004,33,7,3.58592132505,1732
35,474,80.3412389755,34,7,3.23628691983,1534
36,534,97.3096220493,35,6,3.51498127341,1877
37,551,106.905112982,36,6,3.4664246824,1910
38,583,122.184548855,37,7,3.49399656947,2037
39,605,133.371696949,38,6,3.46776859504,2098
40,625,149.2856071,39,7,3.6464,2279
41,678,173.549461126,40,7,3.65339233038,2477
42,663,181.336901903,41,7,3.88687782805,2577
43,704,208.144133091,42,7,3.67471590909,2587
44,745,228.613824129,43,7,3.88859060403,2897
45,781,261.15040493,44,7,3.58642765685,2801
46,802,275.947856903,45,8,3.83167082294,3073
47,860,316.942251205,46,7,3.83604651163,3299
48,872,333.916281939,47,8,3.83486238532,3344
49,890,367.795118093,48,7,3.87865168539,3452
50,929,413.727692842,49,7,4.07857911733,3789
51,961,444.727921963,50,7,4.08844953174,3929
52,1021,503.515475988,51,8,3.8903036239,3972
53,1059,544.526589155,52,8,4.06326723324,4303
54,1097,586.482872963,53,8,4.33819507748,4759
55,1105,617.868399858,54,8,4.05429864253,4480
56,1167,670.892509937,55,8,4.18937446444,4889
57,1178,723.801455975,56,8,4.25382003396,5011
58,1223,797.142106056,57,8,4.16107931316,5089
59,1241,846.57789588,58,8,4.16921837228,5174
60,1342,923.655838013,59,7,4.05439642325,5441
61,1358,1030.05391502,60,8,4.4145802651,5995
62,1386,1111.32505012,61,8,4.18398268398,5799
63,1459,1210.42547297,62,8,4.28512679918,6252
64,1452,1237.4312439,63,8,4.26446280992,6192
65,1542,1381.28452516,64,8,4.42607003891,6825
66,1548,1467.78076005,65,8,4.65762273902,7210
67,1612,1541.52487206,66,9,4.53784119107,7315
68,1637,1716.64732814,67,8,4.63286499695,7584
69,1711,1846.36905599,68,8,4.49503214494,7691
70,1663,1819.81497383,69,9,4.48346361996,7456
71,1780,2104.44048691,70,9,4.5702247191,8135
72,1851,2178.04747891,71,9,4.67423014587,8652
73,1876,2418.33966804,72,8,4.48880597015,8421
74,1863,2413.4581759,73,9,4.77079978529,8888
75,1960,2780.38664198,74,9,4.67397959184,9161
76,2000,2950.287925,75,9,4.546,9092
77,2067,3368.33919883,76,9,4.7014997581,9718
78,2129,3270.00151491,77,9,4.72898074213,10068
79,2224,3400.02081704,78,10,4.80125899281,10678
80,2237,3522.48656297,79,9,4.70675011176,10529
81,2264,3793.46617413,80,9,4.90415194346,11103
82,2346,3989.30547023,81,9,4.97016197783,11660
83,2321,4128.20711112,82,9,4.80784144765,11159
84,2483,4767.38800883,83,9,4.89770438985,12161
85,2570,4967.43224096,84,10,5.01128404669,12879
86,2548,5171.49458385,85,9,4.96781789639,12658
87,2606,5597.9514432,86,9,4.77666922487,12448
88,2656,5895.65075302,87,9,4.90512048193,13028
89,2789,6281.3794899,88,8,4.9827895303,13897
90,2762,6510.45687103,89,9,4.88088341781,13481
91,2928,7243.76721597,90,9,4.80088797814,14057
92,2913,109061.034601,91,9,5.01682114658,14614
