size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,1,0.000396013259888,1,1,1.0,1
3,4,0.00230312347412,2,2,1.25,5
4,5,0.00557684898376,3,2,1.2,6
5,8,0.0138189792633,4,2,1.25,10
6,11,0.0313460826874,5,2,1.54545454545,17
7,11,0.0440709590912,6,2,1.63636363636,18
8,15,0.0805048942566,7,2,1.4,21
9,21,0.142795085907,8,3,1.90476190476,40
10,21,0.187216043472,9,3,1.85714285714,39
11,24,0.265393972397,10,3,1.83333333333,44
12,23,0.306088924408,11,3,1.69565217391,39
13,30,0.481170892715,12,3,2.06666666667,62
14,31,0.540371179581,13,3,2.0,62
15,30,0.612560987473,14,4,1.93333333333,58
16,30,0.723881006241,15,3,2.0,60
17,34,0.932329893112,16,5,2.23529411765,76
18,39,1.22684383392,17,4,2.25641025641,88
19,39,1.36278700829,18,5,2.38461538462,93
20,49,1.91542887688,19,4,2.22448979592,109
21,49,2.21618700027,20,4,2.0612244898,101
22,45,2.29678893089,21,5,2.28888888889,103
23,49,2.7253677845,22,4,2.30612244898,113
24,46,2.82913804054,23,5,2.67391304348,123
25,52,3.54651403427,24,4,2.48076923077,129
26,59,4.45014309883,25,4,2.4406779661,144
27,56,4.67295408249,26,4,2.46428571429,138
28,58,5.33505916595,27,4,2.77586206897,161
29,57,5.79552006721,28,5,2.50877192982,143
30,62,6.93360805511,29,4,2.93548387097,182
31,64,7.63970804214,30,5,2.625,168
32,66,8.2756922245,31,5,2.63636363636,174
33,71,10.0285069942,32,5,2.66197183099,189
34,65,9.71627211571,33,5,2.56923076923,167
35,72,11.7680029869,34,5,2.58333333333,186
36,74,12.6400279999,35,5,2.82432432432,209
37,76,14.4374341965,36,5,2.68421052632,204
38,70,13.6536180973,37,5,3.07142857143,215
39,72,14.8992609978,38,5,2.91666666667,210
40,76,17.2419829369,39,6,3.18421052632,242
41,78,19.6236720085,40,5,2.82051282051,220
42,88,23.3982210159,41,5,3.10227272727,273
43,79,21.7175419331,42,5,3.16455696203,250
44,87,25.3333661556,43,5,3.25287356322,283
45,73,23.2733590603,44,5,2.82191780822,206
46,75,24.8654439449,45,5,3.05333333333,229
47,93,32.8745980263,46,5,3.10752688172,289
48,86,32.321105957,47,6,3.31395348837,285
49,85,32.7947738171,48,5,3.11764705882,265
50,84,35.2409119606,49,6,3.19047619048,268
51,94,41.184335947,50,5,2.95744680851,278
52,95,44.263258934,51,7,3.4,323
53,96,47.4739658833,52,5,3.11458333333,299
54,91,46.8990960121,53,6,3.37362637363,307
55,92,48.3553049564,54,6,3.33695652174,307
56,98,53.9082930088,55,5,3.12244897959,306
57,95,57.3431639671,56,5,3.4,323
58,92,57.7813470364,57,6,3.41304347826,314
59,97,61.499122858,58,5,3.40206185567,330
60,93,62.9694521427,59,6,3.45161290323,321
61,108,77.5169818401,60,6,3.4537037037,373
62,113,83.0974831581,61,6,3.53982300885,400
63,101,78.8662769794,62,6,3.52475247525,356
64,106,86.8256471157,63,5,3.27358490566,347
65,104,87.4472379684,64,6,3.625,377
66,109,95.5181219578,65,7,3.88990825688,424
67,107,99.5323410034,66,6,3.45794392523,370
68,107,99.125800848,67,6,3.64485981308,390
69,107,105.937850952,68,5,3.71962616822,398
70,108,110.584708929,69,6,3.61111111111,390
71,106,113.520848989,70,6,3.55660377358,377
72,108,119.977538109,71,6,3.89814814815,421
73,119,141.659083843,72,6,3.47899159664,414
74,117,142.426077843,73,7,3.77777777778,442
75,114,134.391985893,74,6,3.86842105263,441
76,125,161.130298138,75,6,3.816,477
77,122,167.170761108,76,6,3.72950819672,455
78,119,166.716645956,77,7,3.94957983193,470
79,124,180.484120131,78,6,3.57258064516,443
80,118,174.13116312,79,6,3.77118644068,445
81,118,185.274600029,80,6,4.02542372881,475
82,119,194.222977877,81,6,3.76470588235,448
83,116,192.629307032,82,7,4.04310344828,469
84,123,210.655184984,83,7,3.94308943089,485
85,126,216.980653048,84,7,3.93650793651,496
86,128,234.649188042,85,6,3.9296875,503
87,132,252.608999968,86,7,4.06060606061,536
88,128,250.795526981,87,7,4.015625,514
89,133,263.180218935,88,7,4.1954887218,558
90,130,262.305958986,89,7,4.39230769231,571
91,131,277.230467081,90,7,4.35877862595,571
92,128,281.797693014,91,7,3.984375,510
93,136,300.877146959,92,8,4.25735294118,579
94,127,300.597153902,93,6,3.82677165354,486
95,130,320.651930094,94,7,3.81538461538,496
96,123,293.595321894,95,7,4.30894308943,530
97,131,326.249992132,96,7,4.32061068702,566
98,130,349.702996016,97,6,4.34615384615,565
99,140,375.014699936,98,7,4.53571428571,635
100,136,390.715359926,99,7,4.05147058824,551
