size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,1,0.000282049179077,1,0,0.0,0
3,3,0.00167012214661,2,1,1.0,3
4,6,0.00595188140869,3,2,1.16666666667,7
5,10,0.0162558555603,4,2,1.3,13
6,15,0.0366010665894,5,2,1.46666666667,22
7,21,0.0715188980103,6,4,2.09523809524,44
8,28,0.132141113281,7,4,2.03571428571,57
9,36,0.220484972,8,3,1.61111111111,58
10,45,0.352438926697,9,4,1.82222222222,82
11,55,0.526197195053,10,4,2.12727272727,117
12,66,0.784996032715,11,4,2.36363636364,156
13,78,1.12719106674,12,4,2.35897435897,184
14,91,1.56539106369,13,5,2.59340659341,236
15,105,2.10961699486,14,4,2.46666666667,259
16,120,2.87675309181,15,6,2.94166666667,353
17,136,3.67950701714,16,5,2.72058823529,370
18,153,4.74524784088,17,6,2.88235294118,441
19,171,5.98890185356,18,6,3.11695906433,533
20,190,7.75375509262,19,6,3.01052631579,572
21,210,9.49774479866,20,6,3.07142857143,645
22,231,11.9346468449,21,6,2.95670995671,683
23,253,14.4814231396,22,6,3.19367588933,808
24,276,17.2735579014,23,6,3.21014492754,886
25,300,21.393337965,24,6,3.27333333333,982
26,325,25.0250008106,25,7,2.99076923077,972
27,351,30.3043899536,26,7,3.37606837607,1185
28,378,34.5786499977,27,7,3.26984126984,1236
29,406,41.9905381203,28,6,3.28325123153,1333
30,435,50.2634871006,29,7,3.66436781609,1594
31,465,57.0244560242,30,7,3.84301075269,1787
32,496,66.0829441547,31,7,3.5564516129,1764
33,528,77.6889510155,32,8,3.58712121212,1894
34,561,88.9966318607,33,6,3.47771836007,1951
35,595,99.8946712017,34,7,3.88739495798,2313
36,630,114.892160892,35,7,3.71587301587,2341
37,666,129.421998024,36,7,3.85285285285,2566
38,703,152.250777006,37,8,3.85917496444,2713
39,741,168.999584913,38,7,3.87854251012,2874
40,780,190.422589779,39,7,3.98461538462,3108
41,820,211.496042013,40,8,3.87804878049,3180
42,861,238.39259696,41,8,4.1881533101,3606
43,903,268.092777967,42,7,3.89479512735,3517
44,946,296.535105944,43,8,4.05285412262,3834
45,990,323.216080904,44,9,4.22525252525,4183
46,1035,357.872205019,45,8,4.31207729469,4463
47,1079,407.221130133,46,7,4.02873030584,4347
48,1128,450.868355036,47,8,4.31560283688,4868
49,1176,489.476569891,48,9,4.28656462585,5041
50,1225,534.099905014,49,8,4.00979591837,4912
51,1275,597.508303165,50,8,4.42509803922,5642
52,1326,634.384557009,51,9,4.56862745098,6058
53,1378,710.34791708,52,8,4.39187227866,6052
54,1430,757.624336004,53,8,4.61608391608,6601
55,1484,832.21631217,54,9,4.59770889488,6823
56,1539,920.444843054,55,9,4.33853151397,6677
57,1596,972.409642935,56,9,4.6798245614,7469
58,1653,1103.54330683,57,9,4.61584996975,7630
59,1711,1163.84303617,58,8,4.67445938048,7998
60,1769,1301.28072095,59,9,4.5918598078,8123
61,1830,1361.23313904,60,9,4.45027322404,8144
62,1891,1524.82844496,61,9,4.69857218403,8885
63,1953,1639.84047198,62,9,4.63389656938,9050
64,2016,1724.57905197,63,9,4.85367063492,9785
65,2079,1915.47891307,64,9,4.87012987013,10125
66,2145,2094.3476131,65,9,4.90629370629,10524
67,2210,2245.42697501,66,9,4.62307692308,10217
68,2278,2384.90491199,67,9,4.71510096576,10741
69,2345,2541.12736607,68,9,4.96119402985,11634
70,2412,2761.58893108,69,10,5.05140961857,12184
71,2485,2867.10720706,70,10,5.24265593561,13028
72,2556,3129.63401914,71,9,4.97769953052,12723
73,2628,3411.88535905,72,10,4.75837138508,12505
74,2700,3666.55656219,73,10,4.80962962963,12986
75,2775,4070.21573806,74,9,4.99891891892,13872
76,2848,4346.52926922,75,10,4.89255617978,13934
77,2925,4403.55078602,76,10,5.02461538462,14697
78,3003,4653.30376387,77,10,5.12187812188,15381
79,3081,4916.38716912,78,10,5.32781564427,16415
80,3158,5512.02843189,79,10,5.24287523749,16557
81,3239,5821.78156304,80,10,5.3408459401,17299
82,3320,6145.54823017,81,10,5.18162650602,17203
83,3403,6760.90745115,82,10,5.22303849545,17774
84,3486,87710.902298,83,10,5.19219736087,18100
