size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.002081155776977539,1,1,1.0,2
3,5,0.005800962448120117,2,2,1.4,7
4,9,0.013196945190429688,3,2,1.5555555555555556,14
5,14,0.027571916580200195,4,2,1.5714285714285714,22
6,20,0.05579519271850586,5,3,2.0,40
7,26,0.09720206260681152,6,3,1.8846153846153846,49
8,32,0.15718603134155273,7,3,1.65625,53
9,42,0.26039886474609375,8,4,2.0238095238095237,85
10,47,0.36739397048950195,9,5,2.276595744680851,107
11,58,0.5568587779998779,10,5,2.5689655172413794,149
12,72,0.8347628116607666,11,6,2.6527777777777777,191
13,69,0.9643480777740479,12,5,2.579710144927536,178
14,91,1.4940321445465088,13,5,2.879120879120879,262
15,106,2.0934410095214844,14,6,2.8679245283018866,304
16,119,2.705104112625122,15,5,2.899159663865546,345
17,140,3.6166927814483643,16,5,2.8642857142857143,401
18,151,4.558050155639648,17,5,2.986754966887417,451
19,165,5.677456855773926,18,6,3.278787878787879,541
20,168,6.445369005203247,19,8,3.9107142857142856,657
21,199,8.626623153686523,20,9,3.728643216080402,742
22,218,10.473031044006348,21,8,3.944954128440367,860
23,231,12.554388046264648,22,8,3.5627705627705626,823
24,251,14.892232894897461,23,7,4.171314741035856,1047
25,272,18.134830951690674,24,7,3.5404411764705883,963
26,279,19.951750993728638,25,9,4.086021505376344,1140
27,317,25.98677110671997,26,8,3.921135646687697,1243
28,336,29.242116928100586,27,8,3.9464285714285716,1326
29,355,34.65415000915527,28,8,4.016901408450704,1426
30,385,40.716387033462524,29,8,4.223376623376623,1626
31,391,44.675113916397095,30,7,3.864450127877238,1511
32,394,47.81368708610535,31,9,4.380710659898477,1726
33,443,61.774898052215576,32,8,3.851015801354402,1706
34,478,69.81767201423645,33,8,4.138075313807532,1978
35,486,76.951171875,34,7,3.921810699588477,1906
36,519,87.47307515144348,35,8,4.1175337186897885,2137
37,567,102.57604503631592,36,9,4.970017636684303,2818
38,556,110.44720482826233,37,11,4.356115107913669,2422
39,608,130.50002598762512,38,9,4.3256578947368425,2630
40,637,143.40321588516235,39,10,4.830455259026688,3077
41,638,157.66158199310303,40,9,4.316614420062696,2754
42,692,180.53605890274048,41,11,5.385838150289017,3727
43,749,206.68055486679077,42,13,5.627503337783712,4215
44,722,211.35430812835693,43,9,4.549861495844875,3285
45,790,246.65433287620544,44,11,5.129113924050633,4052
46,806,270.34170508384705,45,9,4.693548387096774,3783
47,846,296.5199701786041,46,12,5.055555555555555,4277
48,828,309.55495285987854,47,11,4.8647342995169085,4028
49,891,349.8305208683014,48,10,4.97979797979798,4437
50,938,388.29079699516296,49,10,5.018123667377399,4707
51,964,440.90040612220764,50,11,5.170124481327801,4984
52,1030,478.62157797813416,51,11,5.0504854368932035,5202
53,1068,532.1542320251465,52,12,5.002808988764045,5343
54,1121,573.5432469844818,53,13,5.281891168599465,5921
55,1141,604.5815739631653,54,10,4.639789658194566,5294
56,1116,619.0228719711304,55,11,5.635304659498208,6289
57,1217,750.7991309165955,56,11,5.366474938373049,6531
58,1245,794.5045170783997,57,11,4.951004016064257,6164
59,1247,830.739091873169,58,11,5.442662389735365,6787
60,1283,909.3416941165924,59,11,4.922837100545596,6316
61,1348,990.2830801010132,60,11,5.609050445103858,7561
62,1405,1031.8913400173187,61,13,5.577224199288256,7836
63,1474,1158.3424670696259,62,11,5.1940298507462686,7656
64,1473,1170.8648037910461,63,11,5.271554650373387,7765
65,1463,1276.9450161457062,64,10,5.546821599453178,8115
66,1598,1436.8332011699677,65,12,5.959324155193992,9523
67,1569,1458.5842242240906,66,11,6.128107074569789,9615
68,1629,1633.2918298244476,67,12,5.343769183548189,8705
69,1672,1743.6983160972595,68,12,6.020933014354067,10067
70,1749,1909.3236768245697,69,10,5.534019439679817,9679
71,1806,2104.6720399856567,70,10,5.121816168327796,9250
72,1845,2115.3742220401764,71,11,5.352845528455284,9876
73,1889,2258.1665058135986,72,11,5.646373742721017,10666
74,1967,2439.622292995453,73,13,6.900355871886121,13573
75,1996,2746.3755888938904,74,13,5.963927855711423,11904
76,1977,2798.567325115204,75,13,6.104704097116843,12069
77,2018,2812.8806998729706,76,13,7.0480673934588705,14223
78,2176,3294.045539855957,77,13,6.178768382352941,13445
79,2164,3247.6582820415497,78,12,6.150184842883549,13309
80,2251,3566.308849096298,79,13,6.156374944469125,13858
81,2316,3850.511621952057,80,12,5.91321243523316,13695
82,2323,4009.463905096054,81,13,6.58071459319845,15287
83,2448,4331.1848311424255,82,14,6.207516339869281,15196
84,2498,4705.8187210559845,83,13,6.035228182546037,15076
85,2496,4851.143795013428,84,12,6.143830128205129,15335
86,2544,4948.341189861298,85,14,6.380110062893082,16231
87,2580,5287.974565982819,86,13,6.145348837209302,15855
88,2572,5576.712405920029,87,14,6.329704510108865,16280
89,2760,6102.553205013275,88,12,6.410507246376811,17693
90,2790,6366.4954380989075,89,12,6.600358422939068,18415
91,2857,6670.507237195969,90,13,6.351417570878544,18146
