size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
92,2934,1772.036031961441,91,12,6.54601226993865,19206
92,2930,1843.108479976654,91,12,7.900682593856655,23149
93,2866,1802.354614019394,92,10,6.269713886950454,17969
94,2996,1912.5181431770325,93,10,6.166889185580774,18476
95,3011,2004.6843750476837,94,10,5.91763533709731,17818
96,3100,2098.847909927368,95,10,5.930967741935484,18386
97,3228,2230.657685995102,96,10,6.029739776951673,19464
98,3304,2336.627012014389,97,11,6.23638014527845,20605
99,3335,2370.9482378959656,98,11,6.431184407796102,21448
100,3423,2483.598762989044,99,11,6.567630733274905,22481
