size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
92,2934,2277.2393720149994,7,15,7.978527607361963,23409
92,2930,2394.0491120815277,8,18,8.145392491467577,23866
93,2866,2319.598655939102,7,14,7.63119330076762,21871
94,2996,2557.856439113617,7,16,8.533711615487316,25567
95,3011,2659.9327580928802,8,17,8.266356692128861,24890
96,3100,2691.619045972824,8,16,8.346451612903225,25874
97,3228,2847.9730141162872,8,17,8.543370508054522,27578
98,3304,2984.08185005188,8,20,8.737590799031477,28869
99,3335,2913.0144350528717,8,17,7.9616191904047975,26552
100,3423,3005.3143730163574,7,17,8.393514460999123,28731
