size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.0016100406646728516,1,1,1.0,2
3,5,0.003921985626220703,2,2,1.4,7
4,9,0.009568214416503906,3,2,1.5555555555555556,14
5,14,0.022099971771240234,4,2,1.6428571428571428,23
6,20,0.044145822525024414,5,3,2.0,40
7,26,0.07869195938110352,6,3,1.9615384615384615,51
8,32,0.1259610652923584,7,3,1.78125,57
9,42,0.21101093292236328,8,3,2.3095238095238093,97
10,47,0.2950320243835449,9,4,2.148936170212766,101
11,58,0.44121313095092773,10,3,2.293103448275862,133
12,72,0.6542689800262451,11,4,2.375,171
13,69,0.7586269378662109,12,4,2.2318840579710146,154
14,91,1.1339387893676758,13,5,2.8241758241758244,257
15,106,1.5234789848327637,14,4,2.6037735849056602,276
16,119,1.9506158828735352,15,4,2.8739495798319328,342
17,140,2.6148290634155273,16,4,2.607142857142857,365
18,151,3.165494203567505,17,4,2.7350993377483444,413
19,165,3.849544048309326,18,6,3.2606060606060607,538
20,168,4.363068103790283,19,5,2.9583333333333335,497
21,199,5.6944849491119385,20,5,2.9849246231155777,594
22,218,6.857780933380127,21,5,3.5688073394495414,778
23,231,7.961192846298218,22,6,3.4761904761904763,803
24,251,9.474204063415527,23,5,3.187250996015936,800
25,272,11.160139083862305,24,6,3.7426470588235294,1018
26,279,12.376261949539185,25,6,3.5806451612903225,999
27,317,15.287320137023926,26,6,3.7476340694006307,1188
28,336,17.31241011619568,27,6,3.4077380952380953,1145
29,355,19.710550785064697,28,6,3.988732394366197,1416
30,385,22.81862783432007,29,6,3.6805194805194805,1417
31,391,24.90683913230896,30,6,3.843989769820972,1503
32,394,26.77194905281067,31,5,3.730964467005076,1470
33,443,32.06016302108765,32,7,3.8645598194130923,1712
34,478,36.837965965270996,33,7,3.981171548117155,1903
35,486,39.66122484207153,34,7,4.111111111111111,1998
36,519,44.92170596122742,35,6,4.1888246628131025,2174
37,567,52.19057583808899,36,6,3.686067019400353,2090
38,556,53.72588610649109,37,6,4.411870503597123,2453
39,608,61.87289118766785,38,7,3.9375,2394
40,637,68.66866397857666,39,7,4.029827315541601,2567
41,638,72.04779410362244,40,8,4.476489028213166,2856
42,692,82.70706987380981,41,7,4.341040462427745,3004
43,749,94.17606997489929,42,8,4.7369826435246996,3548
44,722,95.47331213951111,43,7,4.414127423822714,3187
45,790,108.6625280380249,44,7,4.775949367088607,3773
46,806,116.73041987419128,45,7,4.697270471464019,3786
47,846,127.59376406669617,46,8,4.890070921985815,4137
48,828,130.11430311203003,47,7,4.3647342995169085,3614
49,891,146.1500780582428,48,8,4.869809203142537,4339
50,938,160.00832891464233,49,8,5.020255863539446,4709
51,964,172.66492104530334,50,7,4.3921161825726145,4234
52,1030,191.75261092185974,51,7,4.35242718446602,4483
53,1068,206.7673499584198,52,10,5.099250936329588,5446
54,1121,224.84518003463745,53,8,4.7894736842105265,5369
55,1141,237.72907900810242,54,8,4.974583698510079,5676
56,1116,240.6300778388977,55,8,5.14336917562724,5740
57,1217,271.60504388809204,56,8,5.117502054231718,6228
58,1245,289.6174819469452,57,8,4.7991967871485945,5975
59,1247,300.9970541000366,58,8,4.963913392141139,6190
60,1283,322.3708930015564,59,9,5.024941543257989,6447
61,1348,350.26478910446167,60,8,4.632047477744807,6244
62,1405,379.88584899902344,61,9,5.333096085409252,7493
63,1474,403.8437509536743,62,8,4.770013568521032,7031
64,1473,413.6720850467682,63,9,5.335369993211134,7859
65,1463,427.74247312545776,64,9,5.504442925495557,8053
66,1598,480.91057205200195,65,9,5.148310387984981,8227
67,1569,485.4540948867798,66,9,5.437221159974506,8531
68,1629,519.1181099414825,67,10,5.389195825659914,8779
69,1672,548.7574460506439,68,10,6.043062200956938,10104
70,1749,596.6322181224823,69,11,6.506003430531733,11379
71,1806,628.9109711647034,70,9,5.559246954595792,10040
72,1845,670.5945420265198,71,9,5.233062330623306,9655
73,1889,711.382364988327,72,10,5.563260984647962,10509
74,1967,769.6220140457153,73,9,5.575495678698526,10967
75,1996,782.3562870025635,74,9,5.180861723446894,10341
76,1977,796.426362991333,75,10,5.69195751138088,11253
77,2018,839.1058809757233,76,9,5.401883052527254,10901
78,2176,924.4371628761292,77,9,5.416819852941177,11787
79,2164,944.772225856781,78,9,5.895101663585952,12757
80,2251,1009.9144351482391,79,11,6.144824522434473,13832
81,2316,1081.8525319099426,80,10,5.986183074265976,13864
82,2323,1095.5254778862,81,9,5.557468790357297,12910
83,2448,1208.086494922638,82,10,6.020016339869281,14737
84,2498,1269.62704205513,83,9,5.767814251401121,14408
85,2496,1315.1908469200134,84,11,6.032852564102564,15058
86,2544,1376.1630890369415,85,11,6.293238993710692,16010
87,2580,1379.1315648555756,86,11,6.303875968992248,16264
88,2572,1408.4715960025787,87,10,5.834758942457232,15007
89,2760,1550.5618379116058,88,12,6.7702898550724635,18686
90,2790,1609.2252869606018,89,10,6.181720430107527,17247
91,2857,1695.0959980487823,90,12,7.372068603430171,21062
92,2930,1843.108479976654,91,12,7.900682593856655,23149
93,2866,1802.354614019394,92,10,6.269713886950454,17969
94,2996,1912.5181431770325,93,10,6.166889185580774,18476
95,3011,2004.6843750476837,94,10,5.91763533709731,17818
96,3100,2098.847909927368,95,10,5.930967741935484,18386
97,3228,2230.657685995102,96,10,6.029739776951673,19464
98,3304,2336.627012014389,97,11,6.23638014527845,20605
99,3335,2370.9482378959656,98,11,6.431184407796102,21448
100,3423,2483.598762989044,99,11,6.567630733274905,22481
