size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.0033469200134277344,2,1,1.0,2
3,5,0.005994081497192383,2,2,1.4,7
4,9,0.011972904205322266,2,2,1.5555555555555556,14
5,14,0.03620004653930664,3,3,1.7142857142857142,24
6,20,0.0633080005645752,3,3,1.75,35
7,26,0.126298189163208,4,4,2.730769230769231,71
8,32,0.15776705741882324,3,5,2.375,76
9,42,0.2853279113769531,4,5,2.7142857142857144,114
10,47,0.4166719913482666,5,5,2.3617021276595747,111
11,58,0.5259299278259277,4,5,2.7413793103448274,159
12,72,0.8627359867095947,5,6,3.0555555555555554,220
13,69,0.942296028137207,5,7,2.898550724637681,200
14,91,1.3816490173339844,5,8,3.681318681318681,335
15,106,1.826066017150879,5,6,3.160377358490566,335
16,119,2.341609001159668,5,7,3.46218487394958,412
17,140,3.031287908554077,5,8,4.35,609
18,151,3.8567869663238525,5,7,3.6357615894039736,549
19,165,4.45031213760376,5,10,4.903030303030303,809
20,168,5.094648838043213,6,8,3.875,651
21,199,6.746927976608276,6,9,4.316582914572864,859
22,218,8.269227027893066,7,9,4.178899082568807,911
23,231,8.840285062789917,5,9,4.268398268398268,986
24,251,10.53469705581665,5,9,4.4541832669322705,1118
25,272,12.7014639377594,6,9,4.275735294117647,1163
26,279,13.708034992218018,5,10,4.39426523297491,1226
27,317,17.151844024658203,6,9,4.406940063091483,1397
28,336,19.031856060028076,6,11,4.9851190476190474,1675
29,355,21.66881799697876,6,11,4.971830985915493,1765
30,385,25.64193105697632,6,11,4.9818181818181815,1918
31,391,27.24410605430603,6,11,4.232736572890025,1655
32,394,28.6133930683136,5,10,5.258883248730965,2072
33,443,34.33925008773804,6,10,5.162528216704289,2287
34,478,39.73434805870056,6,10,4.97907949790795,2380
35,486,43.47301387786865,7,12,5.839506172839506,2838
36,519,48.19537901878357,6,12,5.252408477842004,2726
37,567,56.960628032684326,6,10,4.767195767195767,2703
38,556,58.79383611679077,7,10,5.134892086330935,2855
39,608,66.22314214706421,6,11,5.360197368421052,3259
40,637,73.019357919693,6,13,5.789638932496075,3688
41,638,77.12484097480774,6,13,5.536050156739812,3532
42,692,87.03522086143494,6,14,5.98121387283237,4139
43,749,99.6469578742981,7,11,5.730307076101469,4292
44,722,101.32716417312622,7,11,5.488919667590028,3963
45,790,116.05264210700989,7,15,6.646835443037975,5251
46,806,121.58755207061768,6,12,5.899503722084368,4755
47,846,133.846519947052,6,15,6.109929078014185,5169
48,828,140.51076912879944,8,12,6.454106280193237,5344
49,891,152.59741711616516,6,13,5.836139169472503,5200
50,938,167.62324500083923,7,14,6.02771855010661,5654
51,964,180.43824887275696,7,12,6.117219917012448,5897
52,1030,200.62148809432983,6,12,6.180582524271845,6366
53,1068,216.80262303352356,6,14,5.920411985018727,6323
54,1121,237.0581088066101,8,13,6.4317573595004465,7210
55,1141,252.14740300178528,8,12,5.905346187554777,6738
56,1116,255.90481400489807,7,13,5.767025089605735,6436
57,1217,286.0615129470825,7,15,6.852095316351685,8339
58,1245,302.86535906791687,7,14,6.749397590361446,8403
59,1247,316.91737699508667,7,14,6.8468323977546115,8538
60,1283,337.58638310432434,7,14,6.576773187840998,8438
61,1348,361.1034770011902,7,14,6.663946587537092,8983
62,1405,396.76802802085876,8,13,6.129537366548043,8612
63,1474,415.7947111129761,7,14,6.62483039348711,9765
64,1473,439.20192790031433,7,16,7.528173794976239,11089
65,1463,445.209764957428,8,13,6.497607655502392,9506
66,1598,500.0108959674835,7,13,6.61514392991239,10571
67,1569,505.1481318473816,7,16,7.520713830465264,11800
68,1629,537.5529239177704,6,15,6.680171884591774,10882
69,1672,569.2105150222778,7,14,7.221291866028708,12074
70,1749,618.9333608150482,7,14,7.164665523156089,12531
71,1806,667.1380169391632,7,14,7.326688815060908,13232
72,1845,684.2942800521851,7,15,7.339837398373984,13542
73,1889,723.9638030529022,7,15,6.905240868184224,13044
74,1967,783.4932510852814,7,19,7.927300457549568,15593
75,1996,809.3328311443329,7,15,7.55561122244489,15081
76,1977,822.4925060272217,7,16,7.291350531107739,14415
77,2018,859.7233600616455,8,17,7.443508424182359,15021
78,2176,953.7453501224518,7,16,7.9765625,17357
79,2164,977.2890388965607,7,17,7.38909426987061,15990
80,2251,1036.3759880065918,7,16,7.741892492225677,17427
81,2316,1099.9608209133148,8,16,7.403281519861831,17146
82,2323,1138.9326860904694,7,15,7.189410245372363,16701
83,2448,1227.3812301158905,8,15,7.497140522875817,18353
84,2498,1317.5585079193115,7,16,7.740192153722979,19335
85,2496,1342.9083199501038,8,18,8.040064102564102,20068
86,2544,1383.423553943634,8,18,8.315251572327044,21154
87,2580,1407.7883489131927,7,15,7.889922480620155,20356
88,2572,1445.8581421375275,7,17,7.860808709175739,20218
89,2760,1583.2339198589325,7,16,8.498913043478261,23457
90,2790,1634.632138967514,8,17,8.14516129032258,22725
91,2857,1723.3658230304718,7,18,8.904795239761988,25441
92,2971,2444.219029903412,8,20,8.351060249074386,24811
