size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.00033402442932128906,1,1,1.0,2
3,5,0.0022020339965820312,2,2,1.2,6
4,9,0.007819890975952148,3,2,1.3333333333333333,12
5,14,0.02041912078857422,4,2,1.5,21
6,20,0.04478907585144043,5,3,1.65,33
7,26,0.08287501335144043,6,3,1.8846153846153846,49
8,32,0.13853907585144043,7,3,1.65625,53
9,42,0.23717594146728516,8,3,1.9523809523809523,82
10,47,0.34032511711120605,9,3,2.0425531914893615,96
11,58,0.517754077911377,10,4,2.1551724137931036,125
12,72,0.7930140495300293,11,4,2.361111111111111,170
13,69,0.9091861248016357,12,4,2.1594202898550723,149
14,91,1.4303250312805176,13,4,2.5714285714285716,234
15,106,1.9743449687957764,14,5,2.5283018867924527,268
16,119,2.5332789421081543,15,4,2.5126050420168067,299
17,140,3.4348831176757812,16,4,2.5214285714285714,353
18,151,4.2325780391693115,17,4,2.6556291390728477,401
19,165,5.462078094482422,18,5,2.896969696969697,478
20,168,6.23210883140564,19,5,2.7738095238095237,466
21,199,8.353680849075317,20,6,2.92964824120603,583
22,218,10.131184101104736,21,6,2.967889908256881,647
23,231,11.946155071258545,22,5,2.935064935064935,678
24,251,14.195355892181396,23,5,3.00796812749004,755
25,272,17.215557098388672,24,5,3.047794117647059,829
26,279,19.90195918083191,25,6,3.060931899641577,854
27,317,24.90298295021057,26,6,3.1577287066246056,1001
28,336,28.536557912826538,27,6,3.2261904761904763,1084
29,355,32.305781841278076,28,6,3.0901408450704224,1097
30,385,37.97502613067627,29,5,3.3194805194805195,1278
31,391,42.61800503730774,30,6,3.0997442455242967,1212
32,394,46.15555787086487,31,6,3.5380710659898478,1394
33,443,57.125190019607544,32,7,3.3769751693002257,1496
34,478,64.53468108177185,33,6,3.6150627615062763,1728
35,486,73.44370317459106,34,7,3.39917695473251,1652
36,519,85.47986197471619,35,7,3.4739884393063583,1803
37,567,98.64661002159119,36,6,3.5520282186948853,2014
38,556,101.86781215667725,37,7,3.5107913669064748,1952
39,608,120.25368094444275,38,6,3.370065789473684,2049
40,637,137.9759030342102,39,7,3.6279434850863423,2311
41,638,142.8521180152893,40,6,3.7115987460815045,2368
42,692,170.40421509742737,41,7,3.671965317919075,2541
43,749,192.14477610588074,42,8,3.608811748998665,2703
44,722,197.72715377807617,43,7,3.6759002770083105,2654
45,790,218.89660906791687,44,7,4.041772151898734,3193
46,806,236.6095530986786,45,7,4.024813895781637,3244
47,846,269.702996969223,46,8,3.7458628841607564,3169
48,828,280.07301592826843,47,7,4.148550724637682,3435
49,891,304.1043529510498,48,7,3.7519640852974185,3343
50,938,351.196249961853,49,7,3.8208955223880596,3584
51,964,377.24370217323303,50,7,3.857883817427386,3719
52,1030,421.4409260749817,51,8,3.9776699029126212,4097
53,1068,458.6365728378296,52,8,4.179775280898877,4464
54,1121,508.83509492874146,53,7,4.0651204281891165,4557
55,1141,551.8975369930267,54,8,4.020157756354076,4587
56,1116,555.8678209781647,55,8,4.085125448028674,4559
57,1217,675.2071630954742,56,8,4.216105176663928,5131
58,1245,684.8268229961395,57,8,4.216867469879518,5250
59,1247,714.5540578365326,58,8,4.110665597433841,5126
60,1283,797.4327681064606,59,8,4.302416212003117,5520
61,1348,901.1519050598145,60,7,4.008160237388724,5403
62,1405,929.2520759105682,61,8,4.250533807829181,5972
63,1474,1032.2854890823364,62,8,4.324287652645862,6374
64,1473,1057.8742339611053,63,8,4.206381534283775,6196
65,1463,1101.896819114685,64,8,4.571428571428571,6688
66,1598,1235.2726101875305,65,8,4.404255319148936,7038
67,1569,1288.0285000801086,66,9,4.58572339069471,7195
68,1629,1394.4221909046173,67,8,4.208717004297115,6856
69,1672,1517.0477030277252,68,9,4.278708133971292,7154
70,1749,1627.9964411258698,69,8,4.657518582046884,8146
71,1806,1699.7360591888428,70,9,4.7275747508305646,8538
72,1845,1771.5589711666107,71,9,4.530081300813008,8358
73,1889,1923.8526260852814,72,9,4.530439385918475,8558
74,1967,2002.0782759189606,73,8,4.809354346720895,9460
75,1996,2331.2683720588684,74,9,4.609218436873747,9200
76,1977,2277.3415360450745,75,9,4.788568538189176,9467
77,2018,2481.8541538715363,76,8,4.612487611496531,9308
78,2176,2697.090782880783,77,9,4.780330882352941,10402
79,2164,2762.706162929535,78,9,4.7347504621072085,10246
80,2251,3019.880718946457,79,9,4.9542425588627275,11152
81,2316,3130.1761889457703,80,9,4.930051813471502,11418
82,2323,3342.9634568691254,81,9,4.751614291863969,11038
83,2448,3503.4985868930817,82,10,4.767156862745098,11670
84,2498,3935.4455931186676,83,9,4.806645316253002,12007
85,2496,3959.2326259613037,84,9,4.97636217948718,12421
86,2544,4167.49072098732,85,10,5.1120283018867925,13005
87,2580,4343.50666308403,86,10,4.8170542635658915,12428
88,2572,4480.520486116409,87,9,5.048600311041991,12985
89,2760,4913.518806934357,88,10,5.280797101449275,14575
90,2790,5110.69607591629,89,9,5.234767025089606,14605
91,2857,5630.966310977936,90,10,5.2943647182359115,15126
