size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.0015878677368164062,1,1,1.0,2
3,3,0.004878044128417969,2,2,1.3333333333333333,4
4,6,0.010474920272827148,3,2,1.1666666666666667,7
5,8,0.018862009048461914,4,2,1.25,10
6,12,0.038236141204833984,5,2,1.5,18
7,15,0.06151700019836426,6,2,1.5333333333333334,23
8,11,0.06578588485717773,7,4,1.7272727272727273,19
9,19,0.1276710033416748,8,2,1.631578947368421,31
10,21,0.17988204956054688,9,4,1.8571428571428572,39
11,18,0.19495105743408203,10,3,1.8888888888888888,34
12,22,0.2809760570526123,11,3,2.090909090909091,46
13,27,0.40700197219848633,12,3,1.8148148148148149,49
14,33,0.5919220447540283,13,4,2.1818181818181817,72
15,36,0.7918200492858887,14,5,2.6666666666666665,96
16,27,0.6906440258026123,15,4,2.3333333333333335,63
17,36,1.0438871383666992,16,3,2.1666666666666665,78
18,38,1.203610897064209,17,6,2.3157894736842106,88
19,42,1.4827961921691895,18,5,2.8095238095238093,118
20,48,1.918182134628296,19,6,3.3333333333333335,160
21,40,1.8093950748443604,20,4,2.5,100
22,38,1.9225521087646484,21,4,2.473684210526316,94
23,43,2.542553186416626,22,5,2.7906976744186047,120
24,52,3.243507146835327,23,5,2.8076923076923075,146
25,49,3.3656060695648193,24,5,2.795918367346939,137
26,62,4.657319784164429,25,4,2.564516129032258,159
27,51,4.181628942489624,26,5,2.823529411764706,144
28,64,5.864405870437622,27,7,3.15625,202
29,61,6.146132946014404,28,5,2.819672131147541,172
30,59,6.486778020858765,29,6,2.983050847457627,176
31,62,7.259516000747681,30,7,3.3548387096774195,208
32,68,8.751092910766602,31,5,2.9411764705882355,200
33,64,8.7948579788208,32,6,3.171875,203
34,68,10.08150601387024,33,9,3.6323529411764706,247
35,67,10.849086999893188,34,7,3.3582089552238807,225
36,75,12.993220090866089,35,7,3.7466666666666666,281
37,70,12.849822998046875,36,6,3.2,224
38,74,14.695739984512329,37,7,3.472972972972973,257
39,74,15.376497030258179,38,5,3.2567567567567566,241
40,72,16.305986166000366,39,6,3.013888888888889,217
41,75,18.431882858276367,40,6,3.16,237
42,81,20.08630394935608,41,6,3.3950617283950617,275
43,79,21.96386194229126,42,7,3.5822784810126582,283
44,81,22.91877794265747,43,7,3.7901234567901234,307
45,82,26.050353050231934,44,7,3.658536585365854,300
46,80,25.943236112594604,45,6,3.4875,279
47,81,28.224721908569336,46,8,3.567901234567901,289
48,86,32.90932488441467,47,6,3.511627906976744,302
49,89,34.08794093132019,48,8,3.550561797752809,316
50,89,37.53580117225647,49,7,3.7865168539325844,337
51,92,40.59614610671997,50,8,3.7934782608695654,349
52,96,45.30596590042114,51,7,3.8541666666666665,370
53,90,44.62634491920471,52,7,3.7777777777777777,340
54,97,48.02426791191101,53,8,3.783505154639175,367
55,97,52.897767066955566,54,7,4.22680412371134,410
56,94,52.02435803413391,55,8,3.25531914893617,306
57,100,58.934770822525024,56,7,3.73,373
58,89,55.66972494125366,57,9,4.112359550561798,366
59,90,59.154573917388916,58,9,4.211111111111111,379
60,97,67.9780421257019,59,7,4.041237113402062,392
61,101,71.34024596214294,60,8,4.306930693069307,435
62,106,79.42216992378235,61,8,3.9056603773584904,414
63,105,82.69041204452515,62,8,4.104761904761904,431
64,105,86.65525913238525,63,8,4.419047619047619,464
65,105,87.67595887184143,64,9,4.247619047619048,446
66,110,98.95238399505615,65,8,4.5,495
67,107,103.01865601539612,66,8,4.355140186915888,466
68,105,104.1874258518219,67,8,4.219047619047619,443
69,102,104.35524606704712,68,8,3.872549019607843,395
70,106,110.72270107269287,69,8,4.367924528301887,463
71,107,114.73493003845215,70,8,4.05607476635514,434
72,107,118.45083594322205,71,8,4.691588785046729,502
73,120,148.38870310783386,72,10,4.291666666666667,515
74,113,137.2269401550293,73,7,4.336283185840708,490
75,117,151.78245997428894,74,9,4.871794871794871,570
76,121,170.05608797073364,75,8,4.404958677685951,533
77,111,160.78631806373596,76,8,4.45945945945946,495
78,123,179.92798709869385,77,8,4.219512195121951,519
79,122,177.07786989212036,78,11,5.229508196721311,638
80,118,178.13791489601135,79,10,4.110169491525424,485
81,122,193.29322600364685,80,9,4.762295081967213,581
82,118,193.56903290748596,81,8,4.254237288135593,502
83,119,204.5791208744049,82,9,4.4033613445378155,524
84,116,208.61176013946533,83,9,4.594827586206897,533
85,127,223.26472401618958,84,8,4.582677165354331,582
86,127,239.17512607574463,85,9,4.6299212598425195,588
87,131,256.85128712654114,86,9,4.816793893129771,631
88,130,264.0260500907898,87,8,4.638461538461539,603
89,133,275.3587839603424,88,9,4.962406015037594,660
90,131,276.1400909423828,89,11,5.175572519083969,678
91,131,295.40766191482544,90,9,5.083969465648855,666
92,135,310.02886605262756,91,10,4.9037037037037035,662
93,130,313.5408070087433,92,10,5.246153846153846,682
94,130,324.8858470916748,93,9,4.546153846153846,591
95,131,334.32135486602783,94,10,4.732824427480916,620
96,134,349.6090750694275,95,11,5.059701492537314,678
97,134,357.81269907951355,96,8,4.746268656716418,636
98,132,366.7535810470581,97,10,4.787878787878788,632
99,138,406.0557839870453,98,8,4.7101449275362315,650
100,138,418.93833088874817,99,9,4.920289855072464,679
