size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.0016679763793945312,1,1,1.0,2
3,3,0.0031409263610839844,2,2,1.3333333333333333,4
4,6,0.007052898406982422,3,2,1.1666666666666667,7
5,8,0.013976097106933594,4,2,1.625,13
6,12,0.028021812438964844,5,2,1.5833333333333333,19
7,15,0.04810810089111328,6,2,1.6666666666666667,25
8,11,0.04791593551635742,7,3,1.7272727272727273,19
9,19,0.09917497634887695,8,2,1.7894736842105263,34
10,21,0.13503718376159668,9,3,2.2857142857142856,48
11,18,0.14242792129516602,10,2,1.7222222222222223,31
12,22,0.20773792266845703,11,3,2.090909090909091,46
13,27,0.29713010787963867,12,3,2.185185185185185,59
14,33,0.42230892181396484,13,4,2.484848484848485,82
15,36,0.5348818302154541,14,4,2.5555555555555554,92
16,27,0.5035669803619385,15,4,2.4814814814814814,67
17,36,0.7740428447723389,16,5,3.111111111111111,112
18,38,0.8116030693054199,17,4,2.289473684210526,87
19,42,1.0132060050964355,18,3,2.357142857142857,99
20,48,1.2861599922180176,19,5,2.75,132
21,40,1.1718080043792725,20,4,2.65,106
22,38,1.2312750816345215,21,5,3.0,114
23,43,1.692322015762329,22,5,2.8372093023255816,122
24,52,1.9989900588989258,23,5,3.3461538461538463,174
25,49,2.049607992172241,24,4,2.6530612244897958,130
26,62,2.7852351665496826,25,4,2.6451612903225805,164
27,51,2.4994089603424072,26,5,3.0784313725490198,157
28,64,3.3712971210479736,27,7,4.359375,279
29,61,3.459095001220703,28,4,2.8688524590163933,175
30,59,3.6185920238494873,29,4,2.8983050847457625,171
31,62,4.051072835922241,30,5,3.129032258064516,194
32,68,4.6955249309539795,31,9,4.955882352941177,337
33,64,4.757055044174194,32,5,2.953125,189
34,68,5.321258068084717,33,6,3.5,238
35,67,5.596472978591919,34,7,4.298507462686567,288
36,75,6.592215061187744,35,5,3.493333333333333,262
37,70,6.601573944091797,36,6,3.7,259
38,74,7.372951984405518,37,7,4.054054054054054,300
39,74,7.665516138076782,38,6,3.9864864864864864,295
40,72,7.965924978256226,39,5,3.388888888888889,244
41,75,8.734560012817383,40,12,6.013333333333334,451
42,81,9.763887166976929,41,8,4.222222222222222,342
43,79,10.054181098937988,42,7,3.8607594936708862,305
44,81,10.85535216331482,43,6,4.037037037037037,327
45,82,11.414235830307007,44,6,3.768292682926829,309
46,80,11.633825063705444,45,7,4.225,338
47,81,12.349101066589355,46,8,4.925925925925926,399
48,86,13.701610088348389,47,8,4.767441860465116,410
49,89,14.78836703300476,48,11,5.842696629213483,520
50,89,15.384058952331543,49,7,4.168539325842697,371
51,92,16.503144025802612,50,7,4.043478260869565,372
52,96,17.97162103652954,51,8,4.6875,450
53,90,17.471652030944824,52,11,6.877777777777778,619
54,97,19.93471598625183,53,8,4.927835051546392,478
55,97,20.329020023345947,54,8,4.927835051546392,478
56,94,20.443397998809814,55,7,4.0638297872340425,382
57,100,22.760947942733765,56,7,4.62,462
58,89,20.945012092590332,57,9,5.056179775280899,450
59,90,21.911300897598267,58,18,9.144444444444444,823
60,97,24.806670904159546,59,7,4.865979381443299,472
61,101,26.45988893508911,60,10,5.623762376237623,568
62,106,29.000346899032593,61,11,6.952830188679245,737
63,105,29.300064086914062,62,11,5.733333333333333,602
64,105,30.24553894996643,63,9,5.609523809523809,589
65,105,31.59587001800537,64,9,5.2,546
66,110,34.47474908828735,65,8,5.718181818181818,629
67,107,33.98003101348877,66,17,9.785046728971963,1047
68,105,34.38109803199768,67,8,4.9904761904761905,524
69,102,35.10302186012268,68,6,4.392156862745098,448
70,106,37.0369348526001,69,9,5.622641509433962,596
71,107,38.28693699836731,70,13,7.233644859813084,774
72,107,39.596030950546265,71,11,6.252336448598131,669
73,120,46.398473024368286,72,11,6.333333333333333,760
74,113,44.609699010849,73,19,10.70796460176991,1210
75,117,46.98791289329529,74,9,6.102564102564102,714
76,121,50.09564709663391,75,11,6.628099173553719,802
77,111,47.80311989784241,76,13,7.333333333333333,814
78,123,54.494795083999634,77,9,5.934959349593496,730
79,122,55.04999494552612,78,26,15.131147540983607,1846
80,118,53.70622396469116,79,18,10.44915254237288,1233
81,122,57.80146908760071,80,11,6.713114754098361,819
82,118,57.3692409992218,81,10,5.5508474576271185,655
83,119,59.836913108825684,82,11,6.369747899159663,758
84,116,59.03876185417175,83,12,7.956896551724138,923
85,127,65.68824601173401,84,10,5.874015748031496,746
86,127,68.31300902366638,85,13,8.535433070866143,1084
87,131,71.43525910377502,86,9,5.870229007633588,769
88,130,73.64041996002197,87,12,7.207692307692308,937
89,133,76.50078105926514,88,12,7.548872180451128,1004
90,131,76.9435658454895,89,11,6.595419847328245,864
91,131,78.53174710273743,90,13,8.106870229007633,1062
92,135,82.37253880500793,91,12,7.125925925925926,962
93,130,82.61822891235352,92,12,7.2384615384615385,941
94,130,84.2654139995575,93,9,5.8538461538461535,761
95,131,86.51499581336975,94,14,7.99236641221374,1047
96,134,91.94026303291321,95,13,7.992537313432836,1071
97,134,92.22574377059937,96,16,8.783582089552239,1177
98,132,93.63340783119202,97,9,6.257575757575758,826
99,138,100.3303439617157,98,11,6.840579710144928,944
100,138,101.28011894226074,99,23,13.456521739130435,1857
