size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.003187894821166992,2,1,1.0,2
3,3,0.007411003112792969,3,2,1.3333333333333333,4
4,6,0.01349496841430664,3,3,1.5,9
5,8,0.02053213119506836,3,2,1.875,15
6,12,0.04774594306945801,4,4,2.5,30
7,15,0.07700419425964355,4,3,2.0,30
8,11,0.07140684127807617,4,4,2.1818181818181817,24
9,19,0.14132308959960938,4,5,3.0526315789473686,58
10,21,0.1860029697418213,4,5,3.2857142857142856,69
11,18,0.1862659454345703,4,4,2.4444444444444446,44
12,22,0.2606620788574219,4,6,2.727272727272727,60
13,27,0.360612154006958,4,7,3.037037037037037,82
14,33,0.5385599136352539,5,5,2.5757575757575757,85
15,36,0.6476619243621826,5,6,3.2222222222222223,116
16,27,0.5716030597686768,5,6,3.037037037037037,82
17,36,0.8012199401855469,5,5,3.111111111111111,112
18,38,0.9730219841003418,5,5,3.1052631578947367,118
19,42,1.2017498016357422,6,8,3.6904761904761907,155
20,48,1.481848955154419,6,9,3.5625,171
21,40,1.3362798690795898,5,7,3.725,149
22,38,1.3748109340667725,5,5,3.289473684210526,125
23,43,1.6998519897460938,5,9,4.186046511627907,180
24,52,2.1967999935150146,5,9,4.365384615384615,227
25,49,2.2834699153900146,6,8,4.142857142857143,203
26,62,3.20232892036438,6,7,3.8870967741935485,241
27,51,2.773975133895874,6,9,4.117647058823529,210
28,64,3.826712131500244,6,7,3.71875,238
29,61,3.7853360176086426,5,9,3.7540983606557377,229
30,59,3.9572391510009766,6,8,4.033898305084746,238
31,62,4.313119888305664,5,10,4.709677419354839,292
32,68,5.112771987915039,6,8,3.661764705882353,249
33,64,5.076106071472168,6,8,4.796875,307
34,68,5.832142114639282,6,9,5.0588235294117645,344
35,67,6.142505884170532,7,7,4.104477611940299,275
36,75,7.200084924697876,7,9,5.213333333333333,391
37,70,7.007249116897583,6,11,5.171428571428572,362
38,74,7.7176430225372314,6,10,5.27027027027027,390
39,74,8.188598871231079,6,10,4.9324324324324325,365
40,72,8.412403106689453,6,8,4.680555555555555,337
41,75,9.225327014923096,7,9,4.88,366
42,81,10.462537050247192,7,9,5.518518518518518,447
43,79,10.655915975570679,6,11,5.3544303797468356,423
44,81,11.325711965560913,6,10,5.728395061728395,464
45,82,11.979609966278076,6,10,5.353658536585366,439
46,80,12.427978038787842,7,10,5.7875,463
47,81,12.839593172073364,6,10,5.407407407407407,438
48,86,14.318313121795654,6,11,5.627906976744186,484
49,89,15.510090112686157,6,10,5.404494382022472,481
50,89,15.960370063781738,7,11,5.224719101123595,465
51,92,17.21400809288025,6,9,4.836956521739131,445
52,96,18.558990001678467,7,12,6.145833333333333,590
53,90,18.616502046585083,8,10,6.033333333333333,543
54,97,20.504899978637695,7,10,5.88659793814433,571
55,97,20.772346019744873,6,10,5.731958762886598,556
56,94,21.055681943893433,7,13,5.585106382978723,525
57,100,23.556675910949707,7,12,5.87,587
58,89,21.52011513710022,7,12,5.808988764044944,517
59,90,23.018063068389893,6,11,6.011111111111111,541
60,97,25.19946599006653,7,12,6.154639175257732,597
61,101,27.054983139038086,7,11,5.96039603960396,602
62,106,29.70803189277649,7,10,5.386792452830188,571
63,105,30.189706087112427,8,13,6.076190476190476,638
64,105,31.605120182037354,7,10,6.533333333333333,686
65,105,32.33017086982727,7,11,6.247619047619048,656
66,110,34.35677194595337,7,12,6.0181818181818185,662
67,107,34.815937995910645,7,12,6.457943925233645,691
68,105,35.333093881607056,7,11,6.285714285714286,660
69,102,34.69464898109436,7,11,6.117647058823529,624
70,106,37.04456281661987,8,13,6.59433962264151,699
71,107,38.393447160720825,7,11,6.4672897196261685,692
72,107,39.857897996902466,7,14,6.794392523364486,727
73,120,46.03264498710632,7,13,6.2,744
74,113,44.667120933532715,8,11,6.734513274336283,761
75,117,47.85413193702698,7,12,6.683760683760684,782
76,121,50.370356798172,8,11,6.446280991735537,780
77,111,47.59609508514404,7,11,6.297297297297297,699
78,123,54.618364095687866,8,14,6.780487804878049,834
79,122,54.66862201690674,8,14,6.950819672131147,848
80,118,54.237327098846436,7,12,7.338983050847458,866
81,122,57.15260696411133,7,13,7.081967213114754,864
82,118,56.83152484893799,8,12,6.491525423728813,766
83,119,58.66996693611145,7,12,6.638655462184874,790
84,116,58.179526805877686,7,13,8.0,928
85,127,66.13994812965393,8,13,6.984251968503937,887
86,127,67.56165480613708,7,14,7.141732283464567,907
87,131,72.00478911399841,8,12,7.290076335877862,955
88,130,72.99320912361145,8,13,7.415384615384616,964
89,133,76.1211359500885,8,16,7.488721804511278,996
90,131,76.65345191955566,8,14,7.297709923664122,956
91,131,77.26517796516418,7,15,7.221374045801527,946
92,135,81.46073007583618,7,14,7.385185185185185,997
93,130,81.26464200019836,8,15,8.0,1040
94,130,82.51958990097046,7,14,6.892307692307693,896
95,131,85.28846502304077,8,15,7.66412213740458,1004
96,134,88.65934896469116,7,16,7.858208955223881,1053
97,134,89.62672019004822,7,16,7.791044776119403,1044
98,132,90.4288740158081,7,13,7.636363636363637,1008
99,138,97.6388189792633,7,14,8.0,1104
100,138,99.48098683357239,8,15,7.963768115942029,1099
