size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.0003361701965332031,1,1,1.0,2
3,3,0.0014121532440185547,2,2,1.3333333333333333,4
4,6,0.005594968795776367,3,2,1.1666666666666667,7
5,8,0.012230873107910156,4,2,1.25,10
6,12,0.027148008346557617,5,2,1.5,18
7,15,0.04809212684631348,6,2,1.5333333333333334,23
8,11,0.047950029373168945,7,3,1.5454545454545454,17
9,19,0.10742497444152832,8,2,1.631578947368421,31
10,21,0.15036702156066895,9,3,1.8571428571428572,39
11,18,0.16554594039916992,10,2,1.5555555555555556,28
12,22,0.23707914352416992,11,3,1.7727272727272727,39
13,27,0.36348795890808105,12,3,1.8148148148148149,49
14,33,0.5221619606018066,13,3,2.090909090909091,69
15,36,0.7196559906005859,14,3,2.111111111111111,76
16,27,0.5788259506225586,15,3,1.8518518518518519,50
17,36,0.8896610736846924,16,3,2.0277777777777777,73
18,38,1.0839190483093262,17,3,2.1578947368421053,82
19,42,1.332092046737671,18,4,2.2142857142857144,93
20,48,1.7505531311035156,19,4,2.4166666666666665,116
21,40,1.6391658782958984,20,4,2.2,88
22,38,1.7328178882598877,21,4,2.236842105263158,85
23,43,2.165968179702759,22,4,2.0232558139534884,87
24,52,2.8575809001922607,23,5,2.6538461538461537,138
25,49,3.059221029281616,24,4,2.2448979591836733,110
26,62,4.213464021682739,25,4,2.4193548387096775,150
27,51,3.8271381855010986,26,4,2.392156862745098,122
28,64,5.248970985412598,27,5,2.515625,161
29,61,5.593736171722412,28,4,2.6885245901639343,164
30,59,5.724294185638428,29,4,2.5254237288135593,149
31,62,6.533492088317871,30,4,2.6451612903225805,164
32,68,7.712347984313965,31,5,2.514705882352941,171
33,64,7.9378509521484375,32,4,2.453125,157
34,68,9.030606031417847,33,4,3.0,204
35,67,9.823426961898804,34,5,2.671641791044776,179
36,75,11.795737981796265,35,5,3.026666666666667,227
37,70,11.735605955123901,36,5,2.9,203
38,74,12.778326988220215,37,5,3.0,222
39,74,14.426676988601685,38,4,2.7837837837837838,206
40,72,14.782764911651611,39,4,2.6805555555555554,193
41,75,16.184020042419434,40,5,2.64,198
42,81,18.708556175231934,41,5,2.8271604938271606,229
43,79,19.66556692123413,42,5,3.0759493670886076,243
44,81,20.865321159362793,43,5,3.3209876543209877,269
45,82,22.31018900871277,44,6,3.3048780487804876,271
46,80,22.826138973236084,45,5,3.125,250
47,81,25.484440088272095,46,5,3.049382716049383,247
48,86,27.638391971588135,47,5,3.13953488372093,270
49,89,31.352710962295532,48,6,3.0786516853932584,274
50,89,33.177433013916016,49,5,3.134831460674157,279
51,92,34.84956908226013,50,5,3.3043478260869565,304
52,96,38.67696714401245,51,5,3.4270833333333335,329
53,90,38.795467138290405,52,6,3.388888888888889,305
54,97,42.474364042282104,53,6,3.4329896907216493,333
55,97,46.288745164871216,54,6,3.6907216494845363,358
56,94,44.30033802986145,55,5,2.925531914893617,275
57,100,51.79440093040466,56,6,3.31,331
58,89,46.521870136260986,57,6,3.4719101123595504,309
59,90,53.52826285362244,58,6,3.433333333333333,309
60,97,60.172565937042236,59,6,3.463917525773196,336
61,101,65.0440468788147,60,6,3.702970297029703,374
62,106,69.16407895088196,61,6,3.330188679245283,353
63,105,72.69583916664124,62,6,3.5238095238095237,370
64,105,76.06506514549255,63,6,3.8190476190476192,401
65,105,81.15548300743103,64,6,3.6666666666666665,385
66,110,81.07416296005249,65,6,3.881818181818182,427
67,107,88.20946598052979,66,6,3.9065420560747666,418
68,105,88.33535194396973,67,6,3.657142857142857,384
69,102,86.89731693267822,68,6,3.5784313725490198,365
70,106,96.02401113510132,69,6,3.688679245283019,391
71,107,101.54992604255676,70,6,3.691588785046729,395
72,107,105.85910701751709,71,6,3.588785046728972,384
73,120,118.71537518501282,72,6,3.6416666666666666,437
74,113,121.372150182724,73,6,3.893805309734513,440
75,117,130.69186902046204,74,6,4.0,468
76,121,131.8434579372406,75,7,3.950413223140496,478
77,111,131.90637302398682,76,6,3.828828828828829,425
78,123,145.51464796066284,77,6,3.796747967479675,467
79,122,145.9548738002777,78,7,4.090163934426229,499
80,118,147.06699895858765,79,7,3.8728813559322033,457
81,122,161.07383489608765,80,7,3.9754098360655736,485
82,118,160.80375003814697,81,6,3.73728813559322,441
83,119,170.48095393180847,82,7,3.957983193277311,471
84,116,170.7511179447174,83,6,4.0,464
85,127,199.88012099266052,84,6,3.8976377952755907,495
86,127,192.4176001548767,85,6,3.984251968503937,506
87,131,206.3957748413086,86,6,4.038167938931298,529
88,130,221.23411107063293,87,7,4.115384615384615,535
89,133,232.83067893981934,88,7,4.293233082706767,571
90,131,227.70531392097473,89,7,4.061068702290076,532
91,131,245.38223385810852,90,7,4.145038167938932,543
92,135,262.2746250629425,91,7,4.296296296296297,580
93,130,246.84597206115723,92,7,4.638461538461539,603
94,130,264.33452105522156,93,6,3.9846153846153847,518
95,131,264.4623210430145,94,7,4.129770992366412,541
96,134,279.96466302871704,95,7,4.373134328358209,586
97,134,287.2071011066437,96,7,4.111940298507463,551
98,132,296.0676860809326,97,6,4.03030303030303,532
99,138,316.1906991004944,98,7,4.340579710144928,599
100,138,339.34618616104126,99,7,4.268115942028985,589
