size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,1,0.0018110275268554688,1,0,0.0,0
3,3,0.004352092742919922,2,0,0.0,0
4,6,0.010283946990966797,3,2,1.3333333333333333,8
5,10,0.021686077117919922,4,4,1.5,15
6,15,0.043612003326416016,5,3,1.4666666666666666,22
7,21,0.08205890655517578,6,3,1.8571428571428572,39
8,28,0.14028191566467285,7,4,2.2857142857142856,64
9,36,0.23290014266967773,8,5,2.75,99
10,45,0.36405301094055176,9,4,1.9555555555555555,88
11,55,0.5493860244750977,10,5,2.4363636363636365,134
12,66,0.7854819297790527,11,5,2.4696969696969697,163
13,78,1.1489992141723633,12,6,3.141025641025641,245
14,91,1.5193450450897217,13,5,2.857142857142857,260
15,105,2.072299003601074,14,8,3.704761904761905,389
16,120,2.759490966796875,15,8,3.941666666666667,473
17,136,3.5828418731689453,16,6,3.2794117647058822,446
18,153,4.752651929855347,17,6,2.895424836601307,443
19,171,5.890663146972656,18,7,3.111111111111111,532
20,190,7.662014007568359,19,8,4.052631578947368,770
21,210,9.433958053588867,20,7,3.552380952380952,746
22,231,11.525196075439453,21,10,4.212121212121212,973
23,253,13.756258010864258,22,9,4.5019762845849804,1139
24,276,17.204502820968628,23,9,4.365942028985507,1205
25,300,20.816164016723633,24,8,4.076666666666667,1223
26,325,25.014512062072754,25,8,3.852307692307692,1252
27,351,28.46981716156006,26,10,4.641025641025641,1629
28,378,34.27663016319275,27,9,4.317460317460317,1632
29,406,40.874061822891235,28,9,4.108374384236453,1668
30,435,47.569863080978394,29,9,4.760919540229885,2071
31,465,54.863682985305786,30,10,4.2279569892473114,1966
32,496,64.7431709766388,31,10,4.143145161290323,2055
33,528,73.90797305107117,32,9,4.821969696969697,2546
34,561,84.79438185691833,33,9,4.6310160427807485,2598
35,595,97.57091498374939,34,10,4.660504201680673,2773
36,630,109.94227385520935,35,9,4.7634920634920634,3001
37,666,124.52476191520691,36,12,4.761261261261262,3171
38,703,147.67039513587952,37,9,4.083926031294452,2871
39,741,159.93765997886658,38,13,5.603238866396761,4152
40,778,183.37386989593506,39,10,4.785347043701799,3723
41,820,206.68097305297852,40,10,4.965853658536585,4072
42,861,229.21502685546875,41,10,4.5876887340301975,3950
43,903,253.7664771080017,42,10,4.79734219269103,4332
44,946,278.30246782302856,43,12,5.309725158562368,5023
45,990,326.63444805145264,44,11,4.7696969696969695,4722
46,1033,345.16945910453796,45,11,4.856727976766699,5017
47,1081,382.05813789367676,46,12,5.30527289546716,5735
48,1128,419.75138902664185,47,11,5.62854609929078,6349
49,1175,474.3069429397583,48,10,5.187234042553191,6095
50,1224,530.3411509990692,49,11,5.257352941176471,6435
51,1274,575.4221479892731,50,11,5.012558869701727,6386
52,1326,630.7729210853577,51,12,5.98868778280543,7941
53,1378,695.3658111095428,52,12,5.349056603773585,7371
54,1431,766.3862500190735,53,16,5.885394828791055,8422
55,1485,841.4196109771729,54,10,5.253198653198653,7801
56,1540,893.8668601512909,55,11,5.672727272727273,8736
57,1596,997.130331993103,56,12,5.844611528822055,9328
58,1653,1059.2028679847717,57,14,5.981246218995765,9887
59,1711,1143.5159499645233,58,12,5.856808883693747,10021
60,1770,1237.63432097435,59,12,5.6169491525423725,9942
61,1830,1388.1017398834229,60,12,5.434426229508197,9945
62,1891,1423.887771844864,61,12,5.755684822845056,10884
63,1953,1609.3940699100494,62,11,5.615975422427035,10968
64,2014,1777.7083559036255,63,12,5.992552135054618,12069
65,2080,1811.2319250106812,64,13,6.412019230769231,13337
66,2145,1921.6426169872284,65,13,6.333333333333333,13585
67,2211,2155.918138027191,66,13,6.099502487562189,13486
68,2278,2327.103089094162,67,13,6.088674275680422,13870
69,2346,2427.6641240119934,68,14,6.389599317988065,14990
70,2415,2641.483819961548,69,13,5.857971014492754,14147
71,2485,2971.3027210235596,70,11,5.665593561368209,14079
72,2556,3034.898928165436,71,14,6.601721439749609,16874
73,2628,3299.8273980617523,72,13,6.068112633181126,15947
74,2701,3544.6187999248505,73,12,5.65272121436505,15268
75,2773,3643.782226085663,74,14,6.172737107825459,17117
76,2850,4016.5961549282074,75,14,6.61859649122807,18863
77,2925,4235.623252153397,76,11,5.760341880341881,16849
78,3003,4444.396077871323,77,14,6.390609390609391,19191
79,3078,4987.2131588459015,78,13,6.1419753086419755,18905
80,3160,5141.366456031799,79,14,6.401582278481013,20229
81,3240,5653.396573066711,80,13,6.321913580246914,20483
82,3319,5929.904080867767,81,13,6.457065381138897,21431
83,3403,6343.067757844925,82,13,6.898618865706729,23476
