size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,1,0.001847982406616211,1,0,0.0,0
3,3,0.003186941146850586,2,0,0.0,0
4,6,0.00653386116027832,3,2,1.6666666666666667,10
5,10,0.016026973724365234,4,2,1.3,13
6,15,0.03339385986328125,5,3,1.4666666666666666,22
7,21,0.0637509822845459,6,3,1.9047619047619047,40
8,28,0.11192202568054199,7,3,1.8571428571428572,52
9,36,0.18329191207885742,8,4,2.4444444444444446,88
10,45,0.2851090431213379,9,4,1.9777777777777779,89
11,55,0.42584705352783203,10,4,2.3636363636363638,130
12,66,0.6103458404541016,11,4,2.257575757575758,149
13,78,0.851668119430542,12,4,2.782051282051282,217
14,91,1.157182216644287,13,4,2.6923076923076925,245
15,105,1.5344898700714111,14,5,3.057142857142857,321
16,120,2.0032799243927,15,5,3.558333333333333,427
17,136,2.5901448726654053,16,6,3.551470588235294,483
18,153,3.262418031692505,17,5,3.196078431372549,489
19,171,4.060228109359741,18,5,2.9298245614035086,501
20,190,5.023378849029541,19,5,3.373684210526316,641
21,210,6.130041122436523,20,5,3.3666666666666667,707
22,231,7.4144508838653564,21,6,3.329004329004329,769
23,253,8.88659405708313,22,6,3.4031620553359683,861
24,276,10.617805004119873,23,7,3.949275362318841,1090
25,300,12.569961071014404,24,6,3.8966666666666665,1169
26,325,14.70365285873413,25,8,4.304615384615385,1399
27,351,17.124505043029785,26,7,4.487179487179487,1575
28,378,19.93254804611206,27,6,3.642857142857143,1377
29,406,22.954782962799072,28,7,3.4876847290640396,1416
30,435,26.39675998687744,29,7,4.114942528735632,1790
31,465,30.092663049697876,30,7,3.946236559139785,1835
32,496,34.25322890281677,31,7,4.481854838709677,2223
33,528,38.74471092224121,32,7,4.306818181818182,2274
34,561,43.99355697631836,33,8,4.188948306595365,2350
35,595,49.52597403526306,34,8,4.2974789915966385,2557
36,630,55.55274796485901,35,8,4.56984126984127,2879
37,666,61.968076944351196,36,8,4.576576576576577,3048
38,703,68.98597502708435,37,7,3.871977240398293,2722
39,741,76.93331480026245,38,8,4.719298245614035,3497
40,778,84.79503297805786,39,9,5.24293059125964,4079
41,820,95.03741478919983,40,8,4.803658536585366,3939
42,861,104.94576597213745,41,7,4.335656213704994,3733
43,903,114.96572208404541,42,8,4.4130675526024365,3985
44,946,126.05207896232605,43,9,5.033826638477802,4762
45,990,138.2316038608551,44,8,4.595959595959596,4550
46,1033,150.98347401618958,45,8,5.105517909002904,5274
47,1081,163.57090711593628,46,8,4.779833487511564,5167
48,1128,178.1619999408722,47,9,4.861702127659575,5484
49,1175,194.25602889060974,48,9,5.155744680851064,6058
50,1224,211.56897807121277,49,8,5.237745098039215,6411
51,1274,228.7280559539795,50,10,5.723704866562009,7292
52,1326,247.7047381401062,51,9,4.979638009049774,6603
53,1378,269.8803610801697,52,8,4.743105950653121,6536
54,1431,291.34002208709717,53,9,5.1411600279524805,7357
55,1485,317.52867794036865,54,8,4.766329966329966,7078
56,1540,341.5405201911926,55,10,5.557142857142857,8558
57,1596,366.2223320007324,56,9,5.4492481203007515,8697
58,1653,392.317880153656,57,10,5.347247428917121,8839
59,1711,419.85971093177795,58,8,5.090590298071303,8710
60,1770,445.67311000823975,59,10,5.989265536723164,10601
61,1830,476.905699968338,60,10,5.02568306010929,9197
62,1891,511.5188219547272,61,10,5.824431517715494,11014
63,1953,541.9654290676117,62,10,5.866871479774706,11458
64,2014,576.9186260700226,63,11,6.511916583912612,13115
65,2080,619.6001229286194,64,11,5.866826923076923,12203
66,2145,665.0565400123596,65,9,5.814918414918415,12473
67,2211,704.6425409317017,66,12,6.1058344640434195,13500
68,2278,743.1907529830933,67,10,6.125987708516242,13955
69,2346,787.8574800491333,68,10,6.162404092071611,14457
70,2415,838.1541090011597,69,10,6.065010351966873,14647
71,2485,882.0383360385895,70,10,5.905432595573441,14675
72,2556,937.7997798919678,71,9,5.547730829420971,14180
73,2628,991.2131948471069,72,11,6.138508371385083,16132
74,2701,1045.7642130851746,73,11,5.857830433172899,15822
75,2773,1122.3833739757538,74,10,6.064190407500901,16816
76,2850,1193.254380941391,75,10,5.818245614035088,16582
77,2925,1249.1135051250458,76,10,5.843076923076923,17091
78,3003,1299.9557449817657,77,12,6.892107892107892,20697
79,3078,1369.7870409488678,78,10,5.802469135802469,17860
80,3160,1447.4463322162628,79,11,6.057911392405063,19143
81,3240,1539.4758369922638,80,10,5.6533950617283955,18317
82,3319,1610.1858949661255,81,11,6.567038264537511,21796
83,3403,1697.710343837738,82,11,6.47046723479283,22019
84,3483,1816.0225670337677,83,11,6.157048521389607,21445
85,3568,1839.0416810512543,84,12,6.733183856502242,24024
86,3655,1936.7817721366882,85,14,7.0703146374829,25842
87,3739,2067.2702519893646,86,10,6.137469911741107,22948
88,3827,2169.113168001175,87,13,6.733733995296577,25770
89,3913,2247.253952026367,88,12,7.1880909787886536,28127
90,4005,2375.584774017334,89,11,6.2324594257178525,24961
91,4093,2449.739086151123,90,11,6.921817737600782,28331
92,4183,2525.3169910907745,91,11,6.980157781496533,29198
93,4277,2683.3916120529175,92,12,7.056815524900632,30182
94,4370,2796.958729028702,93,12,6.481693363844394,28325
95,4463,2841.733943939209,94,11,6.6269325565762935,29576
96,4556,2983.4502561092377,95,13,7.248683055311677,33025
97,4654,3108.273864030838,96,12,6.398366996132359,29778
98,4753,3253.104949951172,97,11,7.046707342730906,33493
99,4851,3415.612776041031,98,13,7.246547103689961,35153
100,4947,3540.2942140102386,99,12,7.15767131594906,35409
