size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
84,3485,1745.3447489738464,83,12,7.020946915351506,24468
84,3486,1796.0077788829803,83,9,5.783419391853127,20161
85,3568,1839.0416810512543,84,12,6.733183856502242,24024
86,3655,1936.7817721366882,85,14,7.0703146374829,25842
87,3739,2067.2702519893646,86,10,6.137469911741107,22948
88,3827,2169.113168001175,87,13,6.733733995296577,25770
89,3913,2247.253952026367,88,12,7.1880909787886536,28127
90,4005,2375.584774017334,89,11,6.2324594257178525,24961
91,4093,2449.739086151123,90,11,6.921817737600782,28331
92,4183,2525.3169910907745,91,11,6.980157781496533,29198
93,4277,2683.3916120529175,92,12,7.056815524900632,30182
94,4370,2796.958729028702,93,12,6.481693363844394,28325
95,4463,2841.733943939209,94,11,6.6269325565762935,29576
96,4556,2983.4502561092377,95,13,7.248683055311677,33025
97,4654,3108.273864030838,96,12,6.398366996132359,29778
98,4753,3253.104949951172,97,11,7.046707342730906,33493
99,4851,3415.612776041031,98,13,7.246547103689961,35153
100,4947,3540.2942140102386,99,12,7.15767131594906,35409
