size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
84,3485,2369.851560115814,8,19,8.475753228120517,29538
84,3486,2311.0308089256287,7,17,7.975616752725187,27803
85,3568,2411.1180679798126,8,15,7.995235426008969,28527
86,3655,2564.2684309482574,8,18,8.745554035567716,31965
87,3739,2551.4726440906525,7,17,8.284568066327894,30976
88,3827,2794.514491081238,7,21,8.657956623987458,33134
89,3913,2800.712657928467,8,18,8.496805520061335,33248
90,4005,3051.5644221305847,7,17,8.222222222222221,32930
91,4093,3078.7697219848633,6,16,8.768140728072318,35888
92,4183,3123.1857810020447,8,17,8.327277073870428,34833
93,4277,3316.2138769626617,7,18,9.072948328267477,38805
94,4370,3438.450809955597,6,18,9.226086956521739,40318
95,4463,3547.758157968521,8,17,8.583464037642841,38308
96,4556,3829.414160013199,8,15,8.352502194907814,38054
97,4654,4155.438627004623,7,17,9.109153416415987,42394
98,4753,4380.857511997223,7,17,8.00126236061435,38030
99,4851,4402.975503206253,7,18,9.18140589569161,44539
100,4947,4952.063974142075,8,17,9.042247826965838,44732
