size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,1,0.0025200843811035156,2,0,0.0,0
3,3,0.005942106246948242,3,1,0.3333333333333333,1
4,6,0.008514165878295898,2,2,1.3333333333333333,8
5,10,0.03304910659790039,4,3,2.1,21
6,15,0.04616379737854004,3,3,1.8666666666666667,28
7,21,0.0816640853881836,3,5,2.5238095238095237,53
8,28,0.15019893646240234,4,6,2.9642857142857144,83
9,36,0.2336270809173584,4,5,2.8333333333333335,102
10,45,0.4006989002227783,5,6,3.066666666666667,138
11,55,0.5227389335632324,4,7,2.8,154
12,66,0.7513351440429688,5,7,3.0606060606060606,202
13,78,1.0026731491088867,4,6,3.6153846153846154,282
14,91,1.327362060546875,4,6,3.5494505494505493,323
15,105,1.77388596534729,5,6,3.5714285714285716,375
16,120,2.2583141326904297,4,9,4.241666666666666,509
17,136,3.0466420650482178,5,8,3.7426470588235294,509
18,153,3.7035090923309326,5,7,3.4379084967320264,526
19,171,4.560118198394775,5,8,4.081871345029239,698
20,190,5.882812023162842,6,8,4.589473684210526,872
21,210,6.869848966598511,5,8,4.185714285714286,879
22,231,8.565760850906372,6,9,4.6017316017316015,1063
23,253,10.196871995925903,5,9,4.098814229249012,1037
24,276,11.964651107788086,5,9,4.36231884057971,1204
25,300,13.71484899520874,4,10,4.383333333333334,1315
26,325,16.515339136123657,6,9,5.0430769230769235,1639
27,351,18.458800792694092,5,10,4.829059829059829,1695
28,378,22.416115045547485,7,10,6.0132275132275135,2273
29,406,25.520968914031982,6,12,5.33743842364532,2167
30,435,28.615991830825806,5,10,5.319540229885058,2314
31,465,32.4958770275116,5,10,4.759139784946236,2213
32,496,37.748169898986816,6,12,5.145161290322581,2552
33,528,41.90279507637024,5,10,5.005681818181818,2643
34,561,47.672247886657715,6,11,5.146167557932264,2887
35,595,54.275996923446655,7,12,5.065546218487395,3014
36,630,59.98536801338196,6,12,5.512698412698413,3473
37,666,67.59452104568481,6,11,5.612612612612613,3738
38,703,74.9521369934082,7,9,5.019914651493599,3529
39,741,82.83398199081421,6,12,5.734143049932523,4249
40,778,91.23921394348145,6,13,5.838046272493573,4542
41,820,99.8493390083313,6,11,6.258536585365854,5132
42,861,111.12872004508972,6,12,5.955865272938444,5128
43,903,123.67294406890869,7,11,6.015503875968992,5432
44,946,132.4493489265442,6,13,5.916490486257928,5597
45,990,146.99112200737,6,12,5.995959595959596,5936
46,1033,163.62645506858826,7,12,6.746369796708616,6969
47,1081,175.8773341178894,7,12,6.107308048103608,6602
48,1128,187.03114199638367,6,15,6.174645390070922,6965
49,1175,204.00734305381775,6,12,6.414468085106383,7537
50,1224,225.2943618297577,7,13,6.518790849673203,7979
51,1274,241.89587998390198,7,13,6.817896389324961,8686
52,1326,262.74006700515747,7,13,6.8710407239819,9111
53,1378,280.72813987731934,6,15,7.039187227866473,9700
54,1431,304.18071818351746,6,14,6.790356394129979,9717
55,1485,331.36582803726196,7,12,6.347474747474747,9426
56,1540,359.34066891670227,7,15,6.588961038961039,10147
57,1596,384.5046751499176,7,15,7.305764411027569,11660
58,1653,406.3480758666992,6,15,7.777979431336963,12857
59,1711,437.6850628852844,6,12,6.508474576271187,11136
60,1770,467.2111859321594,7,13,6.9954802259887,12382
61,1830,500.29545998573303,7,13,6.342622950819672,11607
62,1891,526.2734770774841,6,15,7.639344262295082,14446
63,1953,566.9127349853516,7,16,8.29800307219662,16206
64,2014,611.5037791728973,7,13,6.785501489572989,13666
65,2080,649.598482131958,7,15,7.608653846153846,15826
66,2145,705.3905119895935,7,14,7.290909090909091,15639
67,2211,737.0432741641998,7,14,7.733604703753958,17099
68,2278,781.2025210857391,7,16,7.905179982440737,18008
69,2346,819.9038419723511,7,16,7.166240409207161,16812
70,2415,868.4715940952301,7,13,7.16935817805383,17314
71,2485,930.2991230487823,7,17,8.354124748490946,20760
72,2556,983.1534569263458,8,16,8.065336463223787,20615
73,2628,1041.2705688476562,7,15,7.814307458143075,20536
74,2701,1082.9725170135498,7,15,7.296556830803406,19708
75,2773,1149.0353190898895,7,17,8.31301839163361,23052
76,2850,1222.1171290874481,7,19,8.21859649122807,23423
77,2925,1280.3843920230865,7,16,7.532649572649572,22033
78,3003,1359.4052529335022,7,19,7.974691974691975,23948
79,3078,1442.097095966339,8,18,8.208576998050683,25266
80,3160,1502.9721629619598,8,15,7.794303797468355,24630
81,3240,1583.2362020015717,8,17,7.867283950617284,25490
82,3319,1659.4692590236664,7,18,8.675805965652305,28795
83,3403,1739.8259980678558,8,17,9.04172788715839,30769
84,3483,2442.659553050995,8,19,8.537754809072638,29737
