size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,1,9.679794311523438e-05,1,0,0.0,0
3,3,0.0011479854583740234,2,0,0.0,0
4,6,0.0050048828125,3,2,1.3333333333333333,8
5,10,0.014240026473999023,4,2,1.3,13
6,15,0.03303098678588867,5,3,1.4666666666666666,22
7,21,0.06703400611877441,6,3,1.8095238095238095,38
8,28,0.12226414680480957,7,4,1.8214285714285714,51
9,36,0.2074909210205078,8,4,2.0277777777777777,73
10,45,0.328233003616333,9,4,1.8666666666666667,84
11,55,0.4979231357574463,10,4,2.2545454545454544,124
12,66,0.7287352085113525,11,4,2.0303030303030303,134
13,78,1.0446140766143799,12,5,2.58974358974359,202
14,91,1.455151081085205,13,4,2.4395604395604398,222
15,105,1.939836025238037,14,5,2.552380952380952,268
16,120,2.6096549034118652,15,5,3.1333333333333333,376
17,136,3.3530080318450928,16,5,2.7720588235294117,377
18,153,4.42736291885376,17,5,2.6470588235294117,405
19,171,5.642030954360962,18,6,2.736842105263158,468
20,190,6.902669906616211,19,6,3.221052631578947,612
21,210,8.664958953857422,20,6,2.942857142857143,618
22,231,10.697937965393066,21,6,3.121212121212121,721
23,253,13.363603115081787,22,7,3.007905138339921,761
24,276,16.27245306968689,23,7,3.282608695652174,906
25,300,18.975908041000366,24,7,3.34,1002
26,325,23.24241304397583,25,6,3.44,1118
27,351,27.13880681991577,26,6,3.5042735042735043,1230
28,378,32.53116011619568,27,6,3.5502645502645502,1342
29,406,38.311124086380005,28,6,3.1600985221674875,1283
30,435,44.764095067977905,29,7,3.4689655172413794,1509
31,465,51.9160521030426,30,7,3.535483870967742,1644
32,496,61.447888135910034,31,7,3.6330645161290325,1802
33,528,69.40944600105286,32,7,3.4242424242424243,1808
34,561,77.06987404823303,33,7,3.5828877005347595,2010
35,595,91.74298000335693,34,7,3.5243697478991596,2097
36,630,103.23997783660889,35,8,3.8412698412698414,2420
37,666,113.22845196723938,36,7,3.764264264264264,2507
38,703,128.94430780410767,37,7,3.386913229018492,2381
39,741,147.41549801826477,38,7,4.048582995951417,3000
40,778,171.077152967453,39,8,3.9010282776349614,3035
41,820,183.489413022995,40,8,4.010975609756097,3289
42,861,200.8791389465332,41,8,3.940766550522648,3393
43,903,225.68324303627014,42,8,3.916943521594684,3537
44,946,248.47580289840698,43,8,4.09830866807611,3877
45,990,288.8576910495758,44,8,3.811111111111111,3773
46,1033,311.592570066452,45,8,4.217812197483059,4357
47,1081,329.91224098205566,46,8,4.291396854764107,4639
48,1128,377.58950996398926,47,8,4.26595744680851,4812
49,1175,429.3516299724579,48,9,4.257872340425532,5003
50,1224,473.62501096725464,49,9,4.2066993464052285,5149
51,1274,518.7352759838104,50,8,4.186813186813187,5334
52,1326,539.9586730003357,51,8,4.3099547511312215,5715
53,1378,601.567568063736,52,8,4.435413642960813,6112
54,1431,653.836984872818,53,10,4.677847658979735,6694
55,1485,709.7593100070953,54,9,4.463299663299663,6628
56,1540,777.7208919525146,55,9,4.457142857142857,6864
57,1596,854.6880559921265,56,8,4.661654135338346,7440
58,1653,935.3589580059052,57,9,4.583182093163944,7576
59,1711,986.0366559028625,58,9,4.4868497954412625,7677
60,1770,1046.3927850723267,59,9,4.532768361581921,8023
61,1830,1174.6554198265076,60,9,4.522950819672131,8277
62,1891,1228.9522578716278,61,9,4.795346377578001,9068
63,1953,1358.5226950645447,62,9,4.746543778801843,9270
64,2014,1549.03089594841,63,9,4.716484607745779,9499
65,2080,1611.1905930042267,64,10,5.076923076923077,10560
66,2145,1676.9177780151367,65,9,4.741724941724942,10171
67,2211,1889.938891172409,66,9,4.837177747625509,10695
68,2278,1965.2390868663788,67,9,4.85206321334504,11053
69,2346,2130.1003079414368,68,9,4.819266837169651,11306
70,2415,2241.200774908066,69,9,4.715527950310559,11388
71,2485,2424.2117540836334,70,9,4.979476861167002,12374
72,2556,2687.8939101696014,71,10,4.941705790297339,12631
73,2628,2682.63787484169,72,9,4.7595129375951295,12508
74,2701,3122.4716970920563,73,9,4.843761569788967,13083
75,2773,3162.15203499794,74,10,5.144608727010458,14266
76,2850,3520.0068020820618,75,10,4.933684210526316,14061
77,2925,3672.7234139442444,76,10,4.934700854700854,14434
78,3003,3760.5954871177673,77,10,5.257742257742258,15789
79,3078,3971.540801048279,78,10,5.0737491877842755,15617
80,3160,4193.2013239860535,79,9,5.162974683544304,16315
81,3240,4643.865072965622,80,9,5.133950617283951,16634
82,3319,5071.066651105881,81,10,5.298583910816511,17586
83,3403,5116.189444065094,82,10,5.733470467234793,19511
