size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.0365259647369,2,1,1.0,2
3,5,0.0116989612579,3,2,1.4,7
4,8,0.0153260231018,3,3,1.875,15
5,13,0.0426700115204,4,4,1.84615384615,24
6,20,0.0618159770966,4,4,2.05,41
7,27,0.11754989624,5,5,2.2962962963,62
8,33,0.152993917465,3,5,2.66666666667,88
9,42,0.25204706192,4,5,2.57142857143,108
10,52,0.407881975174,4,4,2.5,130
11,61,0.530791044235,4,5,3.06557377049,187
12,68,0.773545980453,5,6,3.02941176471,206
13,83,1.02953410149,6,8,3.56626506024,296
14,88,1.22579598427,5,7,3.28409090909,289
15,110,1.81362891197,5,6,3.18181818182,350
16,124,2.23207521439,5,8,4.00806451613,497
17,132,2.58302497864,3,8,3.62121212121,478
18,145,3.16478991508,4,8,3.91034482759,567
19,157,4.1752910614,5,8,4.12101910828,647
20,185,5.21817493439,5,8,3.76756756757,697
21,204,6.20078492165,5,9,4.28431372549,874
22,220,7.27465009689,5,9,4.14545454545,912
23,231,8.58972001076,6,9,4.74458874459,1096
24,253,9.82614398003,5,9,4.29644268775,1087
25,266,11.3972549438,6,10,4.16541353383,1108
26,290,13.2078640461,5,8,4.33448275862,1257
27,312,15.2916581631,6,9,4.63141025641,1445
28,334,17.8433611393,6,10,4.55988023952,1523
29,342,19.7995049953,6,10,4.82456140351,1650
30,374,23.0618209839,6,9,4.5320855615,1695
31,395,26.1622610092,6,10,4.89873417722,1935
32,418,29.2874939442,6,9,4.97368421053,2079
33,448,33.3984060287,6,11,4.77901785714,2141
34,469,36.8480038643,6,10,5.22388059701,2450
35,463,39.276542902,7,11,4.8444924406,2243
36,513,44.8459601402,5,11,5.29434697856,2716
37,547,51.0947151184,6,11,5.24131627057,2867
38,543,53.6697390079,6,11,5.11418047882,2777
39,609,63.421036005,7,12,5.68472906404,3462
40,615,67.3183400631,7,10,5.19349593496,3194
41,664,76.0252480507,6,14,5.64457831325,3748
42,677,82.4393398762,7,12,5.68094534712,3846
43,701,89.6320400238,6,11,5.68330955777,3984
44,747,99.4814450741,6,11,5.98929049531,4474
45,778,109.459518909,7,12,5.80976863753,4520
46,809,117.948568106,7,14,5.92459826947,4793
47,844,129.315344095,6,12,6.14099526066,5183
48,883,141.952023983,6,12,6.41562853907,5665
49,914,154.149439812,6,14,6.43326039387,5880
50,947,163.520442009,6,13,5.97148891235,5655
51,985,178.055435896,7,14,6.36852791878,6273
52,1021,191.196102858,6,13,6.35259549461,6486
53,1061,211.469455004,6,13,6.18850141376,6566
54,1098,226.96389699,6,12,6.39981785064,7027
55,1120,238.139894962,7,12,5.72410714286,6411
56,1157,256.651585102,7,13,6.41313742437,7420
57,1160,274.834323168,7,12,6.74568965517,7825
58,1241,297.887573004,5,13,6.08783239323,7555
59,1290,320.408187151,6,13,6.15426356589,7939
60,1307,339.217257977,7,13,6.30298393267,8238
61,1331,366.200298071,7,13,6.23140495868,8294
62,1378,385.86353302,7,13,6.54281567489,9016
63,1433,424.842330933,7,15,6.96999302163,9988
64,1501,458.394331932,7,16,7.07195203198,10615
65,1491,483.950987816,7,15,7.45606975184,11117
66,1558,505.76603508,8,14,6.81643132221,10620
67,1570,524.653294086,7,13,6.84522292994,10747
68,1641,586.384672165,7,14,7.37599024985,12104
69,1678,600.186306,7,14,7.11084624553,11932
70,1726,611.926457882,7,17,7.60312862109,13123
71,1828,681.424041986,7,17,6.74398249453,12328
72,1815,718.612373114,8,13,6.91955922865,12559
73,1881,772.08119607,7,14,6.88729399256,12955
74,1911,821.161049843,8,16,7.99529042386,15279
75,1962,879.785805225,7,14,7.11060142712,13951
76,2032,922.339565039,9,16,7.48474409449,15209
77,2062,964.469991922,7,15,7.40688651794,15273
78,2102,1016.47438788,7,14,6.92293054234,14552
79,2180,1074.49718404,8,17,7.53165137615,16419
80,2236,1124.30984998,7,15,7.3175313059,16362
81,2320,1267.96029496,8,17,8.01379310345,18592
82,2295,1315.38225198,8,15,7.3568627451,16884
83,2436,1432.47505188,8,14,7.2684729064,17706
84,2441,1399.92709899,7,15,7.79885292913,19037
85,2505,1607.05348611,8,15,7.37245508982,18468
86,2607,1575.91801405,8,19,8.81856540084,22990
87,2659,1780.84714985,8,16,7.76419706657,20645
88,2638,1826.36833,6,15,8.07240333586,21295
89,2717,1848.88560987,8,17,8.26094957674,22445
