size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2.0,2.0,0.00266695022583,2.0,1.0,1.0,2.0
3.0,5.0,0.00579943656921,2.2,2.0,1.36,6.8
4.0,9.0,0.0157278060913,2.8,2.2,1.53333333333,13.8
5.0,14.0,0.0304795742035,3.0,3.2,1.85714285714,26.0
6.0,20.0,0.0651841640472,3.6,3.8,2.28,45.6
7.0,27.0,0.112576580048,4.0,4.4,2.31851851852,62.6
8.0,33.0,0.164565372467,4.0,5.0,2.66060606061,87.8
9.0,42.0,0.260787153244,4.2,5.0,2.7,113.4
10.0,51.0,0.378476190567,4.0,4.6,2.55294117647,130.2
11.0,60.0,0.538882780075,4.2,6.0,2.78666666667,167.2
12.0,68.0,0.705656433105,4.2,6.6,3.29705882353,224.2
13.0,76.0,0.945235013962,5.0,6.4,3.41842105263,259.8
14.0,96.0,1.33725857735,4.6,5.8,3.17291666667,304.6
15.0,102.0,1.62622060776,4.6,6.6,3.43333333333,350.2
16.0,119.0,2.17601523399,5.4,7.4,3.66554621849,436.2
17.0,134.0,2.72940998077,5.2,7.6,3.84179104478,514.8
18.0,147.0,3.34195833206,5.6,7.2,3.56870748299,524.6
19.0,166.0,4.17853055,5.2,7.6,3.74457831325,621.6
20.0,177.0,4.93044495583,5.2,9.0,3.91751412429,693.4
21.0,189.0,5.78159923553,5.2,8.2,4.28888888889,810.6
22.0,210.0,7.00443124771,5.4,8.6,3.87428571429,813.6
23.0,229.0,8.43340883255,5.6,7.8,4.17379912664,955.8
24.0,258.0,10.3352501869,6.0,9.0,4.16434108527,1074.4
25.0,273.0,11.8553221703,5.4,9.8,4.62417582418,1262.4
26.0,288.0,13.4753230095,6.0,8.8,4.54583333333,1309.2
27.0,308.0,15.4988661766,5.6,9.6,4.55584415584,1403.2
28.0,325.0,17.7801749706,5.6,9.4,4.87938461538,1585.8
29.0,356.0,20.6839970589,5.8,9.2,4.6595505618,1658.8
30.0,365.0,22.8913977146,6.4,10.0,4.93534246575,1801.4
31.0,391.0,26.0477518082,6.2,10.0,5.01176470588,1959.6
32.0,424.0,29.8463195801,6.2,11.8,5.15094339623,2184.0
33.0,443.0,33.0694650173,6.4,11.0,4.95936794582,2197.0
34.0,469.0,37.6797986984,6.2,10.2,4.89168443497,2294.2
35.0,485.0,40.6950924397,6.0,12.0,5.14144329897,2493.6
36.0,524.0,46.9536898613,6.6,10.2,5.00496183206,2622.6
37.0,552.0,52.1926774025,6.0,10.8,5.25,2898.0
38.0,559.0,55.7003527641,6.2,11.0,5.44114490161,3041.6
39.0,609.0,63.3650290012,6.4,10.8,5.25123152709,3198.0
40.0,629.0,69.628808403,6.2,12.2,5.86073131955,3686.4
41.0,651.0,75.508436203,6.6,12.0,5.64331797235,3673.8
42.0,677.0,82.445323801,6.6,12.4,5.82599704579,3944.2
43.0,683.0,87.5845666885,6.8,12.4,5.64245973646,3853.8
44.0,749.0,101.666038561,6.4,12.4,5.7217623498,4285.6
45.0,792.0,111.957915211,6.6,11.4,5.82196969697,4611.0
46.0,823.0,123.124169779,6.6,12.2,6.00486026731,4942.0
47.0,844.0,132.177028179,7.0,13.2,5.76682464455,4867.2
48.0,869.0,140.321598911,6.2,11.6,6.17261219793,5364.0
49.0,907.0,155.039960575,6.4,11.4,5.67012127894,5142.8
50.0,927.0,163.804310369,7.2,12.6,6.10981661273,5663.8
51.0,989.0,181.194702816,6.6,12.0,6.08210313448,6015.2
52.0,987.0,196.452522564,6.6,13.2,6.31813576494,6236.0
53.0,1050.0,218.75033617,7.0,12.8,6.3540952381,6671.8
54.0,1066.0,225.313829851,6.4,12.8,6.43170731707,6856.2
55.0,1093.0,239.548501015,7.0,13.4,6.37566331199,6968.6
56.0,1164.0,264.762695217,7.0,13.8,6.33316151203,7371.8
57.0,1210.0,287.504618454,6.6,12.8,6.32396694215,7652.0
58.0,1271.0,314.436427212,6.8,14.4,6.50007867821,8261.6
59.0,1269.0,327.815794992,7.0,13.8,6.6658786446,8459.0
60.0,1314.0,356.619586468,7.2,13.4,6.42770167428,8446.0
61.0,1355.0,366.899186611,6.8,14.0,6.61623616236,8965.0
62.0,1398.0,399.884179401,7.2,14.0,6.62861230329,9266.8
63.0,1448.0,437.384649229,6.8,14.4,7.01975138122,10164.6
64.0,1465.0,456.432421732,7.4,14.0,6.79508532423,9954.8
65.0,1537.0,498.430520964,7.4,14.2,6.72856213403,10341.8
66.0,1545.0,509.064335442,7.4,15.0,6.9796763754,10783.6
