size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
10.0,18.0,0.24752424558003744,4.2,4.2,2.511111111111111,45.2
11.0,19.0,0.20300745964050293,4.466666666666667,4.866666666666666,2.505263157894737,47.6
12.0,21.0,0.2819800059000651,4.666666666666667,5.533333333333333,2.692063492063492,56.53333333333333
13.0,30.0,0.5309638182322184,4.733333333333333,5.2,2.777777777777778,83.33333333333333
14.0,29.0,0.766668192545573,4.666666666666667,5.866666666666666,3.0275862068965513,87.8
15.0,35.0,1.0444028536478678,4.666666666666667,6.2,3.1504761904761907,110.26666666666667
16.0,29.0,0.9943408171335856,4.8,6.0,3.2022988505747128,92.86666666666666
17.0,43.0,1.576986344655355,4.8,6.6,3.3767441860465115,145.2
18.0,37.0,1.5261719385782877,5.2,6.4,3.41981981981982,126.53333333333333
19.0,37.0,1.7112788518269857,5.266666666666667,6.133333333333334,3.4486486486486494,127.6
20.0,41.0,2.09769074122111,5.133333333333334,6.266666666666667,3.2113821138211387,131.66666666666666
21.0,44.0,2.7088483651479085,5.333333333333333,7.733333333333333,3.8636363636363638,170.0
22.0,42.0,1.9078726132710775,5.266666666666667,6.733333333333333,3.607936507936508,151.53333333333333
23.0,42.0,2.474827607472738,5.333333333333333,7.333333333333333,3.823809523809524,160.6
24.0,47.0,2.447104787826538,5.533333333333333,7.733333333333333,3.801418439716312,178.66666666666666
25.0,55.0,4.0055158297220865,5.6,8.0,3.980606060606061,218.93333333333334
26.0,53.0,2.7974074204762776,5.733333333333333,7.333333333333333,4.000000000000001,212.0
27.0,61.0,3.4497381846110025,5.666666666666667,7.4,4.249180327868852,259.2
28.0,57.0,3.6369727929433187,5.8,8.466666666666667,4.1953216374269,239.13333333333333
29.0,55.0,3.967399024963379,5.733333333333333,7.8,4.041212121212122,222.26666666666668
30.0,57.0,4.180659834543864,5.866666666666666,9.0,4.439766081871345,253.06666666666666
31.0,56.0,5.632620318730672,6.0,8.466666666666667,4.599999999999999,257.6
32.0,58.0,4.725059111913045,5.866666666666666,8.733333333333333,4.551724137931035,264.0
33.0,73.0,7.987553135553996,6.0,9.2,4.521461187214612,330.06666666666666
34.0,73.0,8.680654605229696,6.066666666666666,8.133333333333333,4.361643835616437,318.4
35.0,62.0,8.663223965962727,6.333333333333333,8.8,4.5462365591397855,281.8666666666667
36.0,71.0,7.325263992945353,6.266666666666667,10.066666666666666,4.933333333333334,350.26666666666665
37.0,68.0,9.533791144688925,6.066666666666666,8.533333333333333,4.494117647058824,305.6
38.0,82.0,11.953382682800292,6.4,9.4,4.966666666666666,407.26666666666665
39.0,70.0,11.599464050928752,6.333333333333333,9.8,4.7095238095238106,329.6666666666667
40.0,64.0,12.298098500569662,6.4,9.266666666666667,4.644791666666666,297.26666666666665
41.0,78.0,11.858255004882812,6.533333333333333,10.666666666666666,5.084615384615384,396.6
42.0,77.0,12.243751001358032,6.733333333333333,9.333333333333334,4.977489177489178,383.26666666666665
43.0,86.0,13.886214653650919,6.733333333333333,9.533333333333333,5.137209302325581,441.8
44.0,82.0,15.39951524734497,6.4,9.733333333333333,5.3739837398373975,440.6666666666667
45.0,92.0,20.01718961397807,6.533333333333333,10.0,5.377536231884059,494.73333333333335
46.0,89.0,18.524111477533975,6.466666666666667,10.2,5.583520599250936,496.93333333333334
47.0,83.0,15.924677069981893,6.533333333333333,10.333333333333334,5.353413654618474,444.3333333333333
48.0,86.0,19.45331768989563,6.6,10.6,5.430232558139534,467.0
49.0,91.0,20.74074854850769,6.466666666666667,10.866666666666667,5.484981684981685,499.1333333333333
50.0,86.0,20.505212179819743,6.666666666666667,10.066666666666666,5.317054263565892,457.26666666666665
51.0,92.0,23.042313289642333,6.933333333333334,12.0,5.590579710144927,514.3333333333334
52.0,99.0,25.879530064264934,6.733333333333333,11.866666666666667,5.667340067340067,561.0666666666667
53.0,93.0,25.053447484970093,6.666666666666667,11.4,5.510394265232974,512.4666666666667
54.0,95.0,36.915160481135054,6.8,10.4,5.625964912280701,534.4666666666667
55.0,91.0,24.58939617474874,6.866666666666666,10.733333333333333,5.6600732600732595,515.0666666666667
56.0,97.0,29.67251828511556,6.533333333333333,12.2,5.786941580756014,561.3333333333334
57.0,97.0,33.307400385538735,7.0,10.866666666666667,5.7670103092783505,559.4
58.0,99.0,31.11915979385376,6.733333333333333,10.866666666666667,5.849831649831649,579.1333333333333
59.0,101.0,38.30971461931865,6.666666666666667,11.066666666666666,6.005280528052806,606.5333333333333
60.0,95.0,36.48035395940145,6.866666666666666,10.866666666666667,6.026666666666666,572.5333333333333
61.0,105.0,33.05075036684672,7.333333333333333,11.2,5.801269841269841,609.1333333333333
62.0,106.0,40.29293988545736,7.2,12.666666666666666,6.190566037735849,656.2
63.0,109.0,46.38183913230896,7.066666666666666,11.533333333333333,6.288685015290521,685.4666666666667
64.0,109.0,632.3537185509999,6.733333333333333,12.8,6.308868501529051,687.6666666666666
65.0,110.0,47.35820328394572,7.133333333333334,11.933333333333334,6.014545454545455,661.6
66.0,107.0,46.24549681345622,7.4,12.266666666666667,6.305295950155763,674.6666666666666
67.0,111.0,50.23355504671733,7.133333333333334,12.0,6.527927927927928,724.6
68.0,104.0,55.25768984158834,7.0,13.0,6.393589743589743,664.9333333333333
69.0,105.0,46.559051243464154,7.066666666666666,12.133333333333333,6.391111111111112,671.0666666666667
70.0,107.0,47.29882898330688,7.0,12.933333333333334,6.616199376947041,707.9333333333333
71.0,108.0,58.014434512456255,6.933333333333334,11.8,6.76358024691358,730.4666666666667
72.0,108.0,54.11476265589396,7.2,12.0,6.161728395061728,665.4666666666667
73.0,118.0,93.8579195022583,7.333333333333333,13.533333333333333,6.37909604519774,752.7333333333333
74.0,117.0,62.23890816370646,7.266666666666667,12.533333333333333,6.365811965811966,744.8
75.0,122.0,92.33400602340699,7.4,12.266666666666667,6.6857923497267775,815.6666666666666
76.0,114.0,51.580383952458696,7.466666666666667,12.466666666666667,6.737426900584795,768.0666666666667
77.0,120.0,61.49917090733846,7.666666666666667,12.8,6.9449999999999985,833.4
78.0,118.0,72.4996089776357,7.466666666666667,13.6,6.766101694915255,798.4
79.0,123.0,63.70025118192037,7.133333333333334,13.066666666666666,6.724119241192413,827.0666666666667
80.0,118.0,75.9290748755137,7.333333333333333,13.066666666666666,7.267231638418078,857.5333333333333
81.0,115.0,82.98606963157654,7.2,12.466666666666667,6.622028985507246,761.5333333333333
82.0,122.0,83.43608732223511,7.466666666666667,14.0,7.345355191256831,896.1333333333333
83.0,122.0,84.78269858360291,7.266666666666667,12.933333333333334,7.162841530054646,873.8666666666667
84.0,120.0,91.87465885480245,7.2,14.2,7.039444444444444,844.7333333333333
85.0,133.0,89.58399326006571,7.533333333333333,13.4,7.18546365914787,955.6666666666666
86.0,133.0,401.81872928937275,7.533333333333333,13.4,7.360902255639099,979.0
87.0,132.0,80.96640052795411,7.466666666666667,14.066666666666666,7.217171717171718,952.6666666666666
88.0,124.0,100.14228461583455,7.533333333333333,12.933333333333334,7.234408602150538,897.0666666666667
89.0,128.0,80.3489448706309,7.466666666666667,14.133333333333333,7.3296875,938.2
90.0,132.0,82.9037738164266,7.533333333333333,13.6,7.592929292929292,1002.2666666666667
91.0,128.0,75.18569463094076,7.333333333333333,12.933333333333334,6.671354166666666,853.9333333333333
92.0,129.0,77.49301973978679,7.8,14.8,7.924547803617571,1022.2666666666667
93.0,133.0,81.6906078338623,7.466666666666667,16.133333333333333,7.751378446115289,1030.9333333333334
94.0,126.0,79.05015815099081,7.4,14.466666666666667,7.914285714285715,997.2
95.0,133.0,84.31260234514872,7.466666666666667,15.533333333333333,7.731829573934838,1028.3333333333333
96.0,131.0,85.72127089500427,7.666666666666667,13.866666666666667,7.5399491094147555,987.7333333333333
97.0,135.0,89.7016816775004,7.6,14.533333333333333,7.770370370370371,1049.0
98.0,129.0,87.91711599032084,7.533333333333333,14.2,7.3963824289405675,954.1333333333333
99.0,140.0,97.45324827829997,7.333333333333333,14.733333333333333,7.996666666666668,1119.5333333333333
100.0,143.0,102.00205976168314,7.733333333333333,14.133333333333333,7.779487179487179,1112.4666666666667
