size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
10.0,12.0,0.10450034141540528,4.1,3.4,2.1083333333333334,25.3
11.0,21.0,0.2151637077331543,4.2,4.9,2.6714285714285717,56.1
12.0,26.0,0.33245489597320554,4.8,5.5,2.8923076923076922,75.2
13.0,30.0,0.44502785205841067,4.8,5.7,3.0300000000000002,90.9
14.0,26.0,0.6146892070770263,4.7,5.8,2.796153846153846,72.7
15.0,36.0,0.9453429698944091,4.7,6.1,3.1527777777777777,113.5
16.0,34.0,0.7649227619171143,5.1,5.5,3.1411764705882357,106.8
17.0,38.0,0.9576112270355225,5.1,6.6,3.539473684210526,134.5
18.0,35.0,0.9399582147598267,5.1,5.8,3.162857142857143,110.7
19.0,47.0,1.398690104484558,5.2,6.8,3.425531914893617,161.0
20.0,50.0,1.568949317932129,5.2,7.0,3.5479999999999996,177.4
21.0,38.0,1.3757736206054687,5.3,6.7,3.4842105263157896,132.4
22.0,39.0,1.5497307062149048,5.4,7.6,3.725641025641025,145.3
23.0,43.0,1.7692280054092406,5.6,6.9,3.4046511627906972,146.4
24.0,41.0,1.7817891120910645,5.2,7.8,3.8487804878048792,157.8
25.0,50.0,3.1090622901916505,5.5,7.4,3.594,179.7
26.0,61.0,3.8604984283447266,6.0,7.6,3.9344262295081966,240.0
27.0,59.0,4.03850998878479,5.3,8.3,4.198305084745764,247.7
28.0,61.0,4.599059295654297,5.6,7.8,4.209836065573771,256.8
29.0,64.0,5.541172003746032,6.0,8.6,4.375,280.0
30.0,61.0,6.090288877487183,5.9,8.3,4.11311475409836,250.9
31.0,60.0,6.580292916297912,5.7,8.0,4.175000000000001,250.5
32.0,65.0,7.5293937683105465,6.2,8.2,4.436923076923077,288.4
33.0,58.0,7.7665424823760985,6.1,8.3,4.136206896551725,239.9
34.0,67.0,8.668488335609435,6.3,8.6,4.304477611940299,288.4
35.0,71.0,9.783860802650452,5.8,9.1,4.56619718309859,324.2
36.0,66.0,9.235051679611207,5.9,8.8,4.76969696969697,314.8
37.0,73.0,10.349558901786803,5.9,9.9,5.001369863013698,365.1
38.0,71.0,9.089122796058655,6.1,9.1,4.869014084507042,345.7
39.0,76.0,10.81380112171173,6.4,10.0,4.552631578947368,346.0
40.0,68.0,10.83787260055542,6.5,10.3,5.102941176470589,347.0
41.0,79.0,15.003275394439697,6.2,10.2,4.9949367088607595,394.6
42.0,83.0,14.546614646911621,6.3,8.6,4.685542168674699,388.9
43.0,81.0,15.211098051071167,6.5,9.8,4.919753086419752,398.5
44.0,79.0,14.897056150436402,6.8,9.4,4.940506329113925,390.3
45.0,79.0,12.250301718711853,6.5,9.9,5.239240506329113,413.9
46.0,82.0,19.198043823242188,6.5,10.6,5.064634146341463,415.3
47.0,88.0,20.794486331939698,6.5,10.8,5.368181818181819,472.4
48.0,82.0,18.851951694488527,6.4,10.1,5.21829268292683,427.9
49.0,86.0,20.175412082672118,6.6,10.6,5.688372093023256,489.2
50.0,81.0,20.157885718345643,6.8,11.1,5.453086419753086,441.7
51.0,94.0,25.460613322257995,6.4,10.8,5.539361702127659,520.7
52.0,92.0,24.479275012016295,6.8,11.8,5.840217391304347,537.3
53.0,100.0,29.821922731399535,6.8,10.4,5.536,553.6
54.0,99.0,29.87515525817871,6.3,10.8,5.6878787878787875,563.1
55.0,89.0,27.02523307800293,6.8,10.9,5.638202247191011,501.8
56.0,99.0,30.91023006439209,6.6,11.4,6.126262626262625,606.5
57.0,97.0,32.0188001871109,7.2,11.4,5.855670103092783,568.0
58.0,97.0,32.480663013458255,6.9,10.6,5.737113402061855,556.5
59.0,100.0,34.07765302658081,6.8,12.0,6.138999999999999,613.9
60.0,97.0,51.70861730575562,7.1,10.6,5.798969072164947,562.5
61.0,104.0,43.62896449565888,7.1,12.1,5.872115384615386,610.7
62.0,104.0,42.4711110830307,6.9,12.1,6.176923076923076,642.4
63.0,107.0,37.57062699794769,6.9,11.5,6.1457943925233645,657.6
64.0,106.0,41.91927807331085,7.1,11.3,5.831132075471698,618.1
65.0,113.0,42.51170821189881,7.5,12.4,6.278761061946903,709.5
66.0,110.0,42.64750475883484,7.0,12.1,6.2309090909090905,685.4
67.0,110.0,44.769004988670346,7.3,12.1,6.590000000000001,724.9
68.0,108.0,48.1522857427597,7.2,12.4,6.273148148148148,677.5
69.0,113.0,49.18885409832001,7.2,11.6,6.1716814159292035,697.4
70.0,108.0,45.04717860221863,7.1,12.5,6.447222222222223,696.3
71.0,111.0,51.956212115287784,7.2,12.1,6.5927927927927925,731.8
72.0,105.0,941.4377943515777,7.3,13.2,7.203809523809523,756.4
73.0,124.0,59.82501611709595,7.0,12.8,7.0072580645161295,868.9
74.0,120.0,57.1550577878952,7.6,12.3,6.574999999999998,789.0
75.0,122.0,68.22006139755248,7.1,13.5,6.752459016393442,823.8
76.0,121.0,58.2551792383194,7.6,13.6,6.565289256198346,794.4
