size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.0014259815216064453,1,1,1.0,2
3,4,0.004269123077392578,2,2,1.25,5
4,9,0.012217998504638672,3,2,1.4444444444444444,13
5,14,0.027378082275390625,4,2,1.6428571428571428,23
6,20,0.058416128158569336,5,3,1.95,39
7,25,0.10192608833312988,6,4,2.04,51
8,35,0.17727398872375488,7,4,2.1142857142857143,74
9,43,0.2769021987915039,8,3,2.302325581395349,99
10,53,0.428786039352417,9,4,2.3962264150943398,127
11,64,0.6375799179077148,10,4,2.328125,149
12,72,0.8605108261108398,11,5,2.4305555555555554,175
13,78,1.1591229438781738,12,5,2.628205128205128,205
14,98,1.9101288318634033,13,7,2.9591836734693877,290
15,110,2.2607228755950928,14,5,2.6636363636363636,293
16,125,3.245048999786377,15,6,2.992,374
17,124,3.3545329570770264,16,6,3.435483870967742,426
18,147,4.819607973098755,17,8,3.8979591836734695,573
19,172,6.354377031326294,18,6,3.2906976744186047,566
20,172,7.4228551387786865,19,8,3.61046511627907,621
21,200,9.04828405380249,20,7,3.275,655
22,197,9.986783027648926,21,7,3.8730964467005076,763
23,232,12.941596031188965,22,6,2.9439655172413794,683
24,253,15.926063060760498,23,5,3.027667984189723,766
25,253,17.549026012420654,24,9,4.4940711462450595,1137
26,275,21.15445590019226,25,8,3.8545454545454545,1060
27,310,26.739614009857178,26,7,3.664516129032258,1136
28,339,30.907029151916504,27,7,3.4837758112094397,1181
29,359,35.92701983451843,28,9,4.49025069637883,1612
30,372,42.7288339138031,29,8,3.9704301075268815,1477
31,412,49.44298195838928,30,7,3.7766990291262137,1556
32,403,55.7913179397583,31,8,4.245657568238213,1711
33,450,65.26656603813171,32,9,4.126666666666667,1857
34,451,73.01109504699707,33,7,3.5587583148558757,1605
35,524,91.31838822364807,34,8,4.08587786259542,2141
36,510,93.25730109214783,35,8,3.933333333333333,2006
37,529,104.4390218257904,36,8,4.19281663516068,2218
38,570,121.28021311759949,37,10,4.068421052631579,2319
39,597,139.15019607543945,38,8,4.139028475711893,2471
40,617,152.29879593849182,39,10,4.356564019448946,2688
41,638,166.59839916229248,40,9,4.398119122257054,2806
42,711,196.01719307899475,41,10,4.433192686357243,3152
43,734,220.5938310623169,42,9,4.151226158038147,3047
44,762,244.59287810325623,43,11,4.661417322834645,3552
45,781,767.941633939743,44,11,4.797695262483995,3747
46,806,772.227648973465,45,10,4.723325062034739,3807
47,846,934.6172099113464,46,11,5.457446808510638,4617
48,885,966.2100629806519,47,10,4.624858757062147,4093
49,898,916.9106588363647,48,11,4.436525612472161,3984
50,943,941.3334710597992,49,9,4.867444326617179,4590
51,984,883.4420561790466,50,11,5.222560975609756,5139
52,999,1067.8275430202484,51,11,4.84984984984985,4845
53,1024,1493.983659029007,52,10,5.2177734375,5343
54,1103,1631.1782250404358,53,11,5.010879419764279,5527
55,1116,1623.2312271595001,54,10,5.173835125448028,5774
56,1179,1864.2742230892181,55,11,4.804071246819339,5664
57,1155,2058.1634101867676,56,10,5.2069264069264065,6014
58,1138,2016.3040051460266,57,10,5.248681898066784,5973
59,1304,2358.390012025833,58,11,5.471625766871166,7135
60,1211,2376.977953195572,59,11,5.1502890173410405,6237
61,1342,2773.090409040451,60,11,4.9381520119225035,6627
62,1400,3049.4704139232635,61,12,5.755,8057
63,1490,3347.092566013336,62,11,5.712751677852349,8512
64,1435,3459.5502030849457,63,12,5.406968641114982,7759
65,1521,3466.1721498966217,64,10,5.331360946745562,8109
66,1576,2948.997002840042,65,11,6.030456852791878,9504
67,1567,4269.452929973602,66,11,5.941927249521378,9311
68,1677,4922.05988407135,67,12,5.224806201550388,8762
69,1665,5307.16339302063,68,11,5.672072072072072,9444
70,1785,5393.5817749500275,69,12,5.9792717086834735,10673
71,1833,5853.687970876694,70,11,5.2416803055100925,9608
72,1809,6445.193245887756,71,11,5.435046987285793,9832
73,1892,4846.861055135727,72,11,5.431818181818182,10277
74,1936,5139.039826869965,73,12,5.832128099173554,11291
75,2009,5988.359069108963,74,14,5.903932304629169,11861
76,2115,6012.361485958099,75,14,6.067612293144208,12833
77,2123,6231.043709039688,76,11,5.657089024964673,12010
78,2157,7108.218456029892,77,12,5.982382939267501,12904
79,2149,6985.423355817795,78,11,5.665425779432294,12175
80,2238,7916.667958974838,79,14,6.119302949061662,13695
