size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.0015058517456054688,1,1,1.0,2
3,4,0.003365039825439453,2,2,1.25,5
4,9,0.009634017944335938,3,2,1.4444444444444444,13
5,14,0.022239208221435547,4,2,1.6428571428571428,23
6,20,0.048629045486450195,5,3,2.0,40
7,25,0.08727383613586426,6,3,2.32,58
8,35,0.1528170108795166,7,3,2.057142857142857,72
9,43,0.24837803840637207,8,4,2.302325581395349,99
10,53,0.3567337989807129,9,4,2.490566037735849,132
11,64,0.510549783706665,10,4,2.65625,170
12,72,0.6893949508666992,11,4,2.5,180
13,78,0.8790359497070312,12,3,2.4871794871794872,194
14,98,1.3238749504089355,13,5,2.704081632653061,265
15,110,1.7742910385131836,14,5,2.790909090909091,307
16,125,2.14319109916687,15,5,3.032,379
17,124,2.4439890384674072,16,6,3.306451612903226,410
18,147,3.363363027572632,17,5,2.9591836734693877,435
19,172,4.645482063293457,18,5,3.5872093023255816,617
20,172,4.809874057769775,19,5,2.883720930232558,496
21,200,6.087587833404541,20,6,3.615,723
22,197,6.52421498298645,21,6,3.467005076142132,683
23,232,8.397224187850952,22,5,3.439655172413793,798
24,253,9.950376987457275,23,5,3.015810276679842,763
25,253,10.829132080078125,24,6,3.656126482213439,925
26,275,13.087931871414185,25,5,3.3563636363636364,923
27,310,16.03908395767212,26,5,3.661290322580645,1135
28,339,18.695057153701782,27,6,3.2890855457227137,1115
29,359,20.80484890937805,28,6,3.9247910863509747,1409
30,372,23.150651931762695,29,5,3.556451612903226,1323
31,412,27.552076816558838,30,6,3.5218446601941746,1451
32,403,29.647550106048584,31,5,3.531017369727047,1423
33,450,36.250157833099365,32,7,3.7644444444444445,1694
34,451,38.72533178329468,33,6,3.556541019955654,1604
35,524,46.782492876052856,34,6,3.6240458015267176,1899
36,510,46.97084403038025,35,6,3.7823529411764705,1929
37,529,51.709851026535034,36,7,4.281663516068053,2265
38,570,58.72045588493347,37,7,4.094736842105263,2334
39,597,67.91430187225342,38,6,4.058626465661642,2423
40,617,71.10593795776367,39,7,4.1426256077795784,2556
41,638,75.68636012077332,40,7,4.283699059561129,2733
42,711,88.50217700004578,41,7,4.337552742616034,3084
43,734,95.82834792137146,42,8,4.683923705722071,3438
44,762,103.86013197898865,43,7,4.480314960629921,3414
45,781,346.15205693244934,44,11,5.7093469910371315,4459
46,806,312.0742280483246,45,8,4.761786600496278,3838
47,846,388.3772940635681,46,7,4.74468085106383,4014
48,885,400.36037611961365,47,7,4.127683615819209,3653
49,898,393.9282760620117,48,6,4.171492204899777,3746
50,943,431.5258481502533,49,8,4.59066808059385,4329
51,984,346.25657987594604,50,9,5.405487804878049,5319
52,999,356.56710290908813,51,7,4.157157157157157,4153
53,1024,479.365993976593,52,8,4.5517578125,4661
54,1103,584.5951130390167,53,8,4.58023572076156,5052
55,1116,635.5378348827362,54,8,5.162186379928316,5761
56,1179,625.7972590923309,55,9,5.057675996607294,5963
57,1155,660.3265450000763,56,9,5.2536796536796535,6068
58,1138,639.2466259002686,57,9,5.166080843585237,5879
59,1304,863.9169681072235,58,8,5.09739263803681,6647
60,1211,937.4718980789185,59,9,5.414533443435178,6557
61,1342,798.9827978610992,60,9,5.105067064083458,6851
62,1400,1013.7238140106201,61,8,5.363571428571428,7509
63,1490,1073.1613960266113,62,8,5.197986577181208,7745
64,1435,888.1480619907379,63,8,4.885714285714286,7011
65,1521,1255.0736739635468,64,8,4.8468113083497695,7372
66,1576,974.7885630130768,65,11,6.147842639593908,9689
67,1567,1324.709417104721,66,10,5.825143586470964,9128
68,1677,1569.9231309890747,67,9,5.515802027429935,9250
69,1665,1556.9641559123993,68,10,5.977177177177177,9952
70,1785,1733.3159379959106,69,8,5.132773109243698,9162
71,1833,1712.4928500652313,70,11,6.1314784506273865,11239
72,1809,1961.4653759002686,71,9,5.837479270315091,10560
73,1892,1486.838977098465,72,8,5.061310782241015,9576
74,1936,1602.5136940479279,73,8,5.190599173553719,10049
75,2009,1893.8696269989014,74,9,5.229965156794425,10507
76,2115,1735.2426300048828,75,12,6.753191489361702,14283
77,2123,1786.357400894165,76,9,5.34102684879887,11339
78,2157,1964.20254611969,77,10,5.808993973110802,12530
79,2149,2162.817888021469,78,10,5.587249883666821,12007
80,2238,2052.365718126297,79,8,5.229669347631814,11704
