size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.002749919891357422,2,1,1.0,2
3,4,0.004734992980957031,2,2,1.25,5
4,9,0.017208099365234375,3,3,1.8888888888888888,17
5,14,0.04012298583984375,3,2,1.6428571428571428,23
6,20,0.061122894287109375,3,4,1.9,38
7,25,0.10648512840270996,3,5,2.8,70
8,35,0.2710108757019043,5,5,2.2857142857142856,80
9,43,0.30959510803222656,4,5,3.0232558139534884,130
10,53,0.48764705657958984,5,5,2.6037735849056602,138
11,64,0.7575588226318359,5,5,2.765625,177
12,72,0.8096590042114258,4,5,2.8194444444444446,203
13,78,1.0996780395507812,5,5,2.782051282051282,217
14,98,1.6307082176208496,4,6,3.1020408163265305,304
15,110,2.0143890380859375,5,6,3.2363636363636363,356
16,125,2.5208539962768555,5,6,3.672,459
17,124,3.0100080966949463,5,9,3.7661290322580645,467
18,147,3.9565701484680176,5,8,3.727891156462585,548
19,172,4.885609149932861,5,8,4.040697674418604,695
20,172,5.531961917877197,6,8,4.27906976744186,736
21,200,7.210142135620117,5,8,4.22,844
22,197,7.509243965148926,6,8,4.01015228426396,790
23,232,9.551308155059814,6,8,4.400862068965517,1021
24,253,11.133165121078491,5,9,4.1936758893280635,1061
25,253,12.350993156433105,7,10,5.106719367588933,1292
26,275,14.416191816329956,6,9,4.618181818181818,1270
27,310,17.267671823501587,6,10,4.196774193548387,1301
28,339,20.487685203552246,6,9,4.480825958702065,1519
29,359,24.510704040527344,5,11,5.370473537604457,1928
30,372,25.92329502105713,6,10,5.075268817204301,1888
31,412,30.337448120117188,6,11,5.550970873786408,2287
32,403,32.01173996925354,6,9,4.679900744416874,1886
33,450,38.63629913330078,6,11,5.568888888888889,2506
34,451,40.442694902420044,6,9,4.716186252771618,2127
35,524,50.58718204498291,6,11,5.017175572519084,2629
36,510,50.250799894332886,6,11,5.629411764705883,2871
37,529,55.540249824523926,6,11,5.6200378071833645,2973
38,570,63.31422400474548,6,11,5.291228070175438,3016
39,597,69.19456386566162,7,10,5.1892797319933,3098
40,617,75.90191793441772,7,13,5.517017828200973,3404
41,638,80.09254503250122,6,10,5.27115987460815,3363
42,711,95.19430780410767,6,12,5.853727144866386,4162
43,734,104.01726698875427,7,11,5.501362397820164,4038
44,762,110.06751489639282,6,10,5.24015748031496,3993
45,781,235.98402500152588,7,12,5.8642765685019205,4580
46,806,269.908301115036,6,12,6.187344913151365,4987
47,846,426.73748207092285,7,12,6.3451536643026,5368
48,885,403.7239899635315,6,14,5.661016949152542,5010
49,898,425.2796149253845,6,12,5.782850779510023,5193
50,943,474.8856589794159,7,15,6.504772004241781,6134
51,984,370.26214718818665,6,13,6.195121951219512,6096
52,999,387.33242297172546,7,14,6.307307307307307,6301
53,1024,520.7845108509064,7,13,6.6533203125,6813
54,1103,686.8489379882812,7,13,6.1468721668177695,6780
55,1116,678.1873061656952,7,16,7.044802867383512,7862
56,1179,683.1295781135559,6,15,5.8346055979643765,6879
57,1155,757.3753590583801,6,14,6.898701298701298,7968
58,1138,837.8142051696777,7,13,6.260105448154658,7124
59,1304,1006.1926162242889,7,14,6.679447852760736,8710
60,1211,791.9002230167389,7,13,6.448389760528489,7809
61,1342,1142.9063351154327,7,13,6.672876304023845,8955
62,1400,979.8002450466156,7,15,6.425,8995
63,1490,1074.6762499809265,9,15,7.4677852348993286,11127
64,1435,1139.7228071689606,7,12,6.188153310104529,8880
65,1521,1138.0211279392242,7,16,7.276134122287968,11067
66,1576,1013.2312610149384,7,14,7.361675126903553,11602
67,1567,1375.764997959137,8,14,6.8398213146139115,10718
68,1677,1545.7176580429077,7,14,6.8413834227787715,11473
69,1665,1601.5670809745789,6,14,7.125525525525526,11864
70,1785,1873.605162858963,7,13,7.024089635854342,12538
71,1833,1572.4051849842072,7,13,7.008183306055646,12846
72,1809,2127.5006198883057,7,17,7.432835820895522,13446
73,1892,2160.7336819171906,7,14,6.634249471458774,12552
74,1936,1662.5973858833313,7,17,7.074896694214876,13697
75,2009,1760.2150750160217,7,16,7.32105525136884,14708
76,2115,2208.780017852783,7,14,7.409456264775414,15671
77,2123,1844.853080034256,7,15,7.501177578897786,15925
78,2157,1986.575432062149,7,18,8.118219749652296,17511
79,2149,2117.2367968559265,7,14,6.744997673336435,14495
80,2238,2141.9405410289764,8,14,7.105004468275245,15901
