size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,2,0.0003681182861328125,1,1,1.0,2
3,4,0.0020089149475097656,2,2,1.25,5
4,9,0.008109092712402344,3,2,1.4444444444444444,13
5,14,0.02113199234008789,4,2,1.5,21
6,20,0.04989004135131836,5,3,1.75,35
7,25,0.08925199508666992,6,3,1.8,45
8,35,0.17909979820251465,7,3,1.9428571428571428,68
9,43,0.3093869686126709,8,3,2.046511627906977,88
10,53,0.4239380359649658,9,4,2.150943396226415,114
11,64,0.6186931133270264,10,4,2.171875,139
12,72,0.8518118858337402,11,4,2.1527777777777777,155
13,78,1.1186091899871826,12,4,2.3076923076923075,180
14,98,1.6407840251922607,13,4,2.479591836734694,243
15,110,2.342864990234375,14,4,2.3636363636363638,260
16,125,2.892353057861328,15,5,2.4,300
17,124,3.21707820892334,16,5,2.782258064516129,345
18,147,5.176339864730835,17,5,2.693877551020408,396
19,172,6.066679954528809,18,5,2.7906976744186047,480
20,172,7.130710124969482,19,5,2.854651162790698,491
21,200,8.821655035018921,20,6,2.89,578
22,197,9.781325101852417,21,5,2.934010152284264,578
23,232,12.489055156707764,22,5,2.7025862068965516,627
24,253,15.0086190700531,23,5,2.8616600790513833,724
25,253,16.86405086517334,24,6,3.067193675889328,776
26,275,20.41106390953064,25,5,3.0945454545454547,851
27,310,25.24712896347046,26,6,2.958064516129032,917
28,339,30.63704204559326,27,6,2.982300884955752,1011
29,359,34.58167004585266,28,7,3.2506963788300838,1167
30,372,42.5691602230072,29,6,3.2419354838709675,1206
31,412,49.96946883201599,30,6,3.3033980582524274,1361
32,403,50.95804190635681,31,6,3.1861042183622827,1284
33,450,62.49008297920227,32,7,3.348888888888889,1507
34,451,68.18256497383118,33,7,3.3082039911308203,1492
35,524,84.2983329296112,34,7,3.3587786259541983,1760
36,510,86.45150303840637,35,7,3.4823529411764707,1776
37,529,98.4036500453949,36,6,3.45179584120983,1826
38,570,109.17593216896057,37,7,3.5719298245614035,2036
39,597,123.58996510505676,38,6,3.3835845896147405,2020
40,617,133.49244904518127,39,6,3.766612641815235,2324
41,638,154.25276899337769,40,7,3.4670846394984327,2212
42,711,176.34225487709045,41,7,3.738396624472574,2658
43,734,193.50037622451782,42,7,3.5626702997275204,2615
44,762,229.6474838256836,43,7,3.7926509186351707,2890
45,781,737.0971601009369,44,7,3.5390524967989756,2764
46,806,826.562008857727,45,7,3.879652605459057,3127
47,846,771.2691690921783,46,8,4.0224586288416075,3403
48,885,929.1927371025085,47,7,3.9073446327683614,3458
49,898,933.6229197978973,48,7,3.8552338530066814,3462
50,943,1027.9838519096375,49,8,3.87592788971368,3655
51,984,849.8738331794739,50,8,3.994918699186992,3931
52,999,1152.7468149662018,51,7,3.94994994994995,3946
53,1024,1223.016117811203,52,8,4.1005859375,4199
54,1103,1510.9097640514374,53,7,4.047144152311876,4464
55,1116,1557.420517206192,54,8,4.335125448028674,4838
56,1179,1835.9131479263306,55,8,4.1391009329940625,4880
57,1155,1676.2496120929718,56,8,4.231168831168831,4887
58,1138,1475.8370671272278,57,7,3.928822495606327,4471
59,1304,2053.073541164398,58,8,4.159509202453988,5424
60,1211,1872.8445179462433,59,8,4.271676300578035,5173
61,1342,2651.872197151184,60,8,4.134128166915052,5548
62,1400,2372.3710508346558,61,9,4.46,6244
63,1490,2965.3574521541595,62,9,4.620134228187919,6884
64,1435,2977.1966869831085,63,8,4.424390243902439,6349
65,1521,2973.586292028427,64,7,4.2905982905982905,6526
66,1576,2835.852378845215,65,9,4.440989847715736,6999
67,1567,4051.872927904129,66,9,4.5430759412890875,7119
68,1677,4350.80259680748,67,8,4.348837209302325,7293
69,1665,4503.037078857422,68,9,4.732732732732733,7880
70,1785,4357.532248020172,69,9,4.629691876750701,8264
71,1833,5022.556303024292,70,9,4.4926350245499185,8235
72,1809,5350.762979984283,71,9,4.660585959093422,8431
73,1892,4251.842053890228,72,8,4.487315010570825,8490
74,1936,4616.448072910309,73,8,4.597107438016529,8900
75,2009,5397.61022400856,74,9,4.535589845694376,9112
76,2115,5089.867354154587,75,8,4.532860520094562,9587
77,2123,5683.141431093216,76,9,4.846443711728686,10289
78,2157,6040.71880698204,77,9,4.9582753824756605,10695
79,2149,5685.696278095245,78,8,4.746859004187995,10201
80,2238,6688.791121006012,79,9,4.63047363717605,10363
