size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,1,0.0037021636962890625,1,0,0.0,0
3,3,0.011856794357299805,2,2,1.0,3
4,6,0.030408143997192383,3,3,1.3333333333333333,8
5,10,0.0691518783569336,4,2,1.5,15
6,15,0.14389395713806152,5,4,2.066666666666667,31
7,21,0.269603967666626,6,3,1.6666666666666667,35
8,28,0.48256611824035645,7,3,1.9285714285714286,54
9,36,0.8160109519958496,8,5,2.4444444444444446,88
10,45,0.7692298889160156,9,4,2.2,99
11,55,1.9069960117340088,10,6,2.709090909090909,149
12,66,2.7396650314331055,11,5,2.6363636363636362,174
13,78,3.2710161209106445,12,6,3.230769230769231,252
14,91,4.855647087097168,13,7,2.868131868131868,261
15,105,7.220618009567261,14,7,3.3714285714285714,354
16,120,7.510465860366821,15,6,3.033333333333333,364
17,136,12.837827205657959,16,7,3.5294117647058822,480
18,153,15.669497966766357,17,8,3.738562091503268,572
19,171,14.55380916595459,18,6,3.426900584795322,586
20,190,23.593000888824463,19,7,3.5842105263157893,681
21,210,36.10427808761597,20,9,4.109523809523809,863
22,231,44.07900404930115,21,7,3.9004329004329006,901
23,253,32.789304971694946,22,9,4.379446640316205,1108
24,276,47.447160959243774,23,10,4.61231884057971,1273
25,300,71.03557014465332,24,10,4.56,1368
26,325,73.24772000312805,25,7,3.689230769230769,1199
27,351,89.99864506721497,26,8,3.962962962962963,1391
28,378,120.96903705596924,27,8,4.277777777777778,1617
29,406,114.68957090377808,28,10,4.862068965517241,1974
30,435,157.38395810127258,29,8,4.082758620689655,1776
31,465,149.51655220985413,30,9,4.387096774193548,2040
32,496,160.65155792236328,31,10,4.75,2356
33,528,230.02268290519714,32,9,4.558712121212121,2407
34,561,249.0997269153595,33,9,4.711229946524064,2643
35,595,214.80443692207336,34,8,3.957983193277311,2355
36,630,340.4346330165863,35,9,4.780952380952381,3012
37,666,362.3961899280548,36,9,4.6006006006006,3064
38,703,389.96965312957764,37,10,4.918918918918919,3458
39,741,494.578861951828,38,11,5.199730094466936,3853
40,780,519.9796130657196,39,11,5.366666666666666,4186
41,820,575.2507560253143,40,9,4.632926829268293,3799
42,861,620.5411138534546,41,12,5.227642276422764,4501
43,903,616.2831430435181,42,11,5.17718715393134,4675
44,946,757.7247610092163,43,10,4.881606765327696,4618
45,990,982.1979410648346,44,10,5.0464646464646465,4996
46,1035,1031.6601948738098,45,11,5.064734299516908,5242
47,1081,1095.9892151355743,46,10,5.031452358926919,5439
48,1128,1137.5303280353546,47,11,5.757978723404255,6495
49,1176,1167.5525379180908,48,10,5.2517006802721085,6176
50,1225,1706.4591369628906,49,11,4.913469387755102,6019
51,1274,1446.3404140472412,50,10,4.9945054945054945,6363
52,1326,1858.7345700263977,51,11,5.245098039215686,6955
53,1377,1861.009745836258,52,10,4.958605664488018,6828
54,1431,1962.0892541408539,53,11,5.621243885394829,8044
55,1485,2274.869544029236,54,12,5.9609427609427605,8852
56,1540,2403.7719638347626,55,11,5.455194805194806,8401
57,1593,2664.599583864212,56,12,5.549905838041432,8841
58,1653,2112.795320034027,57,10,5.232909860859044,8650
59,1711,3281.918625831604,58,12,5.708357685563998,9767
60,1770,3687.2691099643707,59,11,6.099435028248587,10796
61,1830,4011.661539077759,60,10,5.427868852459016,9933
62,1891,4482.825795173645,61,11,5.745108408249603,10864
63,1952,4413.818528175354,62,11,5.70952868852459,11145
64,2016,4792.059268951416,63,16,6.245535714285714,12591
65,2080,5531.175014972687,64,13,5.863942307692308,12197
66,2145,5992.506803035736,65,12,5.694638694638694,12215
67,2210,4448.613072872162,66,11,5.557466063348416,12282
68,2278,4918.2631759643555,67,12,5.7502194907813875,13099
69,2344,5658.174109220505,68,12,5.648037542662116,13239
70,2415,5410.573323011398,69,13,6.086956521739131,14700
71,2484,5719.309242963791,70,12,5.819243156199678,14455
72,2556,6741.315380096436,71,12,6.152973395931142,15727
73,2628,7010.524116039276,72,12,5.955098934550989,15650
74,2701,7701.9530119895935,73,12,5.724916697519437,15463
75,2774,7178.770475149155,74,13,6.6676279740447,18496
76,2850,7654.062604188919,75,13,6.631228070175439,18899
77,2926,8234.019182920456,76,14,6.749829118250171,19750
78,3002,8585.461211919785,77,11,5.693204530313125,17091
79,3081,9296.401803970337,78,15,6.261927945472249,19293
80,3158,11876.65006685257,79,14,6.341355288157062,20026
