size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,1,0.003885984420776367,1,0,0.0,0
3,3,0.008561849594116211,2,1,1.0,3
4,6,0.02233719825744629,3,2,1.3333333333333333,8
5,10,0.05350303649902344,4,2,1.5,15
6,15,0.1136929988861084,5,3,1.8,27
7,21,0.2183971405029297,6,3,1.6666666666666667,35
8,28,0.38959288597106934,7,4,2.5357142857142856,71
9,36,0.6206181049346924,8,4,2.138888888888889,77
10,45,0.943770170211792,9,4,2.1777777777777776,98
11,55,0.9833090305328369,10,4,2.5272727272727273,139
12,66,2.0598208904266357,11,4,2.6818181818181817,177
13,78,2.2955989837646484,12,4,2.4871794871794872,194
14,91,2.8583600521087646,13,5,2.78021978021978,253
15,105,5.195286989212036,14,5,2.876190476190476,302
16,120,4.337888956069946,15,5,2.825,339
17,136,8.737251996994019,16,5,3.2205882352941178,438
18,153,10.968267917633057,17,5,2.7777777777777777,425
19,171,10.154731035232544,18,5,3.2923976608187133,563
20,190,16.76982307434082,19,6,3.473684210526316,660
21,210,20.253854036331177,20,6,3.861904761904762,811
22,231,25.11560606956482,21,6,3.6363636363636362,840
23,253,29.853254795074463,22,6,3.8616600790513833,977
24,276,27.94035792350769,23,6,3.6449275362318843,1006
25,300,42.204952001571655,24,6,3.65,1095
26,325,45.681297063827515,25,6,3.6953846153846155,1201
27,351,47.68981313705444,26,6,3.5954415954415953,1262
28,378,66.3324339389801,27,7,3.6587301587301586,1383
29,406,76.25690412521362,28,6,4.140394088669951,1681
30,435,80.56700801849365,29,8,4.8436781609195405,2107
31,465,77.8311710357666,30,7,3.913978494623656,1820
32,496,104.47602987289429,31,8,4.55241935483871,2258
33,528,132.18342781066895,32,7,4.151515151515151,2192
34,561,127.66087102890015,33,7,4.222816399286987,2369
35,595,141.79927110671997,34,7,4.334453781512605,2579
36,630,138.06648993492126,35,7,4.482539682539683,2824
37,666,209.98960518836975,36,7,4.025525525525525,2681
38,703,188.0188901424408,37,7,4.231863442389758,2975
39,741,177.29923605918884,38,8,5.418353576248313,4015
40,780,237.92602801322937,39,7,4.393589743589744,3427
41,820,261.63025188446045,40,8,4.7231707317073175,3873
42,861,227.65587186813354,41,8,4.711962833914053,4057
43,903,347.4944498538971,42,9,5.002214839424142,4517
44,946,351.7243301868439,43,8,4.978858350951374,4710
45,990,340.76295590400696,44,8,4.743434343434344,4696
46,1035,375.5347089767456,45,8,4.717874396135266,4883
47,1081,374.97596287727356,46,9,4.830712303422756,5222
48,1128,460.3299479484558,47,8,5.036347517730497,5681
49,1176,583.4513380527496,48,9,5.442176870748299,6400
50,1225,623.2803409099579,49,9,4.948571428571428,6062
51,1274,682.9258358478546,50,9,5.054945054945055,6440
52,1326,592.248449087143,51,9,5.420814479638009,7188
53,1377,749.9916291236877,52,9,5.355119825708061,7374
54,1431,764.1420388221741,53,9,5.718378756114605,8183
55,1485,788.2291870117188,54,9,5.146801346801347,7643
56,1540,875.5384290218353,55,8,5.5227272727272725,8505
57,1593,1013.5626931190491,56,8,5.059635907093535,8060
58,1653,802.3707418441772,57,9,5.190562613430127,8580
59,1711,866.363646030426,58,10,5.406779661016949,9251
60,1770,1155.5748269557953,59,10,5.93954802259887,10513
61,1830,1399.8085680007935,60,10,5.915300546448087,10825
62,1891,1521.4869320392609,61,8,5.081438392384982,9609
63,1952,1451.6396970748901,62,10,5.558401639344262,10850
64,2016,1683.593533039093,63,10,6.542162698412699,13189
65,2080,1893.06928896904,64,11,6.208173076923077,12913
66,2145,1914.7312788963318,65,9,5.531934731934732,11866
67,2210,1535.9145460128784,66,11,6.311764705882353,13949
68,2278,1634.2251880168915,67,9,5.781826163301141,13171
69,2344,1757.6313199996948,68,10,6.061860068259386,14209
70,2415,1747.8447151184082,69,10,6.1175983436853,14774
71,2484,1826.8769690990448,70,12,6.253623188405797,15534
72,2556,2044.2319159507751,71,10,5.809076682316119,14848
73,2628,2287.992264986038,72,10,5.594368340943683,14702
74,2701,2176.3042120933533,73,11,5.756756756756757,15549
75,2774,2248.560050010681,74,10,5.995674116798846,16632
76,2850,2369.8281819820404,75,11,5.8589473684210525,16698
77,2926,2533.6314549446106,76,10,5.682501708817498,16627
78,3002,2674.11448097229,77,11,5.912391738840773,17749
79,3081,2786.358733177185,78,12,6.408958130477118,19746
80,3158,2913.8160281181335,79,10,5.830588980367321,18413
