size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,1,0.006172895431518555,2,0,0.0,0
3,3,0.015951871871948242,2,1,1.0,3
4,6,0.027219057083129883,2,2,1.0,6
5,10,0.062245845794677734,2,3,1.6,16
6,15,0.14918303489685059,3,3,2.3333333333333335,35
7,21,0.33276891708374023,4,4,1.8095238095238095,38
8,28,0.5263140201568604,4,4,2.1785714285714284,61
9,36,0.8297390937805176,4,6,2.75,99
10,45,1.2780930995941162,4,5,2.533333333333333,114
11,55,1.2265691757202148,5,5,2.963636363636364,163
12,66,2.1746740341186523,4,7,3.3181818181818183,219
13,78,2.287393093109131,5,6,3.269230769230769,255
14,91,3.5843660831451416,4,6,3.2637362637362637,297
15,105,7.019644021987915,6,7,3.876190476190476,407
16,120,6.89840292930603,5,7,3.783333333333333,454
17,136,9.887171983718872,4,8,3.985294117647059,542
18,153,9.347799062728882,5,7,3.823529411764706,585
19,171,10.375319004058838,5,8,4.222222222222222,722
20,190,19.50584316253662,5,9,4.7631578947368425,905
21,210,16.498913049697876,5,8,4.057142857142857,852
22,231,22.244760036468506,5,10,4.805194805194805,1110
23,253,33.399559020996094,5,9,4.565217391304348,1155
24,276,28.429485082626343,6,9,4.576086956521739,1263
25,300,41.47133183479309,6,10,4.9,1470
26,325,52.6066689491272,6,9,4.867692307692308,1582
27,351,60.254175901412964,5,10,4.829059829059829,1695
28,378,77.84727811813354,8,8,4.552910052910053,1721
29,406,72.85608506202698,6,9,4.5763546798029555,1858
30,435,90.2331600189209,5,10,5.804597701149425,2525
31,465,95.2383451461792,6,12,5.870967741935484,2730
32,496,110.23070788383484,6,9,4.770161290322581,2366
33,528,141.80570101737976,6,12,5.176136363636363,2733
34,561,119.67277193069458,6,10,5.436720142602495,3050
35,595,157.04639196395874,6,10,5.356302521008403,3187
36,630,188.6983289718628,6,10,5.942857142857143,3744
37,666,222.4670569896698,7,11,5.292792792792793,3525
38,703,215.94838404655457,7,10,5.44950213371266,3831
39,741,237.11793994903564,6,11,5.361673414304994,3973
40,780,216.09978699684143,6,13,5.782051282051282,4510
41,820,286.5826828479767,6,12,5.962195121951219,4889
42,861,293.7937698364258,6,13,5.976771196283392,5146
43,903,341.53497791290283,6,15,6.434108527131783,5810
44,946,401.9596118927002,6,14,6.6405919661733614,6282
45,990,369.9906270503998,7,13,5.656565656565657,5600
46,1035,414.0029079914093,7,12,6.239613526570048,6458
47,1081,439.6321909427643,7,11,6.044403330249769,6534
48,1128,628.1550199985504,6,14,6.782801418439717,7651
49,1176,536.6691179275513,7,13,6.8520408163265305,8058
50,1225,592.5677061080933,6,13,6.475918367346939,7933
51,1274,645.7891209125519,6,13,6.555729984301413,8352
52,1326,676.4753930568695,6,13,6.9411764705882355,9204
53,1377,731.7177591323853,6,12,6.432098765432099,8857
54,1431,900.8969860076904,8,11,6.081062194269742,8702
55,1485,978.60498213768,7,17,7.2727272727272725,10800
56,1540,1022.1601550579071,7,15,7.390909090909091,11382
57,1593,1058.8114922046661,7,15,7.315128688010044,11653
58,1653,915.7668640613556,8,13,6.61222020568663,10930
59,1711,894.662985086441,7,13,6.251315020455873,10696
60,1770,1337.463310956955,6,15,7.433898305084746,13158
61,1830,1471.2966449260712,8,16,7.504371584699453,13733
62,1891,1606.8090090751648,7,13,6.364357482813326,12035
63,1952,1553.1501259803772,8,13,6.956454918032787,13579
64,2016,1656.812076807022,7,15,7.452876984126984,15025
65,2080,1698.329566001892,7,15,7.509615384615385,15620
66,2145,1892.3625049591064,7,16,7.191142191142191,15425
67,2210,1656.5558547973633,7,18,7.281447963800905,16092
68,2278,1673.3121230602264,8,17,7.892888498683055,17980
69,2344,1989.8004441261292,8,15,7.627133105802048,17878
70,2415,1774.18381690979,7,16,7.524223602484472,18171
71,2484,1894.2205181121826,7,16,7.475442834138486,18569
72,2556,2085.569298028946,7,16,7.946009389671362,20310
73,2628,2294.1317870616913,7,16,8.150684931506849,21420
74,2701,2251.743970155716,7,17,8.047760088855979,21737
75,2774,2407.3811061382294,7,15,8.10814708002884,22492
76,2850,2437.110936164856,7,16,7.862105263157895,22407
77,2926,2648.068106174469,7,15,7.679767600820233,22471
78,3002,2730.425948858261,7,14,7.799467021985343,23414
79,3081,2968.58180809021,7,19,8.396624472573839,25870
80,3158,3029.895068883896,9,16,8.708993033565548,27503
