size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
2,1,0.0003178119659423828,1,0,0.0,0
3,3,0.004067897796630859,2,1,1.0,3
4,6,0.01730489730834961,3,2,1.0,6
5,10,0.049896955490112305,4,3,1.1,11
6,15,0.12189102172851562,5,3,1.8666666666666667,28
7,21,0.2436659336090088,6,3,1.2857142857142858,27
8,28,0.4288320541381836,7,4,1.7142857142857142,48
9,36,0.7300148010253906,8,3,2.0555555555555554,74
10,45,0.7461888790130615,9,4,2.0,90
11,55,1.7867097854614258,10,4,2.327272727272727,128
12,66,2.5008559226989746,11,4,2.3636363636363638,156
13,78,3.756093978881836,12,4,2.358974358974359,184
14,91,5.024524927139282,13,5,2.5494505494505493,232
15,105,7.171694040298462,14,5,2.5904761904761906,272
16,120,9.412703037261963,15,5,2.558333333333333,307
17,136,12.236001968383789,16,6,2.7941176470588234,380
18,153,14.845798015594482,17,5,2.6993464052287583,413
19,171,19.660675048828125,18,6,2.9883040935672516,511
20,190,19.981170177459717,19,6,2.8789473684210525,547
21,210,31.073259115219116,20,6,3.0047619047619047,631
22,231,40.57119107246399,21,6,3.116883116883117,720
23,253,33.2041540145874,22,6,3.185770750988142,806
24,276,35.20252799987793,23,6,3.246376811594203,896
25,300,62.92730903625488,24,6,3.276666666666667,983
26,325,71.14060592651367,25,6,3.0646153846153847,996
27,351,84.01176309585571,26,6,3.1652421652421654,1111
28,378,113.96192598342896,27,7,3.388888888888889,1281
29,406,136.24746799468994,28,6,3.3866995073891624,1375
30,435,147.10919785499573,29,6,3.47816091954023,1513
31,465,137.10309982299805,30,6,3.5978494623655912,1673
32,496,182.52485704421997,31,7,3.497983870967742,1735
33,528,222.84203791618347,32,7,3.706439393939394,1957
34,561,240.5858941078186,33,7,3.6470588235294117,2046
35,595,199.26217103004456,34,7,3.5579831932773107,2117
36,630,304.85427594184875,35,8,3.9984126984126984,2519
37,666,295.34932112693787,36,7,3.725225225225225,2481
38,703,396.7303252220154,37,7,3.7112375533428166,2609
39,741,431.90781807899475,38,8,4.002699055330634,2966
40,780,438.9266998767853,39,8,4.003846153846154,3123
41,820,599.4250671863556,40,8,4.019512195121951,3296
42,861,528.0593528747559,41,7,4.0534262485482,3490
43,903,623.3503890037537,42,8,3.877076411960133,3501
44,946,753.3443629741669,43,8,4.174418604651163,3949
45,990,785.8453390598297,44,8,4.153535353535354,4112
46,1035,1009.3411581516266,45,8,4.023188405797101,4164
47,1081,957.0561530590057,46,8,4.288621646623497,4636
48,1128,1083.0609200000763,47,8,4.240248226950355,4783
49,1176,1093.2203669548035,48,8,4.311224489795919,5070
50,1225,1048.3505392074585,49,8,4.078367346938776,4996
51,1274,1412.3207681179047,50,8,4.252747252747253,5418
52,1326,1428.2808310985565,51,9,4.1877828054298645,5553
53,1377,1821.9166271686554,52,8,4.226579520697168,5820
54,1431,1974.0026240348816,53,9,4.50104821802935,6441
55,1485,2099.6355168819427,54,9,4.472727272727273,6642
56,1540,2398.1095571517944,55,9,4.653246753246753,7166
57,1593,2406.031699180603,56,8,4.649717514124294,7407
58,1653,1990.9779951572418,57,8,4.200846944948578,6944
59,1711,2858.7111508846283,58,8,4.441846873173582,7600
60,1770,3500.3520488739014,59,9,4.553672316384181,8060
61,1830,3461.0832691192627,60,9,4.491256830601093,8219
62,1891,3478.280245065689,61,9,4.621893178212586,8740
63,1952,3867.1584649086,62,9,4.837602459016393,9443
64,2016,4362.160651922226,63,9,4.953373015873016,9986
65,2080,5197.496088027954,64,9,4.948557692307692,10293
66,2145,3545.3022718429565,65,9,4.648018648018648,9970
67,2210,4013.8060278892517,66,9,4.74841628959276,10494
68,2278,4671.2358231544495,67,9,4.942054433713784,11258
69,2344,5064.0621881484985,68,9,4.845136518771331,11357
70,2415,4631.556519985199,69,9,5.0111801242236025,12102
71,2484,5587.533887863159,70,9,4.739935587761675,11774
72,2556,6045.165832996368,71,9,4.940532081377151,12628
73,2628,5989.430090904236,72,9,5.071537290715373,13328
74,2701,6882.530221939087,73,10,4.980377637911885,13452
75,2774,6280.62878203392,74,10,4.998197548666186,13865
76,2850,6846.828817129135,75,10,5.036842105263158,14355
77,2926,7365.257550954819,76,10,4.863978127136022,14232
78,3002,7991.941696882248,77,11,4.88107928047968,14653
79,3081,8100.86168384552,78,10,5.034079844206427,15510
80,3158,5185.5345759391785,79,10,5.220075997466751,16485
